Semaine;Chamonix (FR);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-04-28;31,00;13,00;6,00;7,00;1,00;2,00;3,00;12,00;11,00;3,00;1,00;10,00;1,00;17,10;1,07;14,97;7,48;0,00;2,00;1,00;1,00;2,00;2,00;0,00;5,00;4,00;1,00;3,00;0,00;0,00;1,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;17,00;12,00;6,00;3,00;1,00;4,00;1,00;4,00;11,00;1,00;1,00;6,00;1,00;20,19;1,06;15,94;4,25;0,00;3,00;1,00;1,00;2,00;2,00;0,00;3,00;4,00;3,00;4,00;1,00;1,00;1,00;0,00;0,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;21,00;5,00;3,00;5,00;3,00;1,00;2,00;4,00;8,00;1,00;1,00;6,00;1,00;12,60;1,05;12,60;2,10;0,00;3,00;2,00;0,00;2,00;3,00;1,00;3,00;3,00;1,00;3,00;0,00;1,00;1,00;1,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;22,00;11,00;4,00;4,00;3,00;3,00;1,00;4,00;13,00;0,00;3,00;5,00;1,00;22,00;1,05;9,43;4,19;0,00;4,00;1,00;1,00;1,00;2,00;1,00;7,00;4,00;1,00;4,00;1,00;2,00;1,00;0,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00
2019-05-26;32,00;9,00;4,00;4,00;2,00;1,00;2,00;9,00;19,00;2,00;2,00;8,00;1,00;14,45;1,03;16,52;4,13;1,00;3,00;2,00;1,00;2,00;4,00;0,00;6,00;3,00;0,00;6,00;0,00;2,00;4,00;0,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-06-02;35,00;10,00;7,00;5,00;2,00;4,00;2,00;8,00;11,00;1,00;2,00;6,00;2,00;21,62;1,03;11,32;3,09;0,00;6,00;3,00;0,00;1,00;3,00;1,00;5,00;4,00;2,00;4,00;0,00;4,00;1,00;1,00;0,00;1,00;0,00;1,00;0,00;1,00;1,00;0,00
2019-06-09;40,00;3,00;4,00;4,00;1,00;6,00;3,00;10,00;14,00;1,00;2,00;4,00;3,00;21,54;1,03;16,41;7,18;0,00;6,00;1,00;0,00;3,00;4,00;1,00;6,00;6,00;1,00;6,00;1,00;1,00;1,00;0,00;0,00;1,00;2,00;2,00;0,00;0,00;0,00;0,00
2019-06-16;39,00;10,00;6,00;11,00;1,00;6,00;3,00;6,00;10,00;2,00;2,00;4,00;1,00;17,45;2,05;16,42;7,18;2,00;0,00;3,00;1,00;1,00;1,00;0,00;7,00;4,00;2,00;4,00;1,00;3,00;0,00;0,00;1,00;2,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-06-23;39,00;7,00;2,00;7,00;2,00;4,00;2,00;4,00;18,00;1,00;2,00;6,00;3,00;27,71;2,05;9,24;10,26;1,00;3,00;5,00;1,00;1,00;4,00;0,00;7,00;6,00;4,00;4,00;1,00;2,00;0,00;0,00;1,00;1,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;38,00;17,00;6,00;8,00;0,00;4,00;1,00;8,00;11,00;2,00;1,00;10,00;2,00;28,76;1,03;12,32;6,16;0,00;4,00;3,00;1,00;1,00;3,00;1,00;8,00;4,00;3,00;3,00;0,00;1,00;0,00;0,00;0,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00
