Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;40,00;0,00;42,00;2,86;44,29;112,73;40,00;5,00;60,00;80,00;5,00;12,00;9,00;3,00;1,00;13,33;2,96;32,59;5,93;0,00;24,00;0,00;3,00;3,00;1,00;0,00;0,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;31,00;0,00;33,00;2,82;36,64;144,67;24,11;5,17;72,33;72,33;10,33;7,00;9,00;7,00;3,00;17,71;11,81;32,48;7,38;0,00;3,88;1,94;0,00;3,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;37,00;0,00;25,00;12,81;44,12;111,00;33,64;9,25;74,00;64,75;4,63;12,00;3,00;4,00;1,00;14,80;1,48;41,44;4,44;0,00;4,11;4,11;7,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;31,00;0,00;30,00;14,09;29,59;144,67;31,00;10,33;62,00;82,67;10,33;7,00;8,00;5,00;0,00;23,62;5,90;44,29;1,48;1,94;3,88;3,88;5,00;3,00;1,00;1,00;1,00;7,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;28,00;0,00;36,00;10,32;30,95;126,00;42,00;9,33;65,33;74,67;9,33;4,00;10,00;6,00;3,00;13,26;14,74;32,42;2,95;0,00;4,00;2,00;3,00;0,00;1,00;1,00;0,00;0,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;29,00;0,00;32,00;2,90;33,35;155,88;47,13;0,00;106,33;96,67;4,83;7,00;4,00;4,00;4,00;33,58;12,21;48,84;6,11;0,00;2,07;2,07;4,00;3,00;0,00;0,00;4,00;3,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;37,00;0,00;31,00;4,27;46,96;148,00;37,00;9,25;74,00;111,00;27,75;10,00;7,00;13,00;7,00;23,68;4,44;38,48;5,92;4,11;2,06;0,00;6,00;0,00;1,00;1,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;0,00;34,00;2,86;52,86;146,67;66,67;10,00;90,00;90,00;5,00;13,00;7,00;11,00;3,00;22,86;12,86;40,00;5,71;0,00;2,00;0,00;4,00;4,00;0,00;3,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;31,00;0,00;34,00;11,27;42,27;179,11;48,22;10,33;113,67;103,33;10,33;10,00;16,00;7,00;6,00;22,14;7,38;45,76;4,43;0,00;3,88;3,88;3,00;3,00;3,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-10;31,00;0,00;24,00;4,23;43,68;172,22;48,22;10,33;82,67;113,67;5,17;9,00;9,00;9,00;4,00;32,48;14,76;48,71;7,38;0,00;3,88;0,00;4,00;1,00;0,00;4,00;4,00;3,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00
