Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;55,00;440,00;415,00;370,00;265,83;9,17;137,50;110,00;220,00;144,05;86,43;125,71;238,33;261,25;73,33;9,17;91,67;556,11;18,33;48,89;14,00;55,00;40,00;46,00;23,27;75,10;9,52;31,73;20,00;5,00;10,00;5,00;14,00;2,00;3,00
2019-01-13;57,00;419,73;383,45;383,45;256,50;9,50;142,50;104,50;204,68;139,91;80,32;114,00;214,85;219,23;57,00;8,77;85,50;484,50;17,10;34,20;19,00;37,00;38,00;42,00;22,17;73,89;11,61;29,56;16,00;9,00;7,00;5,00;12,00;2,00;1,00
2019-01-20;54,00;405,00;410,40;383,40;280,80;10,80;172,80;118,80;192,86;128,57;84,86;100,29;202,50;220,50;54,00;9,00;84,00;492,00;18,00;42,00;12,00;41,00;38,00;40,00;23,29;72,00;10,59;20,12;17,00;5,00;17,00;3,00;15,00;1,00;1,00
2019-01-27;49,00;347,90;323,40;338,10;215,60;9,80;147,00;107,80;180,53;123,79;87,68;113,47;187,09;196,00;49,00;8,91;98,00;526,75;18,38;42,88;17,00;40,00;35,00;40,00;22,94;77,15;8,34;22,94;14,00;6,00;9,00;5,00;11,00;2,00;0,00
2019-02-03;50,00;375,00;305,00;370,00;270,00;10,00;170,00;100,00;197,50;122,50;80,00;130,00;213,64;227,27;59,09;9,09;83,33;455,56;16,67;38,89;14,00;36,00;44,00;44,00;23,96;70,83;11,46;23,96;15,00;9,00;11,00;5,00;11,00;2,00;2,00
2019-02-10;51,00;387,60;326,40;377,40;244,80;10,20;163,20;112,20;188,70;132,60;81,60;124,95;199,36;222,55;60,27;4,64;73,67;447,67;17,00;34,00;17,00;39,00;37,00;42,00;20,82;57,24;6,24;23,94;16,00;7,00;9,00;4,00;12,00;3,00;1,00
2019-02-17;53,00;397,50;339,20;381,60;243,80;10,60;180,20;106,00;186,76;116,10;93,38;136,29;207,58;207,58;61,83;8,83;88,33;500,56;11,78;41,22;17,00;37,00;39,00;42,00;22,86;65,47;9,35;27,02;19,00;6,00;8,00;7,00;14,00;2,00;2,00
2019-02-24;54,00;383,40;313,20;410,40;259,20;10,80;194,40;118,80;172,29;126,00;84,86;133,71;198,00;207,00;58,50;4,50;84,00;444,00;18,00;36,00;16,00;34,00;37,00;35,00;22,24;56,12;8,47;23,29;14,00;7,00;9,00;5,00;10,00;2,00;3,00
2019-03-03;58,00;390,18;290,00;400,73;232,00;9,67;164,33;106,33;174,00;121,04;83,22;136,17;214,15;205,23;53,54;8,92;81,20;458,20;11,60;40,60;24,00;43,00;37,00;37,00;26,36;68,55;9,49;27,42;18,00;8,00;11,00;5,00;11,00;1,00;2,00
2019-03-10;64,00;394,67;314,67;426,67;219,43;9,14;155,43;100,57;171,52;117,76;89,60;133,12;192,00;224,00;59,43;13,71;87,27;442,18;11,64;40,73;17,00;42,00;34,00;45,00;23,08;62,95;6,30;25,18;14,00;6,00;9,00;2,00;12,00;2,00;2,00
