Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;49,00;379,75;61,25;12,25;24,50;33,00;38,00;18,00;29,00;15,00;9,00;10,00;12,00;14,00;21,00;5,00;56,00;6,68;10,02;95,77;5,57;59,76;3,59;2,39;2,39;46,00;15,00;30,00;1,00;45,41;26,29;40,63;7,17;5,00;10,00;8,00
2019-01-13;47,00;358,38;52,88;17,63;23,50;33,00;33,00;18,00;31,00;15,00;9,00;10,00;11,00;12,00;18,00;5,00;59,00;6,71;11,19;90,64;5,60;59,05;2,41;2,41;2,41;45,00;15,00;31,00;2,00;45,83;24,68;38,78;7,05;5,00;10,00;8,00
2019-01-20;45,00;405,00;57,86;12,86;25,71;30,00;41,00;20,00;28,00;14,00;8,00;10,00;11,00;11,00;18,00;4,00;53,00;5,49;9,88;88,90;5,49;56,84;3,55;2,37;2,37;48,00;16,00;32,00;2,00;40,26;28,42;37,89;7,11;5,00;8,00;8,00
2019-01-27;37,00;376,17;49,33;18,50;18,50;27,00;30,00;17,00;28,00;14,00;9,00;8,00;13,00;11,00;18,00;4,00;53,00;5,44;9,79;70,74;5,44;54,90;2,39;2,39;2,39;61,00;17,00;20,00;2,00;40,47;25,44;34,69;8,09;5,00;5,00;6,00
2019-02-03;37,00;388,50;55,50;12,33;24,67;29,00;29,00;21,00;30,00;15,00;9,00;10,00;13,00;12,00;19,00;4,00;55,00;6,73;11,21;68,39;5,61;58,48;3,58;2,39;2,39;45,00;15,00;20,00;2,00;44,16;26,26;40,58;7,16;4,00;6,00;7,00
2019-02-10;36,00;396,00;48,00;18,00;24,00;30,00;29,00;21,00;33,00;16,00;9,00;9,00;14,00;12,00;19,00;4,00;57,00;7,64;10,91;64,36;4,36;58,80;2,40;2,40;2,40;46,00;15,00;20,00;2,00;41,81;26,71;39,48;9,29;6,00;6,00;7,00
2019-02-17;37,00;419,33;55,50;18,50;24,67;31,00;29,00;21,00;32,00;14,00;10,00;9,00;14,00;14,00;20,00;3,00;57,00;7,85;11,21;72,88;5,61;66,84;2,39;2,39;2,39;48,00;15,00;17,00;2,00;45,35;29,84;40,58;9,55;5,00;6,00;7,00
2019-02-24;39,00;416,00;58,50;19,50;32,50;30,00;29,00;24,00;33,00;16,00;10,00;9,00;14,00;11,00;20,00;4,00;58,00;8,91;11,14;66,86;5,57;74,45;2,36;2,36;2,36;46,00;15,00;21,00;2,00;46,09;30,73;39,00;9,45;5,00;4,00;7,00
2019-03-03;37,00;400,83;49,33;18,50;24,67;31,00;29,00;21,00;37,00;14,00;9,00;10,00;14,00;11,00;18,00;4,00;69,00;5,61;11,21;78,48;4,48;68,03;2,39;2,39;2,39;53,00;17,00;19,00;2,00;42,97;34,61;42,97;8,35;5,00;6,00;6,00
2019-03-10;42,00;390,00;54,00;18,00;24,00;31,00;27,00;20,00;36,00;14,00;8,00;9,00;15,00;11,00;19,00;3,00;58,00;6,63;14,37;68,53;7,74;62,40;2,40;2,40;2,40;47,00;15,00;17,00;2,00;45,60;27,60;39,60;9,60;5,00;5,00;7,00
2019-03-17;35,00;420,00;46,67;17,50;23,33;30,00;26,00;20,00;34,00;13,00;9,00;8,00;15,00;10,00;18,00;3,00;58,00;6,77;10,16;68,87;6,77;71,21;2,41;3,62;2,41;47,00;14,00;16,00;2,00;41,03;28,97;38,62;8,45;5,00;6,00;6,00
2019-03-24;42,00;396,00;48,00;18,00;24,00;30,00;29,00;20,00;35,00;15,00;9,00;8,00;13,00;11,00;18,00;5,00;60,00;6,63;11,05;67,42;6,63;66,00;3,60;2,40;2,40;46,00;15,00;18,00;2,00;43,17;28,00;37,33;8,17;6,00;6,00;7,00
2019-03-31;55,00;452,22;55,00;18,33;30,56;36,00;39,00;21,00;35,00;15,00;10,00;13,00;16,00;11,00;20,00;5,00;61,00;7,86;13,47;108,88;7,86;75,33;3,59;2,39;2,39;54,00;15,00;37,00;2,00;43,04;31,09;55,00;10,76;6,00;9,00;7,00
2019-04-07;60,00;420,00;54,00;18,00;30,00;37,00;39,00;20,00;39,00;16,00;10,00;15,00;16,00;12,00;21,00;4,00;61,00;7,78;11,11;83,33;6,67;79,20;3,60;3,60;1,20;50,00;13,00;38,00;2,00;45,88;32,94;45,88;10,59;6,00;9,00;9,00
2019-04-14;68,00;618,18;49,45;18,55;37,09;35,00;47,00;19,00;33,00;15,00;10,00;14,00;15,00;10,00;17,00;4,00;59,00;7,80;11,15;83,61;6,69;76,35;3,58;2,39;2,39;55,00;15,00;38,00;2,00;46,53;33,40;54,88;10,74;9,00;11,00;8,00
2019-04-21;66,00;444,00;48,00;12,00;30,00;34,00;37,00;19,00;32,00;13,00;9,00;14,00;14,00;13,00;17,00;5,00;62,00;8,95;11,19;85,02;5,59;76,80;3,60;2,40;2,40;54,00;14,00;34,00;2,00;44,40;37,20;39,60;12,00;9,00;9,00;9,00
2019-04-28;62,00;415,40;49,60;12,40;31,00;32,00;38,00;21,00;32,00;14,00;9,00;12,00;15,00;13,00;17,00;5,00;58,00;8,86;11,07;74,18;5,54;78,69;3,58;3,58;2,38;49,00;13,00;40,00;2,00;44,12;31,00;40,54;8,35;6,00;11,00;9,00
2019-05-05;59,00;406,44;52,44;13,11;32,78;36,00;36,00;27,00;35,00;14,00;10,00;12,00;12,00;12,00;18,00;5,00;53,00;10,02;12,25;75,70;6,68;74,65;2,41;2,41;2,41;48,00;14,00;37,00;3,00;42,48;28,32;36,58;9,44;6,00;10,00;10,00
2019-05-12;61,00;366,00;42,70;12,20;30,50;33,00;35,00;20,00;30,00;11,00;9,00;11,00;11,00;12,00;17,00;4,00;57,00;7,76;11,09;77,64;6,65;69,37;3,59;2,39;2,39;48,00;13,00;33,00;2,00;39,88;28,15;37,54;9,38;6,00;9,00;9,00
2019-05-19;59,00;419,56;45,89;13,11;26,22;28,00;38,00;20,00;29,00;10,00;9,00;11,00;12,00;9,00;16,00;4,00;59,00;7,79;10,02;94,62;6,68;68,63;3,61;2,41;2,41;49,00;14,00;36,00;2,00;40,12;29,50;31,86;9,44;7,00;9,00;8,00
2019-05-26;62,00;434,00;43,40;12,40;31,00;28,00;38,00;20,00;29,00;14,00;7,00;13,00;13,00;12,00;15,00;4,00;60,00;7,89;11,27;84,55;5,64;75,12;3,58;2,38;2,38;55,00;12,00;37,00;2,00;46,50;33,38;36,96;11,92;9,00;10,00;8,00
2019-06-02;69,00;451,64;43,91;12,55;31,36;26,00;39,00;18,00;27,00;10,00;9,00;11,00;11,00;10,00;24,00;4,00;58,00;7,79;8,90;85,69;5,56;77,47;4,84;2,42;2,42;56,00;13,00;36,00;3,00;46,40;34,50;39,26;11,90;8,00;10,00;10,00
2019-06-09;71,00;471,18;45,18;12,91;32,27;28,00;40,00;17,00;27,00;12,00;8,00;12,00;12,00;10,00;15,00;4,00;61,00;8,88;8,88;85,42;5,55;81,83;3,61;2,41;2,41;55,00;17,00;39,00;2,00;43,78;34,32;37,87;14,20;9,00;9,00;10,00
2019-06-16;78,00;462,00;42,00;12,00;30,00;23,00;43,00;18,00;27,00;10,00;8,00;11,00;11,00;10,00;15,00;5,00;61,00;7,80;10,03;85,80;5,57;82,80;3,60;3,60;1,20;54,00;15,00;33,00;2,00;47,27;31,91;40,18;13,00;8,00;10,00;10,00
2019-06-23;80,00;486,15;36,92;12,31;30,77;22,00;39,00;17,00;28,00;10,00;9,00;11,00;15,00;8,00;20,00;4,00;61,00;7,78;10,00;92,22;5,56;89,55;3,58;3,58;2,39;54,00;15,00;38,00;3,00;47,76;38,21;40,60;14,33;9,00;11,00;10,00
2019-06-30;78,00;456,00;42,00;12,00;30,00;25,00;42,00;18,00;28,00;10,00;10,00;13,00;13,00;9,00;15,00;4,00;63,00;7,80;10,03;99,17;5,57;91,00;3,55;2,36;2,36;52,00;16,00;39,00;2,00;46,09;36,64;41,36;15,36;10,00;14,00;12,00
