Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;49,00;16,00;1,00;0,00;11,00;3,00;16,00;3,00;5,00;11,00;2,00;5,00;1,00;1,48;2,97;25,24;7,42;25,00;6,00;1,00;19,00;1,00;8,00;2,00;18,00;1,00;0,50;4,00;4,00;0,50;5,00;3,00;3,00;0,50;1,00;1,00;1,00;0,50;0,50;0,50;1,00;0,50;0,50
2019-01-13;47,00;19,00;2,00;0,00;14,00;3,00;15,00;4,00;5,00;9,00;2,00;6,00;1,00;1,47;4,41;22,03;7,34;25,00;7,00;1,00;19,00;1,00;8,00;2,00;21,00;1,00;0,50;4,00;4,00;1,00;4,00;3,00;4,00;0,50;1,00;1,00;1,00;1,00;0,50;0,50;1,00;0,50;0,50
2019-01-20;45,00;16,00;1,00;0,00;13,00;2,00;16,00;4,00;5,00;10,00;1,00;6,00;1,00;1,45;2,90;24,68;7,26;26,00;7,00;1,00;20,00;1,00;7,00;2,00;19,00;1,00;0,50;3,00;3,00;0,50;5,00;2,00;4,00;0,50;1,00;1,00;2,00;1,00;0,50;0,50;1,00;1,00;0,50
2019-01-27;37,00;19,00;1,00;0,00;11,00;3,00;15,00;3,00;6,00;5,00;2,00;5,00;1,00;1,42;2,85;22,77;8,54;23,00;6,00;1,00;17,00;1,00;8,00;1,00;21,00;2,00;0,50;4,00;4,00;0,50;5,00;3,00;3,00;0,50;1,00;1,00;2,00;1,00;0,50;0,50;1,00;0,50;0,50
2019-02-03;37,00;19,00;2,00;0,00;13,00;3,00;17,00;4,00;5,00;5,00;1,00;5,00;1,00;1,48;2,96;28,12;10,36;25,00;8,00;2,00;19,00;1,00;9,00;3,00;22,00;2,00;0,50;4,00;4,00;1,00;6,00;3,00;4,00;0,50;1,00;1,00;2,00;2,00;0,50;1,00;1,00;1,00;0,50
2019-02-10;36,00;20,00;2,00;0,00;13,00;3,00;17,00;5,00;5,00;6,00;2,00;5,00;1,00;1,44;2,88;27,36;10,08;31,00;8,00;1,00;20,00;1,00;9,00;2,00;22,00;2,00;0,50;4,00;6,00;0,50;6,00;3,00;4,00;0,50;1,00;2,00;3,00;2,00;1,00;1,00;1,00;1,00;0,50
2019-02-17;37,00;21,00;1,00;0,00;14,00;4,00;16,00;5,00;5,00;6,00;2,00;5,00;1,00;1,48;2,96;34,04;13,32;33,00;10,00;1,00;23,00;1,00;10,00;2,00;21,00;2,00;0,50;5,00;6,00;1,00;5,00;5,00;5,00;0,50;1,00;2,00;3,00;3,00;1,00;1,00;2,00;1,00;0,50
2019-02-24;39,00;22,00;2,00;0,00;14,00;4,00;19,00;6,00;6,00;7,00;2,00;5,00;1,00;1,44;4,33;31,78;11,56;29,00;10,00;2,00;22,00;1,00;9,00;2,00;22,00;2,00;0,50;5,00;6,00;1,00;5,00;4,00;6,00;0,50;1,00;2,00;3,00;3,00;1,00;1,00;1,00;1,00;0,50
2019-03-03;37,00;23,00;2,00;0,00;13,00;5,00;20,00;5,00;6,00;6,00;3,00;6,00;1,00;1,48;4,44;29,60;11,84;28,00;10,00;1,00;21,00;1,00;10,00;2,00;23,00;1,00;0,50;5,00;5,00;1,00;5,00;4,00;4,00;0,50;2,00;1,00;2,00;3,00;0,50;1,00;1,00;1,00;0,50
2019-03-10;42,00;23,00;2,00;0,00;12,00;3,00;21,00;6,00;6,00;6,00;2,00;5,00;1,00;1,45;4,34;26,07;10,14;27,00;10,00;2,00;22,00;1,00;10,00;2,00;23,00;2,00;0,50;4,00;4,00;1,00;5,00;5,00;5,00;0,50;1,00;2,00;2,00;2,00;1,00;1,00;1,00;0,50;0,00
