Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;23,00;147,86;197,14;141,29;141,29;95,54;1,77;60,15;92,00;138,00;49,29;108,43;64,40;96,60;105,80;36,80;49,29;71,19;5,48;10,00;36,00;19,00;6,00;12,00;3,00;3,00;3,00;3,00;1,00;6,00;1,00;1,00
2019-01-13;22,00;141,43;207,43;135,14;138,29;110,00;1,83;66,00;100,83;165,00;55,00;128,33;71,50;126,50;137,50;49,50;51,70;78,10;5,50;11,00;38,00;24,00;5,00;12,00;5,00;5,00;4,00;2,00;1,00;5,00;0,50;0,50
2019-01-20;22,00;125,71;191,71;138,29;141,43;100,83;1,83;78,83;95,33;135,14;44,00;103,71;52,80;88,00;105,60;39,60;50,29;73,33;7,33;8,00;35,00;20,00;4,00;11,00;3,00;4,00;2,00;3,00;2,00;4,00;1,00;1,00
2019-01-27;18,00;154,80;216,00;158,40;133,20;64,80;0,90;73,80;95,40;129,60;61,20;126,00;63,00;99,00;99,00;40,50;51,75;85,50;5,63;11,00;35,00;24,00;7,00;11,00;2,00;4,00;4,00;3,00;1,00;6,00;1,00;1,00
2019-02-03;14,00;143,50;182,00;157,50;119,00;54,25;1,75;70,00;98,00;126,00;52,50;129,50;60,67;126,00;107,33;46,67;49,54;74,31;6,46;10,00;35,00;22,00;6,00;9,00;2,00;7,00;2,00;3,00;1,00;7,00;1,00;1,00
2019-02-10;16,00;147,20;185,60;140,80;118,40;56,89;1,78;71,11;108,44;118,40;44,80;118,40;74,67;122,67;117,33;64,00;51,20;76,80;5,33;9,00;36,00;22,00;5,00;11,00;1,00;6,00;4,00;4,00;1,00;8,00;1,00;1,00
2019-02-17;18,00;162,00;190,80;162,00;115,20;61,20;1,80;70,20;102,60;136,80;64,80;144,00;63,00;108,00;103,50;49,50;52,88;73,13;11,25;8,00;36,00;23,00;7,00;9,00;1,00;5,00;3,00;3,00;0,50;9,00;1,00;1,00
2019-02-24;17,00;159,80;187,00;170,00;125,80;69,89;1,89;86,89;103,89;132,60;61,20;129,20;79,33;153,00;119,00;68,00;49,87;72,53;5,67;11,00;30,00;15,00;7,00;12,00;2,00;4,00;3,00;4,00;2,00;8,00;1,00;0,50
2019-03-03;17,00;166,60;207,40;166,60;129,20;59,50;1,70;69,70;102,00;149,60;74,80;142,80;63,75;106,25;97,75;51,00;55,25;66,94;7,44;7,00;36,00;24,00;10,00;19,00;2,00;4,00;3,00;3,00;2,00;10,00;0,50;1,00
2019-03-10;20,00;160,00;193,33;160,00;123,33;63,64;1,82;78,18;109,09;130,00;73,33;130,00;70,00;130,00;115,00;60,00;42,11;78,95;5,26;11,00;30,00;19,00;6,00;17,00;2,00;7,00;3,00;2,00;3,00;10,00;1,00;0,50
2019-03-17;22,00;154,00;182,29;176,00;113,14;67,83;1,83;73,33;113,67;125,71;56,57;125,71;70,40;114,40;101,20;57,20;49,24;75,43;6,29;12,00;34,00;22,00;7,00;12,00;2,00;6,00;4,00;4,00;2,00;10,00;1,00;1,00
2019-03-24;18,00;144,00;168,00;159,00;114,00;55,80;1,80;73,80;120,60;158,40;68,40;129,60;72,00;108,00;103,50;67,50;46,59;73,06;4,24;11,00;32,00;23,00;9,00;11,00;2,00;6,00;2,00;2,00;3,00;9,00;1,00;1,00
2019-03-31;23,00;164,29;177,43;161,00;157,71;107,92;1,77;70,77;113,23;180,71;65,71;157,71;73,60;119,60;105,80;59,80;51,23;61,68;7,32;12,00;32,00;24,00;8,00;9,00;5,00;4,00;3,00;5,00;3,00;5,00;1,00;0,50
2019-04-07;37,00;205,18;191,73;181,64;181,64;112,76;1,76;84,57;176,19;215,27;80,73;158,09;83,25;129,50;120,25;64,75;54,41;72,91;8,71;13,00;31,00;26,00;7,00;11,00;4,00;4,00;3,00;4,00;2,00;7,00;1,00;1,00
2019-04-14;36,00;327,27;173,45;202,91;170,18;117,00;1,80;79,20;149,40;255,27;68,73;140,73;97,71;174,86;154,29;97,71;48,00;77,45;7,64;15,00;39,00;22,00;9,00;12,00;4,00;5,00;5,00;3,00;1,00;6,00;1,00;0,50
2019-04-21;35,00;155,91;165,45;155,91;159,09;101,50;1,75;68,25;99,75;224,00;66,50;119,00;85,00;140,00;130,00;80,00;48,79;64,70;5,30;15,00;39,00;29,00;12,00;10,00;5,00;4,00;4,00;3,00;2,00;9,00;1,00;1,00
2019-04-28;30,00;156,67;176,67;150,00;166,67;111,18;1,76;70,59;95,29;213,33;60,00;126,67;85,00;160,00;120,00;80,00;53,57;64,29;7,50;15,00;44,00;30,00;10,00;9,00;5,00;4,00;4,00;3,00;2,00;7,00;0,50;0,50
2019-05-05;27,00;151,88;192,38;141,75;182,25;106,20;1,80;91,80;97,20;185,63;67,50;128,25;81,00;156,60;129,60;64,80;52,92;70,20;6,48;14,00;38,00;19,00;9,00;12,00;7,00;6,00;4,00;2,00;2,00;7,00;1,00;1,00
2019-05-12;32,00;156,80;172,80;144,00;150,40;112,00;1,78;74,67;99,56;195,56;64,00;128,00;73,14;132,57;109,71;68,57;49,07;66,13;8,53;15,00;37,00;23,00;7,00;12,00;5,00;6,00;3,00;2,00;2,00;6,00;1,00;1,00
2019-05-19;29,00;161,11;148,22;145,00;151,44;112,38;1,81;68,88;101,50;183,67;58,00;112,78;67,67;145,00;116,00;72,50;52,63;67,67;11,81;15,00;41,00;34,00;7,00;19,00;5,00;4,00;3,00;3,00;2,00;6,00;2,00;1,00
2019-05-26;35,00;155,91;155,91;143,18;159,09;99,75;3,50;75,25;92,75;220,50;63,00;133,00;190,00;155,00;135,00;80,00;51,97;66,82;10,61;15,00;40,00;33,00;10,00;13,00;5,00;6,00;5,00;2,00;3,00;12,00;2,00;1,00
2019-06-02;39,00;175,50;175,50;146,25;159,25;97,50;1,77;67,36;92,18;216,27;60,27;127,64;102,38;312,00;117,00;73,13;48,75;67,17;9,75;16,00;40,00;29,00;9,00;10,00;4,00;5,00;4,00;5,00;2,00;6,00;1,00;1,00
2019-06-09;38,00;177,33;158,33;148,83;161,50;106,76;1,81;65,14;103,14;221,09;65,64;124,36;80,75;156,75;128,25;80,75;52,78;60,17;7,39;17,00;49,00;27,00;9,00;12,00;6,00;6,00;5,00;4,00;2,00;8,00;2,00;1,00
2019-06-16;44,00;157,14;150,86;147,71;138,29;96,80;1,76;65,12;84,48;213,23;60,92;148,92;83,11;146,67;127,11;88,00;50,44;68,68;10,73;16,00;47,00;33,00;10,00;12,00;6,00;5,00;6,00;3,00;3,00;7,00;1,00;1,00
2019-06-23;38,00;142,50;145,67;129,83;148,83;94,10;1,81;65,14;92,29;179,64;62,18;203,82;71,25;128,25;104,50;57,00;55,37;66,23;8,69;21,00;40,00;31,00;12,00;10,00;5,00;8,00;5,00;3,00;4,00;9,00;2,00;2,00
