Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;72,00;5,88;7,35;2,94;61,71;8,73;7,64;13,09;1,09;16,00;5,00;79,00;54,00;16,00;7,00;13,00;7,00;18,00;0,00;10,00;7,00;2,00;4,00;10,00;0,00;4,00;7,00;12,00;8,00;1,00;1,00;0,00;1,00;2,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;78,00;5,89;4,42;2,94;66,23;9,89;3,30;8,79;4,39;25,00;0,00;46,00;2,00;13,00;10,00;8,00;13,00;28,00;0,00;11,00;2,00;0,00;1,00;12,00;0,00;4,00;0,00;21,00;7,00;0,00;5,00;6,00;7,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;65,00;2,89;10,11;2,89;34,67;3,25;4,33;6,50;0,00;18,00;2,00;27,00;0,00;16,00;7,00;17,00;6,00;19,00;0,00;14,00;1,00;1,00;0,00;13,00;0,00;2,00;4,00;11,00;23,00;0,00;4,00;0,00;6,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;70,00;5,83;2,92;4,38;46,67;7,66;7,66;3,28;4,38;21,00;5,00;34,00;0,00;22,00;8,00;13,00;6,00;17,00;1,00;5,00;1,00;1,00;1,00;13,00;0,00;5,00;5,00;14,00;9,00;0,00;8,00;11,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;76,00;4,38;2,92;1,46;33,62;2,17;3,26;7,60;2,17;17,00;1,00;27,00;2,00;10,00;9,00;22,00;11,00;17,00;0,00;6,00;7,00;4,00;5,00;9,00;0,00;6,00;2,00;17,00;6,00;0,00;3,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;81,00;5,89;8,84;1,47;54,49;6,57;2,19;9,85;2,19;6,00;4,00;21,00;4,00;10,00;6,00;13,00;11,00;20,00;1,00;9,00;0,00;1,00;5,00;5,00;0,00;3,00;1,00;18,00;8,00;0,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;70,00;8,75;2,92;0,00;26,25;2,19;9,84;1,09;3,28;14,00;1,00;19,00;3,00;13,00;8,00;9,00;16,00;11,00;1,00;6,00;3,00;4,00;3,00;9,00;0,00;4,00;4,00;11,00;4,00;0,00;3,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;64,00;4,36;4,36;2,91;29,09;8,68;0,00;9,76;5,42;17,00;0,00;22,00;1,00;9,00;7,00;5,00;9,00;10,00;0,00;4,00;0,00;1,00;4,00;7,00;0,00;5,00;0,00;9,00;6,00;0,00;3,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;54,00;2,92;7,30;2,92;45,24;8,64;3,24;6,48;2,16;18,00;4,00;19,00;5,00;7,00;12,00;11,00;2,00;5,00;0,00;4,00;6,00;2,00;2,00;6,00;1,00;0,00;4,00;11,00;5,00;0,00;5,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;78,00;4,33;11,56;1,44;23,11;7,58;2,17;7,58;0,00;10,00;1,00;32,00;0,00;6,00;5,00;10,00;7,00;6,00;0,00;10,00;2,00;1,00;1,00;5,00;0,00;2,00;2,00;5,00;2,00;0,00;1,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
