Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Flachau (AT);La Clusaz (FR);Zillertal (AT);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;71,00;5,36;6,70;1,34;52,25;4,30;7,53;12,91;1,08;14,00;4,00;78,00;49,00;16,00;6,00;13,00;6,00;19,00;0,00;9,00;7,00;2,00;4,00;9,00;0,00;4,00;6,00;8,00;8,00;1,00;2,00;0,00;0,00;2,00;4,00;1,00;0,00;0,00;0,00;0,00
2019-01-13;78,00;5,38;5,38;4,03;61,86;8,67;3,25;8,67;3,25;20,00;0,00;45,00;2,00;13,00;10,00;8,00;10,00;26,00;0,00;11,00;2,00;0,00;1,00;12,00;0,00;4,00;0,00;20,00;7,00;0,00;5,00;6,00;6,00;1,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;67,00;4,10;9,57;2,73;32,82;3,24;4,32;6,48;0,00;16,00;2,00;26,00;0,00;14,00;6,00;17,00;5,00;20,00;0,00;14,00;1,00;1,00;0,00;13,00;0,00;2,00;4,00;10,00;23,00;0,00;4,00;0,00;6,00;1,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;69,00;5,41;4,06;4,06;46,00;6,47;7,55;3,23;4,31;15,00;5,00;34,00;0,00;19,00;8,00;12,00;2,00;16,00;1,00;5,00;1,00;1,00;1,00;13,00;0,00;5,00;5,00;13,00;9,00;0,00;8,00;10,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;75,00;4,02;2,68;1,34;26,79;2,14;3,21;7,50;2,14;19,00;1,00;27,00;2,00;10,00;9,00;22,00;8,00;15,00;0,00;6,00;7,00;4,00;5,00;9,00;0,00;6,00;1,00;14,00;6,00;0,00;2,00;1,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;81,00;6,75;8,10;1,35;48,60;5,40;2,16;9,72;2,16;4,00;4,00;22,00;2,00;10,00;6,00;12,00;9,00;19,00;1,00;9,00;0,00;1,00;4,00;5,00;0,00;2,00;1,00;15,00;7,00;0,00;0,00;1,00;1,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;69,00;8,12;2,71;0,00;27,06;2,16;9,70;1,08;4,31;9,00;1,00;19,00;3,00;11,00;6,00;9,00;11,00;11,00;1,00;6,00;2,00;4,00;0,00;9,00;0,00;4,00;4,00;11,00;4,00;0,00;2,00;1,00;3,00;2,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;63,00;4,02;4,02;1,34;25,47;9,61;0,00;9,61;5,34;12,00;0,00;22,00;1,00;9,00;7,00;5,00;3,00;10,00;0,00;4,00;0,00;1,00;4,00;7,00;0,00;5,00;0,00;7,00;6,00;0,00;4,00;0,00;3,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;53,00;3,98;6,63;1,33;38,43;7,42;3,18;6,36;2,12;11,00;3,00;20,00;5,00;7,00;12,00;10,00;2,00;5,00;0,00;3,00;6,00;2,00;2,00;6,00;1,00;0,00;4,00;11,00;5,00;0,00;6,00;0,00;4,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;77,00;5,40;12,16;1,35;21,61;7,49;2,14;7,49;0,00;3,00;1,00;33,00;0,00;5,00;5,00;9,00;5,00;6,00;0,00;9,00;2,00;1,00;0,00;5,00;0,00;2,00;2,00;5,00;2,00;0,00;1,00;2,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00
