Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;23,00;147,86;197,14;141,29;141,29;93,77;1,77;58,38;90,23;141,29;49,29;108,43;64,40;96,60;105,80;36,80;48,19;70,10;5,48;9,00;36,00;20,00;6,00;12,00;3,00;3,00;3,00;3,00;1,00;6,00;1,00;1,00
2019-01-13;21,00;138,00;198,00;129,00;132,00;103,25;1,75;61,25;94,50;157,50;52,50;122,50;68,25;115,50;131,25;47,25;47,25;74,55;6,30;11,00;38,00;25,00;5,00;11,00;5,00;5,00;4,00;3,00;1,00;5,00;0,50;0,50
2019-01-20;22,00;125,71;191,71;141,43;141,43;99,00;1,83;78,83;95,33;135,14;40,86;103,71;48,40;88,00;105,60;39,60;51,70;75,90;7,70;8,00;34,00;20,00;4,00;11,00;2,00;4,00;2,00;3,00;2,00;4,00;1,00;1,00
2019-01-27;17,00;146,20;204,00;149,60;125,80;61,20;0,85;68,00;90,10;122,40;57,80;119,00;59,50;93,50;93,50;38,25;47,81;77,56;5,31;11,00;35,00;23,00;7,00;11,00;1,00;3,00;4,00;3,00;1,00;6,00;1,00;1,00
2019-02-03;13,00;133,25;172,25;146,25;110,50;55,71;1,86;74,29;104,00;113,75;48,75;120,25;56,33;117,00;99,67;43,33;50,92;75,83;6,50;10,00;35,00;22,00;5,00;9,00;2,00;7,00;2,00;3,00;1,00;7,00;1,00;1,00
2019-02-10;16,00;147,20;188,80;144,00;118,40;56,89;1,78;71,11;104,89;118,40;48,00;121,60;74,67;122,67;117,33;64,00;50,13;76,80;4,27;9,00;36,00;23,00;5,00;11,00;1,00;6,00;4,00;4,00;1,00;8,00;1,00;1,00
2019-02-17;17,00;153,00;180,20;153,00;108,80;56,10;1,70;64,60;95,20;129,20;61,20;136,00;59,50;97,75;102,00;46,75;49,94;68,00;10,63;7,00;35,00;23,00;7,00;9,00;1,00;5,00;3,00;3,00;0,50;8,00;1,00;1,00
2019-02-24;16,00;150,40;179,20;163,20;118,40;65,78;1,78;80,00;97,78;124,80;57,60;121,60;74,67;144,00;112,00;64,00;45,87;67,20;5,33;11,00;29,00;15,00;7,00;12,00;1,00;4,00;3,00;4,00;2,00;8,00;1,00;0,50
2019-03-03;17,00;170,00;207,40;166,60;129,20;64,22;1,89;75,56;113,33;149,60;74,80;142,80;85,00;141,67;130,33;68,00;55,25;66,94;7,44;7,00;36,00;24,00;10,00;19,00;2,00;4,00;3,00;3,00;2,00;9,00;0,50;1,00
2019-03-10;20,00;163,33;193,33;163,33;123,33;63,64;1,82;80,00;110,91;133,33;76,67;133,33;70,00;130,00;115,00;60,00;43,33;81,11;5,56;10,00;30,00;19,00;6,00;16,00;2,00;8,00;3,00;2,00;3,00;10,00;1,00;0,50
