Semaine;Nice (FR);reta (SI);Agadir (MA);Djerba (TN);Corfu (GR);Santorini Island (GR);Faro (PT);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;40,00;0,00;41,00;2,67;41,33;116,36;43,64;5,00;60,00;80,00;5,00;11,00;9,00;3,00;2,00;13,33;2,96;32,59;4,44;0,00;21,82;0,00;3,00;3,00;2,00;0,00;0,00;3,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;31,00;0,00;33,00;2,70;36,39;144,67;24,11;5,17;62,00;72,33;10,33;8,00;7,00;7,00;3,00;17,71;11,81;32,48;4,43;0,00;3,88;1,94;0,00;3,00;0,00;0,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;37,00;0,00;25,00;13,21;43,61;114,36;33,64;9,25;74,00;55,50;4,63;9,00;3,00;4,00;1,00;14,80;1,48;41,44;4,44;0,00;3,70;3,70;7,00;0,00;0,00;0,00;3,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;31,00;0,00;30,00;13,48;29,65;144,67;31,00;10,33;62,00;72,33;10,33;7,00;8,00;6,00;0,00;23,62;5,90;44,29;0,00;1,94;3,88;3,88;5,00;3,00;1,00;1,00;1,00;7,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;28,00;0,00;37,00;11,20;32,20;126,00;42,00;9,33;65,33;74,67;9,33;5,00;10,00;6,00;3,00;13,26;14,74;32,42;4,42;0,00;8,00;2,00;3,00;0,00;0,00;1,00;0,00;0,00;4,00;1,00;1,00;0,00;0,00;0,00;0,00
2019-02-10;29,00;0,00;32,00;2,76;33,14;163,13;47,13;0,00;106,33;96,67;4,83;3,00;4,00;4,00;4,00;33,58;12,21;48,84;3,05;0,00;2,07;2,07;4,00;3,00;0,00;0,00;4,00;3,00;4,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-02-17;37,00;0,00;32,00;4,11;47,96;144,64;37,00;9,25;83,25;111,00;27,75;8,00;7,00;13,00;7,00;23,68;4,44;38,48;4,44;3,70;1,85;0,00;6,00;0,00;1,00;1,00;1,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;20,00;0,00;33,00;2,67;52,00;146,67;66,67;10,00;90,00;90,00;5,00;12,00;7,00;12,00;3,00;24,62;13,85;43,08;3,08;0,00;2,00;0,00;4,00;4,00;0,00;3,00;4,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;31,00;0,00;34,00;12,13;43,13;179,11;48,22;10,33;113,67;103,33;10,33;10,00;16,00;6,00;6,00;22,14;7,38;45,76;2,95;0,00;3,88;3,88;3,00;3,00;1,00;1,00;1,00;1,00;1,00;0,00;0,00;0,00;1,00;0,00;0,00
2019-03-10;32,00;0,00;22,00;4,00;45,33;177,78;49,78;10,67;85,33;106,67;5,33;11,00;9,00;9,00;4,00;32,00;14,55;48,00;5,82;0,00;8,00;0,00;4,00;1,00;0,00;4,00;4,00;3,00;4,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-03-17;43,00;0,00;22,00;4,03;34,94;182,75;57,33;8,60;94,60;103,20;8,60;17,00;7,00;6,00;3,00;17,79;5,93;48,93;13,34;0,00;1,95;0,00;4,00;3,00;0,00;3,00;1,00;1,00;1,00;0,00;1,00;1,00;0,00;0,00;0,00
2019-03-24;46,00;0,00;21,00;6,76;50,06;219,38;56,62;9,20;110,40;92,00;4,60;2,00;10,00;6,00;9,00;17,81;11,87;38,58;4,45;0,00;1,92;0,00;6,00;1,00;1,00;0,00;1,00;3,00;1,00;1,00;0,00;1,00;0,00;0,00;0,00
2019-03-31;64,00;0,00;30,00;8,17;38,13;160,00;53,33;4,57;73,14;91,43;18,29;18,00;6,00;7,00;0,00;22,33;14,88;55,07;8,93;1,88;3,76;3,76;7,00;0,00;1,00;4,00;0,00;3,00;1,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;50,00;0,00;31,00;2,70;44,59;192,86;35,71;10,00;90,00;130,00;10,00;12,00;13,00;7,00;1,00;35,29;20,59;54,41;4,41;0,00;7,69;1,92;3,00;1,00;0,00;1,00;1,00;3,00;8,00;0,00;0,00;4,00;0,00;0,00;0,00
2019-04-14;72,00;0,00;26,00;12,23;43,47;280,80;72,00;18,00;72,00;216,00;9,00;22,00;15,00;15,00;9,00;36,00;12,00;30,00;15,00;0,00;7,58;0,00;3,00;3,00;2,00;5,00;4,00;1,00;12,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-04-21;62,00;0,00;16,00;8,09;62,00;241,11;55,11;4,43;88,57;106,29;8,86;15,00;20,00;10,00;0,00;21,17;12,10;51,41;6,05;1,94;3,88;3,88;6,00;0,00;1,00;0,00;1,00;1,00;6,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-04-28;49,00;0,00;17,00;8,17;50,36;241,50;56,00;9,80;98,00;107,80;9,80;12,00;12,00;7,00;6,00;31,18;14,85;47,52;7,42;0,00;3,77;0,00;11,00;3,00;0,00;3,00;3,00;3,00;6,00;1,00;1,00;1,00;0,00;0,00;1,00
2019-05-05;51,00;0,00;30,00;11,03;57,89;200,36;40,07;10,20;112,20;122,40;10,20;12,00;16,00;9,00;3,00;24,00;13,50;48,00;10,50;1,96;3,92;0,00;10,00;3,00;0,00;1,00;3,00;3,00;4,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-05-12;57,00;0,00;27,00;5,43;62,43;235,13;64,13;9,50;95,00;95,00;9,50;14,00;9,00;10,00;4,00;33,00;22,50;52,50;10,50;0,00;3,80;0,00;11,00;3,00;1,00;0,00;1,00;1,00;7,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-05-19;66,00;0,00;21,00;4,04;83,51;229,26;41,68;28,29;169,71;103,71;9,43;6,00;17,00;10,00;4,00;16,50;37,50;63,00;13,50;3,88;3,88;1,94;8,00;3,00;4,00;1,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00
2019-05-26;72,00;0,00;24,00;5,43;70,64;237,60;54,00;18,00;117,00;90,00;9,00;6,00;18,00;8,00;4,00;30,86;20,57;74,94;7,35;0,00;7,58;1,89;11,00;1,00;0,00;0,00;6,00;3,00;4,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-06-02;69,00;0,00;29,00;5,41;89,29;289,80;51,75;19,71;157,71;147,86;9,86;4,00;10,00;24,00;4,00;30,00;27,00;72,00;10,50;0,00;3,83;0,00;10,00;3,00;3,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;76,00;0,00;30,00;9,50;88,21;318,48;54,29;19,00;152,00;152,00;9,50;16,00;19,00;14,00;6,00;149,02;19,37;56,63;5,96;0,00;0,00;1,90;10,00;4,00;3,00;3,00;1,00;1,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;65,00;0,00;32,00;5,42;112,40;314,74;54,74;18,57;204,29;139,29;9,29;17,00;19,00;22,00;1,00;35,45;14,77;63,52;7,39;0,00;3,82;1,91;13,00;1,00;4,00;1,00;1,00;6,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;97,00;1,00;30,00;14,82;125,29;336,04;58,89;9,70;174,60;155,20;9,70;33,00;24,00;17,00;3,00;52,23;14,92;82,08;19,40;3,88;7,76;1,94;13,00;4,00;3,00;0,00;3,00;3,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;76,00;0,00;45,00;6,79;104,50;300,55;55,27;19,00;180,50;180,50;9,50;12,00;15,00;13,00;3,00;43,22;17,88;96,86;8,94;3,80;7,60;1,90;10,00;7,00;4,00;1,00;6,00;4,00;10,00;1,00;3,00;0,00;0,00;0,00;0,00
2019-07-07;86,00;0,00;33,00;8,06;126,31;329,67;75,25;19,11;191,11;162,44;9,56;17,00;23,00;29,00;6,00;53,38;13,34;63,76;10,38;0,00;7,82;3,91;8,00;7,00;3,00;1,00;6,00;1,00;11,00;0,00;0,00;3,00;0,00;0,00;0,00
2019-07-14;90,00;0,00;34,00;9,40;106,12;304,62;69,23;27,00;153,00;207,00;9,00;24,00;19,00;9,00;4,00;48,69;8,85;76,72;10,33;0,00;15,00;1,88;12,00;4,00;4,00;1,00;6,00;9,00;12,00;0,00;0,00;3,00;0,00;1,00;0,00
2019-07-21;76,00;0,00;42,00;20,36;88,21;314,36;86,36;19,00;228,00;237,50;19,00;29,00;32,00;23,00;8,00;29,80;22,35;80,47;10,43;1,90;15,20;3,80;19,00;4,00;8,00;3,00;6,00;4,00;10,00;1,00;1,00;4,00;0,00;0,00;0,00
2019-07-28;100,00;0,00;28,00;12,16;113,51;357,14;100,00;18,18;200,00;254,55;18,18;33,00;28,00;27,00;5,00;58,21;43,28;58,21;22,39;0,00;7,69;1,92;12,00;8,00;9,00;2,00;3,00;2,00;8,00;2,00;0,00;3,00;0,00;2,00;0,00
2019-08-04;93,00;0,00;37,00;17,78;131,29;289,73;85,85;18,60;167,40;297,60;18,60;30,00;33,00;17,00;14,00;33,00;33,00;93,00;10,50;1,94;7,75;1,94;14,00;2,00;9,00;6,00;8,00;3,00;9,00;2,00;6,00;2,00;0,00;2,00;0,00
2019-08-11;91,00;0,00;26,00;17,66;118,16;318,50;73,50;27,30;182,00;354,90;18,20;26,00;34,00;17,00;8,00;41,77;28,34;65,64;17,90;1,90;7,58;1,90;17,00;6,00;11,00;8,00;5,00;5,00;9,00;5,00;0,00;2,00;0,00;2,00;0,00
2019-08-18;97,00;0,00;19,00;14,82;90,26;287,54;83,14;29,10;155,20;970,00;9,70;10,00;26,00;23,00;9,00;41,78;26,86;67,15;13,43;0,00;15,52;3,88;19,00;4,00;3,00;0,00;4,00;4,00;13,00;6,00;1,00;0,00;1,00;0,00;0,00
2019-08-25;68,00;0,00;26,00;8,16;70,72;221,89;68,00;9,71;136,00;437,14;19,43;18,00;29,00;23,00;7,00;23,65;19,22;73,91;16,26;0,00;7,56;3,78;7,00;6,00;7,00;1,00;4,00;0,00;7,00;0,00;0,00;1,00;0,00;1,00;0,00
2019-09-01;63,00;0,00;36,00;8,22;45,20;178,50;56,00;18,00;99,00;135,00;4,50;16,00;19,00;15,00;5,00;21,00;9,00;54,00;12,00;0,00;7,88;1,97;10,00;1,00;1,00;0,00;1,00;1,00;8,00;1,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;74,00;0,00;22,00;9,42;57,85;179,71;56,38;18,50;92,50;120,25;4,63;14,00;19,00;14,00;1,00;31,08;14,80;39,96;16,28;0,00;7,79;0,00;8,00;1,00;3,00;3,00;3,00;0,00;3,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-09-15;47,00;0,00;31,00;1,38;52,53;166,31;47,00;9,40;75,20;131,60;4,70;13,00;16,00;11,00;5,00;19,71;12,13;57,61;6,06;0,00;3,92;0,00;9,00;0,00;0,00;3,00;0,00;1,00;0,00;3,00;1,00;1,00;0,00;0,00;0,00
2019-09-22;78,00;0,00;24,00;10,76;36,31;120,55;42,55;9,75;68,25;107,25;9,75;7,00;5,00;11,00;9,00;20,60;4,42;38,26;14,72;0,00;11,70;3,90;16,00;0,00;0,00;3,00;1,00;3,00;1,00;0,00;1,00;0,00;0,00;0,00;0,00
2019-09-29;64,00;0,00;17,00;34,04;36,77;120,89;35,56;18,29;73,14;109,71;4,57;13,00;8,00;9,00;3,00;23,81;7,44;26,79;5,95;0,00;1,88;1,88;9,00;1,00;0,00;1,00;1,00;3,00;3,00;1,00;0,00;0,00;0,00;1,00;0,00
2019-10-06;51,00;0,00;22,00;14,76;30,87;115,60;44,20;10,20;51,00;132,60;10,20;4,00;11,00;15,00;7,00;13,50;10,50;34,50;1,50;0,00;3,92;1,96;7,00;1,00;1,00;0,00;1,00;3,00;1,00;0,00;0,00;1,00;0,00;0,00;0,00
2019-10-13;58,00;0,00;12,00;8,09;26,98;81,88;27,29;9,67;38,67;87,00;0,00;6,00;4,00;1,00;0,00;14,87;11,90;22,31;2,97;0,00;7,73;0,00;4,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
