Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;16,00;144,00;134,40;64,00;89,60;66,67;2,67;57,33;84,00;48,00;109,33;138,67;58,67;45,71;57,14;54,86;13,71;33,00;44,00;29,00;55,00;8,00;50,00;18,00;13,00;12,00;5,00;54,00;4,00;6,00;8,00;1,00;5,00;2,00;0,00
2019-01-13;25,00;128,13;131,25;59,38;100,00;61,84;1,32;64,47;67,11;45,00;87,50;152,50;60,00;45,45;61,36;56,82;22,73;30,00;36,00;22,00;40,00;8,00;37,00;25,00;19,00;8,00;7,00;63,00;7,00;4,00;4,00;2,00;9,00;2,00;1,00
2019-01-20;27,00;138,00;132,00;69,00;108,00;81,00;2,70;68,85;71,55;46,64;71,18;152,18;51,55;54,00;44,18;44,18;22,09;26,00;38,00;26,00;44,00;9,00;54,00;27,00;13,00;12,00;10,00;53,00;3,00;7,00;5,00;2,00;7,00;4,00;0,00
2019-01-27;16,00;147,20;153,60;92,80;80,00;54,67;1,33;72,00;73,33;45,33;98,67;152,00;72,00;36,57;50,29;48,00;20,57;36,00;32,00;16,00;41,00;9,00;48,00;22,00;12,00;9,00;3,00;66,00;4,00;4,00;4,00;1,00;10,00;2,00;0,00
2019-02-03;14,00;168,00;129,50;70,00;94,50;50,40;1,40;74,20;70,00;44,33;86,33;142,33;58,33;53,67;65,33;58,33;23,33;38,00;52,00;21,00;50,00;9,00;69,00;23,00;17,00;14,00;1,00;60,00;2,00;5,00;2,00;6,00;5,00;1,00;2,00
2019-02-10;19,00;145,67;133,00;60,17;69,67;65,14;2,71;73,29;77,36;38,00;83,13;142,50;59,38;57,00;64,13;52,25;28,50;49,00;42,00;21,00;35,00;15,00;47,00;22,00;15,00;13,00;3,00;54,00;4,00;1,00;3,00;5,00;9,00;0,00;3,00
2019-02-17;25,00;153,13;140,63;65,63;93,75;54,17;0,00;66,67;66,67;45,00;105,00;135,00;72,50;47,50;65,00;57,50;20,00;42,00;37,00;25,00;43,00;12,00;51,00;22,00;15,00;8,00;4,00;34,00;4,00;5,00;2,00;2,00;5,00;2,00;1,00
2019-02-24;20,00;170,00;156,67;76,67;100,00;49,33;2,67;77,33;85,33;47,50;107,50;140,00;70,00;46,67;60,00;46,67;31,11;32,00;32,00;28,00;40,00;13,00;50,00;23,00;20,00;11,00;7,00;48,00;4,00;7,00;9,00;5,00;6,00;3,00;2,00
2019-03-03;22,00;150,86;150,86;69,14;72,29;52,25;1,38;77,00;82,50;39,11;100,22;139,33;63,56;56,22;63,56;61,11;26,89;20,00;40,00;23,00;53,00;9,00;42,00;25,00;8,00;18,00;0,00;75,00;2,00;8,00;6,00;4,00;8,00;5,00;2,00
2019-03-10;26,00;159,25;139,75;78,00;107,25;50,63;1,37;79,37;64,32;49,40;93,60;145,60;75,40;56,73;66,18;44,91;26,00;35,00;44,00;32,00;53,00;15,00;56,00;17,00;22,00;12,00;3,00;60,00;5,00;4,00;5,00;3,00;6,00;3,00;3,00
2019-03-17;24,00;141,00;102,00;75,00;84,00;61,33;4,00;60,00;81,33;52,80;98,40;146,40;74,40;55,20;72,00;50,40;21,60;36,00;34,00;23,00;46,00;12,00;49,00;18,00;20,00;8,00;1,00;69,00;3,00;7,00;8,00;5,00;8,00;4,00;1,00
2019-03-24;28,00;168,00;130,67;74,67;105,78;49,33;2,67;69,33;72,00;40,73;91,64;142,55;63,64;49,00;70,00;46,67;25,67;36,00;42,00;23,00;47,00;17,00;51,00;22,00;18,00;8,00;1,00;68,00;2,00;6,00;2,00;4,00;7,00;2,00;1,00
2019-03-31;35,00;165,45;127,27;70,00;130,45;72,69;1,35;76,73;96,92;52,50;102,50;192,50;82,50;62,50;80,00;55,00;32,50;44,00;42,00;34,00;42,00;22,00;50,00;26,00;13,00;14,00;5,00;61,00;4,00;8,00;3,00;6,00;9,00;6,00;4,00
2019-04-07;47,00;191,13;131,60;94,00;141,00;81,56;2,76;60,82;102,29;79,16;128,63;197,89;56,89;51,95;98,95;79,16;42,05;47,00;39,00;52,00;52,00;16,00;61,00;31,00;12,00;18,00;8,00;64,00;5,00;10,00;4,00;5,00;11,00;2,00;3,00
2019-04-14;49,00;278,69;162,31;85,75;143,94;118,42;4,08;76,22;74,86;88,20;117,60;237,65;83,30;58,33;119,00;74,67;65,33;45,00;54,00;55,00;39,00;19,00;72,00;19,00;14,00;10,00;4,00;83,00;3,00;9,00;6,00;8,00;14,00;12,00;3,00
2019-04-21;39,00;178,75;146,25;78,00;152,75;87,41;1,34;83,38;84,72;75,56;117,00;199,88;75,56;65,81;99,94;63,38;56,06;42,00;40,00;45,00;43,00;13,00;68,00;28,00;11,00;17,00;7,00;82,00;3,00;7,00;2,00;3,00;8,00;4,00;3,00
2019-04-28;40,00;147,69;132,31;73,85;141,54;80,00;1,38;85,52;82,76;82,50;97,50;165,00;62,50;65,88;89,41;70,59;51,76;41,00;42,00;23,00;34,00;14,00;57,00;26,00;20,00;14,00;4,00;64,00;4,00;7,00;3,00;2,00;8,00;5,00;1,00
2019-05-05;31,00;127,10;139,50;71,30;120,90;76,83;2,70;134,78;83,57;52,46;88,23;157,38;52,46;45,31;83,46;57,23;31,00;40,00;31,00;19,00;55,00;12,00;42,00;21,00;17,00;14,00;2,00;72,00;5,00;5,00;7,00;5,00;12,00;5,00;1,00
2019-05-12;34,00;142,18;111,27;52,55;117,45;126,48;1,36;99,28;95,20;53,43;99,57;165,14;51,00;55,86;87,43;65,57;34,00;50,00;29,00;24,00;46,00;18,00;51,00;31,00;16,00;10,00;7,00;68,00;8,00;6,00;7,00;5,00;5,00;2,00;1,00
2019-05-19;36,00;166,91;114,55;62,18;108,00;81,69;1,38;85,85;78,92;59,14;100,29;174,86;59,14;57,60;81,60;62,40;31,20;47,00;44,00;40,00;45,00;13,00;68,00;21,00;14,00;19,00;9,00;64,00;4,00;4,00;6,00;8,00;10,00;2,00;4,00
2019-05-26;61,00;157,32;144,47;57,79;125,21;78,62;0,00;88,11;77,27;66,08;83,88;188,08;63,54;114,68;80,52;68,32;56,12;39,00;38,00;42,00;35,00;12,00;63,00;18,00;17,00;16,00;7,00;59,00;6,00;4,00;5,00;3,00;22,00;8,00;2,00
2019-06-02;35,00;171,82;133,64;60,45;114,55;67,31;0,00;79,42;78,08;52,50;85,00;187,50;67,50;67,67;126,00;63,00;23,33;41,00;34,00;32,00;44,00;17,00;54,00;30,00;19,00;20,00;4,00;68,00;6,00;4,00;8,00;3,00;9,00;5,00;0,00
2019-06-09;47,00;141,00;115,93;62,67;122,20;63,59;2,76;58,06;77,41;51,95;96,47;163,26;47,00;49,47;81,63;61,84;29,68;49,00;44,00;32,00;45,00;12,00;55,00;25,00;20,00;13,00;11,00;74,00;6,00;7,00;5,00;5,00;7,00;6,00;1,00
2019-06-16;47,00;141,00;115,93;47,00;115,93;51,03;4,03;55,06;77,89;61,84;79,16;180,58;54,42;63,45;79,90;49,35;30,55;47,00;36,00;32,00;44,00;22,00;51,00;32,00;18,00;8,00;10,00;71,00;4,00;8,00;9,00;6,00;11,00;4,00;2,00
2019-06-23;42,00;151,85;100,15;61,38;135,69;69,10;2,71;71,81;74,52;49,41;101,29;168,00;74,12;61,76;81,53;56,82;27,18;42,00;32,00;30,00;38,00;19,00;52,00;33,00;15,00;12,00;7,00;58,00;7,00;9,00;3,00;2,00;14,00;3,00;1,00
2019-06-30;46,00;154,43;115,00;65,71;128,14;59,53;1,35;56,82;56,82;61,33;94,56;163,56;46,00;46,00;75,05;43,58;24,21;39,00;35,00;37,00;41,00;20,00;46,00;23,00;14,00;12,00;5,00;69,00;6,00;9,00;7,00;6,00;7,00;1,00;5,00
2019-07-07;50,00;150,00;137,50;68,75;131,25;67,57;2,70;60,81;86,49;75,00;115,00;172,50;75,00;71,43;111,90;57,14;33,33;58,00;34,00;36,00;49,00;19,00;60,00;37,00;20,00;12,00;4,00;75,00;6,00;11,00;5,00;3,00;7,00;3,00;3,00
2019-07-14;54,00;165,18;139,76;66,71;142,94;76,15;4,15;69,23;99,69;66,27;90,82;189,00;68,73;56,45;115,36;63,82;36,82;61,00;38,00;36,00;48,00;22,00;54,00;28,00;16,00;14,00;5,00;71,00;6,00;16,00;7,00;5,00;14,00;1,00;4,00
2019-07-21;62,00;172,95;140,32;75,05;150,11;63,38;1,38;71,64;81,29;66,96;104,16;176,08;52,08;66,77;114,46;59,62;42,92;62,00;44,00;27,00;63,00;23,00;61,00;40,00;14,00;18,00;3,00;69,00;7,00;10,00;7,00;6,00;11,00;7,00;2,00
2019-07-28;53,00;165,24;130,94;84,18;149,65;70,67;2,72;58,44;97,85;65,62;118,62;184,24;50,48;67,45;101,18;67,45;38,55;41,00;39,00;37,00;58,00;21,00;60,00;36,00;24,00;18,00;6,00;69,00;6,00;7,00;7,00;6,00;14,00;6,00;1,00
2019-08-04;42,00;155,08;135,69;64,62;135,69;71,81;1,35;65,03;67,74;46,94;76,59;140,82;74,12;60,67;70,00;60,67;35,00;44,00;51,00;38,00;38,00;22,00;49,00;18,00;19,00;15,00;8,00;71,00;6,00;14,00;7,00;4,00;12,00;3,00;1,00
2019-08-11;47,00;147,27;125,33;59,53;119,07;57,74;1,34;69,83;77,89;56,89;96,47;138,53;54,42;37,60;89,30;61,10;32,90;43,00;22,00;31,00;45,00;22,00;62,00;19,00;18,00;17,00;8,00;59,00;3,00;10,00;6,00;5,00;7,00;0,00;1,00
2019-08-18;43,00;144,36;135,14;70,64;110,57;57,78;2,69;68,53;69,88;50,59;93,59;161,88;55,65;59,72;66,89;54,94;35,83;40,00;34,00;30,00;44,00;16,00;53,00;22,00;20,00;13,00;11,00;50,00;3,00;6,00;6,00;3,00;10,00;4,00;0,00
2019-08-25;41,00;154,54;110,38;50,46;123,00;75,17;1,37;76,53;66,97;56,38;82,00;151,19;71,75;50,65;84,41;53,06;36,18;35,00;43,00;33,00;44,00;17,00;44,00;21,00;25,00;14,00;10,00;49,00;8,00;5,00;5,00;4,00;11,00;3,00;1,00
