Semaine;Nice (FR);Paris (FR);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;54,00;427,09;407,45;363,27;261,00;9,00;135,00;99,00;216,00;138,86;84,86;123,43;234,00;256,50;72,00;9,00;90,00;540,00;18,00;48,00;14,00;54,00;39,00;45,00;22,85;72,69;8,31;30,12;19,00;5,00;10,00;4,00;13,00;2,00;2,00
2019-01-13;55,00;405,00;365,00;370,00;247,50;9,17;137,50;100,83;197,50;135,00;77,50;110,00;224,58;229,17;59,58;9,17;91,67;519,44;18,33;36,67;19,00;36,00;37,00;41,00;21,79;72,64;11,42;29,06;15,00;9,00;7,00;4,00;12,00;2,00;1,00
2019-01-20;53,00;397,50;402,80;376,30;275,60;10,60;169,60;116,60;189,29;126,19;83,29;98,43;198,75;216,42;53,00;8,83;82,44;477,00;17,67;41,22;13,00;40,00;36,00;39,00;22,86;70,67;10,39;19,75;17,00;5,00;17,00;3,00;14,00;1,00;1,00
2019-01-27;48,00;373,33;352,00;368,00;211,20;9,60;153,60;105,60;176,84;118,74;83,37;113,68;183,27;192,00;48,00;8,73;96,00;516,00;18,00;42,00;17,00;41,00;35,00;40,00;22,47;75,57;8,17;22,47;14,00;6,00;8,00;5,00;11,00;2,00;0,00
2019-02-03;49,00;362,60;303,80;362,60;264,60;9,80;166,60;98,00;206,32;126,37;82,53;134,11;209,36;222,73;57,91;8,91;85,75;502,25;18,38;42,88;14,00;37,00;44,00;44,00;23,98;69,85;11,47;25,02;14,00;8,00;11,00;4,00;11,00;2,00;2,00
2019-02-10;50,00;380,00;315,00;365,00;230,00;10,00;160,00;110,00;185,00;127,50;80,00;122,50;195,45;218,18;63,64;4,55;72,22;438,89;16,67;33,33;17,00;39,00;36,00;41,00;21,43;55,10;5,10;24,49;16,00;7,00;9,00;4,00;12,00;3,00;1,00
2019-02-17;53,00;397,50;339,20;381,60;254,40;10,60;180,20;106,00;184,24;118,62;93,38;136,29;207,58;207,58;61,83;8,83;88,33;500,56;11,78;41,22;17,00;36,00;37,00;40,00;22,86;65,47;9,35;28,06;19,00;6,00;8,00;6,00;14,00;1,00;1,00
2019-02-24;53,00;376,30;307,40;402,80;254,40;10,60;190,80;116,60;169,10;123,67;85,81;131,24;194,33;203,17;57,42;4,42;82,44;435,78;17,67;35,33;16,00;34,00;36,00;34,00;21,82;56,12;8,31;23,90;14,00;7,00;9,00;5,00;10,00;2,00;3,00
2019-03-03;56,00;376,73;280,00;386,91;224,00;9,33;158,67;102,67;175,64;122,18;84,00;140,00;206,77;198,15;51,69;8,62;78,40;436,80;11,20;39,20;23,00;42,00;36,00;37,00;25,93;66,37;9,33;26,96;18,00;8,00;11,00;5,00;11,00;1,00;2,00
2019-03-10;63,00;388,50;309,75;420,00;252,00;10,50;178,50;115,50;171,36;115,92;88,20;131,04;189,00;220,50;58,50;13,50;85,91;429,55;11,45;40,09;17,00;41,00;34,00;45,00;23,75;61,97;6,20;24,79;14,00;6,00;9,00;2,00;12,00;2,00;2,00
