Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;95,00;54,76;23,47;64,35;0,77;15,32;34,00;21,00;16,00;20,00;24,00;24,00;26,00;2,00;4,00;18,00;2,00;8,00;3,00;8,00;7,00;3,00;3,00;3,00;1,00;4,00;3,00;0,50;1,00;0,50;1,00;0,50;0,50
2019-01-13;90,00;60,00;21,11;62,54;0,76;13,73;32,00;21,00;18,00;18,00;24,00;26,00;26,00;2,00;5,00;19,00;3,00;7,00;3,00;6,00;7,00;5,00;3,00;3,00;1,00;6,00;2,00;1,00;1,00;0,50;1,00;0,50;0,50
2019-01-20;77,00;49,10;18,97;61,60;0,77;12,32;28,00;20,00;17,00;16,00;21,00;23,00;20,00;1,00;5,00;16,00;3,00;6,00;3,00;6,00;8,00;4,00;4,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-01-27;87,00;54,65;20,08;46,61;0,78;15,54;26,00;20,00;12,00;18,00;21,00;20,00;24,00;1,00;4,00;18,00;2,00;7,00;2,00;7,00;7,00;4,00;3,00;2,00;1,00;3,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-02-03;90,00;58,89;18,89;41,19;0,76;13,73;31,00;24,00;10,00;21,00;23,00;18,00;22,00;2,00;5,00;17,00;2,00;6,00;3,00;7,00;9,00;3,00;2,00;2,00;0,50;6,00;3,00;1,00;2,00;0,50;1,00;0,50;0,50
2019-02-10;79,00;58,97;17,80;40,27;0,77;15,49;26,00;21,00;13,00;20,00;23,00;21,00;24,00;2,00;5,00;19,00;3,00;6,00;3,00;7,00;7,00;4,00;3,00;2,00;1,00;4,00;2,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-02-17;74,00;59,64;17,67;38,54;0,77;16,96;23,00;20,00;13,00;19,00;19,00;19,00;23,00;2,00;5,00;18,00;12,00;6,00;3,00;6,00;7,00;3,00;3,00;2,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-02-24;77,00;52,80;16,50;38,50;0,77;16,94;27,00;20,00;13,00;18,00;21,00;18,00;23,00;2,00;5,00;19,00;2,00;6,00;2,00;6,00;10,00;3,00;3,00;1,00;1,00;4,00;3,00;1,00;2,00;0,50;1,00;0,00;0,50
2019-03-03;75,00;55,97;20,15;39,80;0,77;12,24;25,00;20,00;12,00;21,00;21,00;19,00;22,00;2,00;5,00;18,00;2,00;7,00;3,00;6,00;8,00;4,00;3,00;1,00;1,00;3,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-10;77,00;59,14;18,97;36,96;0,77;16,94;27,00;19,00;12,00;22,00;19,00;19,00;24,00;2,00;4,00;21,00;4,00;8,00;3,00;6,00;10,00;4,00;3,00;2,00;1,00;5,00;3,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-17;73,00;64,02;16,85;38,83;0,78;15,53;21,00;22,00;13,00;21,00;20,00;20,00;25,00;2,00;5,00;19,00;2,00;7,00;3,00;8,00;8,00;4,00;3,00;2,00;0,50;3,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50
2019-03-24;78,00;54,60;17,83;36,71;0,76;18,35;24,00;22,00;12,00;22,00;19,00;16,00;23,00;2,00;6,00;16,00;3,00;8,00;3,00;8,00;7,00;4,00;3,00;1,00;1,00;5,00;3,00;1,00;2,00;1,00;2,00;0,50;0,50
2019-03-31;70,00;50,00;14,44;56,30;0,76;19,78;31,00;21,00;16,00;23,00;22,00;23,00;20,00;2,00;7,00;18,00;2,00;6,00;3,00;7,00;9,00;5,00;6,00;3,00;1,00;4,00;3,00;1,00;2,00;0,50;2,00;0,50;0,50
2019-04-07;75,00;55,97;17,91;56,63;1,53;19,90;31,00;18,00;16,00;22,00;25,00;21,00;19,00;3,00;5,00;17,00;2,00;6,00;4,00;7,00;8,00;4,00;5,00;3,00;1,00;3,00;4,00;2,00;2,00;1,00;2,00;0,50;0,50
