Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;40,00;320,00;450,00;250,00;167,27;18,18;76,36;98,18;91,43;228,57;57,14;142,86;29,09;63,64;63,64;23,64;57,93;57,93;5,52;63,45;5,33;61,33;68,00;78,67;17,00;11,00;6,00;46,00;6,00;6,00;6,00;0,00;6,00;0,00;0,00
2019-01-13;46,00;331,20;478,40;266,80;162,77;7,08;173,38;88,46;40,25;115,00;57,50;120,75;58,88;69,92;69,92;11,04;58,55;69,70;11,15;40,42;5,41;67,65;46,00;51,41;11,00;45,00;11,00;23,00;6,00;17,00;11,00;0,00;17,00;6,00;0,00
2019-01-20;28,00;345,33;420,00;280,00;112,00;21,00;161,00;73,50;86,80;173,60;36,40;112,00;57,87;80,27;52,27;0,00;28,00;119,00;22,40;63,00;16,80;68,60;40,60;40,60;0,00;50,00;44,00;39,00;6,00;11,00;17,00;0,00;6,00;0,00;6,00
2019-01-27;17,00;348,50;374,00;280,50;115,60;6,80;115,60;115,60;53,83;192,67;70,83;206,83;81,22;34,00;81,22;5,67;28,33;103,42;5,67;52,42;17,00;80,75;52,42;41,08;11,00;28,00;6,00;61,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;0,00;33,00;50,00;27,00;29,00;0,00;43,00;41,00;38,00;52,00;16,00;36,00;26,00;26,00;45,00;13,00;34,00;51,00;4,00;55,00;21,00;42,00;42,00;30,00;23,00;23,00;6,00;34,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;23,00;414,00;402,50;276,00;141,83;23,00;168,67;80,50;71,88;146,63;106,38;158,13;40,69;63,69;74,31;12,38;52,76;105,53;17,59;40,59;17,59;52,76;40,59;64,94;18,00;12,00;0,00;41,00;12,00;6,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;12,00;576,00;612,00;324,00;80,00;12,00;112,00;172,00;81,00;186,00;63,00;111,00;17,14;46,29;51,43;17,14;46,67;58,67;46,67;81,33;12,00;88,00;41,33;34,67;6,00;30,00;0,00;18,00;6,00;18,00;6,00;6,00;12,00;6,00;6,00
2019-02-24;29,00;406,00;396,33;328,67;166,75;7,25;199,38;123,25;40,60;176,90;107,30;182,70;76,13;29,00;59,81;0,00;61,95;68,55;22,41;85,68;17,14;39,55;17,14;22,41;23,00;64,00;6,00;29,00;18,00;0,00;0,00;0,00;12,00;0,00;0,00
2019-03-03;29,00;386,67;454,33;319,00;101,50;10,88;275,50;130,50;89,90;165,30;63,80;142,10;76,13;70,69;59,81;5,44;27,68;79,09;17,14;56,68;29,00;44,82;17,14;51,41;17,00;47,00;0,00;17,00;18,00;12,00;6,00;0,00;18,00;0,00;0,00
2019-03-10;23,00;437,00;483,00;379,50;122,67;23,00;153,33;134,17;34,50;207,00;86,25;155,25;61,92;67,23;56,62;17,69;39,24;96,06;10,82;23,00;17,59;79,82;23,00;17,59;11,00;40,00;0,00;46,00;6,00;6,00;0,00;6,00;29,00;0,00;0,00
