Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2021-03-28;5,00;0,00;20,00;0,00;15,00
2021-04-04;33,00;10,00;29,00;0,00;5,00
2021-04-11;22,00;5,00;9,00;5,00;5,00
2021-04-18;18,00;0,00;28,00;0,00;5,00
2021-04-25;9,00;9,00;9,00;0,00;0,00
2021-05-02;13,00;4,00;26,00;0,00;0,00
2021-05-09;5,00;0,00;23,00;0,00;5,00
2021-05-16;26,00;0,00;18,00;0,00;4,00
2021-05-23;23,00;0,00;19,00;5,00;0,00
2021-05-30;5,00;0,00;5,00;0,00;0,00
2021-06-06;28,00;5,00;5,00;0,00;0,00
2021-06-13;33,00;0,00;5,00;0,00;5,00
2021-06-20;10,00;0,00;5,00;0,00;0,00
2021-06-27;10,00;0,00;10,00;15,00;0,00
2021-07-04;29,00;0,00;10,00;0,00;0,00
2021-07-11;30,00;5,00;20,00;5,00;5,00
2021-07-18;11,00;0,00;5,00;5,00;5,00
2021-07-25;0,00;0,00;57,00;5,00;10,00
2021-08-01;21,00;0,00;11,00;5,00;0,00
2021-08-08;21,00;16,00;11,00;0,00;0,00
2021-08-15;31,00;0,00;5,00;5,00;5,00
2021-08-22;11,00;0,00;0,00;0,00;6,00
2021-08-29;11,00;5,00;16,00;0,00;0,00
2021-09-05;22,00;5,00;22,00;11,00;0,00
2021-09-12;16,00;0,00;22,00;5,00;11,00
2021-09-19;16,00;0,00;28,00;0,00;0,00
2021-09-26;11,00;5,00;16,00;0,00;0,00
2021-10-03;12,00;0,00;12,00;0,00;0,00
2021-10-10;11,00;0,00;15,00;4,00;4,00
2021-10-17;4,00;0,00;11,00;0,00;0,00
2021-10-24;25,00;4,00;11,00;0,00;7,00
2021-10-31;28,00;4,00;11,00;4,00;4,00
2021-11-07;3,00;4,00;25,00;0,00;14,00
2021-11-14;24,00;0,00;28,00;0,00;11,00
2021-11-21;30,00;0,00;17,00;0,00;0,00
2021-11-28;10,00;0,00;7,00;0,00;0,00
2021-12-05;10,00;0,00;18,00;0,00;7,00
2021-12-12;23,00;19,00;8,00;0,00;0,00
2021-12-19;23,00;0,00;33,00;9,00;0,00
2021-12-26;9,00;5,00;14,00;0,00;0,00
2022-01-02;16,00;12,00;41,00;12,00;4,00
2022-01-09;16,00;0,00;16,00;4,00;0,00
2022-01-16;27,00;4,00;43,00;8,00;8,00
2022-01-23;35,00;8,00;36,00;0,00;4,00
2022-01-30;14,00;0,00;28,00;5,00;9,00
