Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;100,00;87,69;32,31;83,72;1,16;18,60;35,00;33,00;16,00;17,00;10,00;21,00;25,00;1,00;5,00;21,00;5,00;7,00;4,00;8,00;7,00;6,00;4,00;4,00;2,00;7,00;4,00;0,00;1,00;0,00;0,50;0,00;0,00
2019-01-13;99,00;74,25;26,30;71,37;1,15;16,12;33,00;32,00;20,00;16,00;9,00;23,00;17,00;3,00;8,00;22,00;2,00;12,00;3,00;7,00;9,00;6,00;7,00;4,00;1,00;7,00;2,00;0,00;2,00;0,00;2,00;1,00;0,00
2019-01-20;86,00;62,96;26,11;79,03;1,16;9,30;30,00;27,00;18,00;18,00;11,00;24,00;17,00;1,00;7,00;21,00;2,00;5,00;3,00;10,00;15,00;4,00;4,00;3,00;0,00;3,00;4,00;1,00;3,00;0,50;1,00;0,00;0,50
2019-01-27;100,00;80,00;30,77;58,14;2,33;18,60;27,00;32,00;15,00;19,00;12,00;20,00;29,00;1,00;4,00;20,00;3,00;9,00;4,00;9,00;11,00;6,00;2,00;3,00;1,00;6,00;6,00;1,00;2,00;1,00;1,00;0,50;0,00
2019-02-03;81,00;68,77;22,92;48,60;0,00;16,20;30,00;23,00;16,00;20,00;9,00;15,00;16,00;1,00;6,00;19,00;5,00;8,00;2,00;7,00;11,00;6,00;4,00;1,00;0,00;8,00;4,00;1,00;1,00;0,00;1,00;0,00;0,50
2019-02-10;81,00;84,06;24,45;60,17;1,16;13,89;18,00;23,00;19,00;17,00;6,00;18,00;22,00;0,00;3,00;12,00;5,00;12,00;4,00;9,00;10,00;5,00;3,00;2,00;1,00;3,00;2,00;1,00;4,00;1,00;1,00;0,00;0,00
2019-02-17;79,00;86,75;20,14;51,12;2,32;25,56;29,00;24,00;15,00;16,00;10,00;16,00;25,00;4,00;10,00;17,00;16,00;5,00;3,00;13,00;10,00;2,00;6,00;2,00;1,00;3,00;1,00;1,00;2,00;1,00;1,00;0,50;0,00
2019-02-24;83,00;78,39;29,20;59,94;0,00;18,44;25,00;21,00;15,00;17,00;9,00;16,00;23,00;0,50;4,00;22,00;4,00;10,00;2,00;5,00;7,00;6,00;5,00;3,00;1,00;4,00;6,00;0,50;1,00;1,00;0,00;0,00;0,50
2019-03-03;73,00;74,52;19,77;59,31;1,14;18,25;24,00;25,00;10,00;19,00;12,00;16,00;23,00;3,00;5,00;22,00;6,00;9,00;3,00;8,00;5,00;6,00;4,00;0,50;0,00;9,00;3,00;0,00;1,00;0,50;2,00;0,00;0,00
2019-03-10;75,00;71,94;27,55;61,36;1,14;18,18;26,00;18,00;11,00;23,00;11,00;14,00;23,00;3,00;6,00;18,00;4,00;6,00;5,00;6,00;11,00;6,00;7,00;2,00;0,00;7,00;6,00;4,00;3,00;0,50;0,50;0,00;0,00
2019-03-17;71,00;84,89;24,70;50,39;0,00;16,03;16,00;29,00;17,00;13,00;11,00;17,00;26,00;5,00;4,00;22,00;4,00;7,00;4,00;8,00;9,00;6,00;3,00;2,00;1,00;5,00;6,00;1,00;3,00;0,00;0,50;0,00;0,00
2019-03-24;69,00;87,40;21,47;55,20;1,15;25,30;24,00;30,00;11,00;14,00;10,00;15,00;20,00;3,00;5,00;28,00;2,00;13,00;4,00;8,00;9,00;5,00;3,00;3,00;1,00;4,00;4,00;0,50;3,00;0,00;2,00;0,00;0,50
2019-03-31;72,00;78,13;21,45;74,32;1,16;18,58;34,00;26,00;19,00;16,00;8,00;23,00;20,00;4,00;8,00;17,00;5,00;7,00;3,00;6,00;8,00;4,00;6,00;4,00;1,00;5,00;3,00;2,00;0,50;0,50;0,50;0,00;0,00
2019-04-07;84,00;76,36;19,85;77,19;1,14;20,43;37,00;26,00;19,00;18,00;9,00;22,00;14,00;1,00;14,00;23,00;3,00;10,00;2,00;10,00;8,00;5,00;6,00;5,00;0,50;6,00;4,00;3,00;1,00;0,50;1,00;0,00;0,00
2019-04-14;71,00;154,35;26,24;80,16;1,15;29,77;24,00;26,00;15,00;21,00;10,00;22,00;22,00;5,00;6,00;22,00;3,00;11,00;3,00;7,00;8,00;3,00;12,00;4,00;2,00;5,00;5,00;2,00;5,00;1,00;2,00;0,00;0,50
2019-04-21;70,00;63,78;15,56;74,67;1,17;16,33;27,00;19,00;20,00;16,00;15,00;17,00;18,00;3,00;5,00;18,00;4,00;8,00;4,00;6,00;7,00;3,00;4,00;6,00;1,00;6,00;2,00;1,00;2,00;0,00;0,50;0,00;1,00
2019-04-28;58,00;68,97;18,81;62,64;1,16;20,88;24,00;22,00;15,00;14,00;11,00;25,00;17,00;3,00;8,00;13,00;5,00;9,00;4,00;7,00;9,00;7,00;8,00;4,00;2,00;5,00;3,00;1,00;3,00;0,00;1,00;0,50;0,50
