Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;19,00;83,13;2,38;0,00;9,50;76,00;7,60;3,80;38,00;59,38;4,75;4,75;9,50;0,00;51,15;1,46;0,00;4,00;8,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;2,00;6,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;19,00;54,63;7,13;0,00;4,75;83,60;3,80;11,40;64,60;99,75;4,75;2,38;2,38;1,58;47,50;1,58;0,00;0,00;4,00;2,00;2,00;14,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-20;40,00;82,35;4,71;0,00;4,71;65,45;7,27;10,91;76,36;120,00;4,71;2,35;9,41;1,54;40,00;0,00;1,54;0,00;6,00;4,00;4,00;6,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;22,00;92,89;4,89;0,00;4,89;66,00;11,00;7,33;66,00;95,33;4,89;4,89;2,44;1,57;48,71;0,00;0,00;2,00;6,00;0,00;2,00;8,00;6,00;2,00;0,00;0,00;0,00;8,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;10,00;82,50;15,00;0,00;5,00;40,00;6,67;16,67;56,67;72,50;7,50;7,50;7,50;0,00;28,57;0,00;0,00;2,00;4,00;0,00;4,00;12,00;6,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-10;15,00;92,50;7,50;0,00;0,00;63,75;3,75;11,25;56,25;57,50;0,00;2,50;2,50;7,50;24,00;6,00;0,00;2,00;10,00;2,00;4,00;8,00;6,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;21,00;91,00;9,33;0,00;4,67;56,00;14,00;3,50;63,00;91,00;4,67;4,67;4,67;4,50;52,50;1,50;0,00;0,00;9,00;2,00;4,00;13,00;4,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;15,00;130,00;7,50;0,00;2,50;97,50;11,25;22,50;52,50;80,00;2,50;12,50;2,50;1,50;31,50;0,00;1,50;0,00;2,00;2,00;4,00;21,00;10,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2019-03-03;22,00;68,44;14,67;0,00;2,44;69,67;11,00;18,33;58,67;119,78;9,78;22,00;0,00;1,47;38,13;1,47;1,47;2,00;9,00;9,00;11,00;13,00;7,00;0,00;2,00;0,00;0,00;9,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;17,00;114,14;14,57;0,00;4,86;57,80;3,40;20,40;71,40;97,14;4,86;7,29;4,86;0,00;52,55;1,55;0,00;0,00;4,00;4,00;11,00;11,00;6,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;15,00;100,00;12,50;0,00;10,00;78,75;7,50;15,00;86,25;81,43;0,00;4,29;8,57;1,50;45,00;0,00;1,50;0,00;7,00;4,00;7,00;20,00;9,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;11,00;118,80;15,40;0,00;6,60;84,33;7,33;33,00;62,33;94,60;2,20;11,00;2,20;4,71;51,86;11,00;0,00;7,00;13,00;2,00;4,00;15,00;4,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
