Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;48,00;480,00;499,20;470,40;489,60;324,92;0,00;184,62;214,15;258,00;150,00;384,00;72,00;228,00;324,00;96,00;96,00;197,33;16,00;24,00;91,50;64,50;14,00;28,00;7,00;17,00;7,00;0,00;0,00;10,00;0,00;3,00
2019-01-13;48,00;504,00;768,00;588,00;564,00;288,00;7,38;217,85;199,38;300,00;108,00;414,00;96,00;288,00;372,00;120,00;101,33;202,67;34,67;27,87;97,55;61,94;20,00;20,00;17,00;14,00;7,00;3,00;0,00;17,00;7,00;0,00
2019-01-20;38,00;389,50;541,50;380,00;418,00;250,80;7,60;224,20;174,80;195,43;135,71;320,29;114,00;278,67;367,33;139,33;100,43;211,71;29,86;44,08;54,72;65,36;14,00;45,00;7,00;10,00;0,00;10,00;10,00;17,00;3,00;3,00
2019-01-27;42,00;472,50;682,50;430,50;346,50;179,45;0,00;252,00;171,82;252,00;180,00;444,00;126,00;350,00;406,00;154,00;91,88;189,00;15,75;17,11;96,44;68,44;14,00;49,00;10,00;17,00;24,00;17,00;0,00;21,00;3,00;0,00
2019-02-03;32,00;448,00;618,67;480,00;352,00;128,00;7,11;256,00;192,00;181,33;122,67;330,67;64,00;288,00;298,67;106,67;104,00;178,67;13,33;28,95;117,33;64,00;25,00;28,00;7,00;7,00;7,00;7,00;4,00;25,00;0,00;4,00
2019-02-10;22,00;484,00;715,00;462,00;341,00;172,33;0,00;172,33;128,33;220,00;159,50;385,00;44,00;253,00;308,00;99,00;129,25;220,00;13,75;25,14;81,71;84,86;22,00;39,00;4,00;7,00;22,00;11,00;4,00;14,00;0,00;0,00
2019-02-17;36,00;564,00;720,00;636,00;468,00;144,00;0,00;223,20;162,00;222,00;180,00;390,00;60,00;228,00;324,00;180,00;85,85;185,54;24,92;31,50;79,50;57,00;18,00;36,00;0,00;18,00;11,00;0,00;11,00;36,00;4,00;0,00
2019-02-24;26,00;728,00;624,00;715,00;585,00;178,29;3,71;245,14;219,14;273,00;188,50;546,00;52,00;299,00;377,00;143,00;85,80;202,80;20,80;22,94;111,65;67,29;15,00;37,00;7,00;11,00;4,00;15,00;11,00;15,00;0,00;0,00
2019-03-03;25,00;637,50;712,50;700,00;450,00;178,57;14,29;239,29;150,00;268,75;175,00;450,00;112,50;312,50;325,00;150,00;69,44;250,00;11,11;25,00;101,56;87,50;28,00;50,00;0,00;14,00;11,00;14,00;18,00;28,00;7,00;0,00
2019-03-10;29,00;531,67;609,00;512,33;348,00;235,63;14,50;203,00;163,13;266,80;214,60;423,40;101,50;420,50;362,50;203,00;113,36;200,36;29,00;32,05;100,74;68,68;14,00;54,00;11,00;14,00;4,00;14,00;4,00;29,00;4,00;7,00
2019-03-17;18,00;486,00;567,00;477,00;369,00;144,00;7,20;237,60;198,00;234,00;156,00;414,00;144,00;414,00;522,00;252,00;92,57;257,14;28,29;48,00;84,00;40,50;11,00;41,00;7,00;22,00;15,00;7,00;7,00;22,00;4,00;0,00
