Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;43,00;7,00;32,00;7,00;5,00;7,00
2019-01-13;48,00;6,00;32,00;6,00;5,00;5,00
2019-01-20;42,00;7,00;26,00;7,00;4,00;5,00
2019-01-27;38,00;5,00;25,00;5,00;1,00;6,00
2019-02-03;34,00;6,00;30,00;10,00;2,00;4,00
2019-02-10;31,00;6,00;33,00;8,00;1,00;4,00
2019-02-17;38,00;10,00;25,00;9,00;1,00;4,00
2019-02-24;34,00;8,00;27,00;6,00;2,00;3,00
2019-03-03;40,00;8,00;30,00;6,00;2,00;2,00
2019-03-10;32,00;7,00;20,00;5,00;0,50;4,00
2019-03-17;33,00;6,00;22,00;5,00;2,00;4,00
2019-03-24;28,00;7,00;25,00;5,00;0,50;3,00
2019-03-31;39,00;7,00;24,00;7,00;3,00;5,00
2019-04-07;39,00;7,00;26,00;7,00;3,00;4,00
2019-04-14;43,00;6,00;19,00;6,00;2,00;3,00
2019-04-21;43,00;8,00;17,00;7,00;3,00;2,00
2019-04-28;37,00;7,00;21,00;7,00;3,00;2,00
2019-05-05;41,00;9,00;21,00;6,00;3,00;5,00
2019-05-12;31,00;8,00;20,00;7,00;2,00;3,00
2019-05-19;39,00;7,00;19,00;4,00;1,00;3,00
2019-05-26;31,00;8,00;18,00;3,00;2,00;2,00
2019-06-02;35,00;6,00;17,00;4,00;4,00;4,00
2019-06-09;37,00;7,00;19,00;4,00;6,00;5,00
2019-06-16;37,00;8,00;22,00;6,00;6,00;3,00
2019-06-23;37,00;11,00;23,00;5,00;2,00;6,00
2019-06-30;32,00;10,00;23,00;4,00;4,00;5,00
2019-07-07;40,00;9,00;21,00;5,00;5,00;9,00
2019-07-14;37,00;6,00;17,00;5,00;3,00;6,00
2019-07-21;38,00;9,00;24,00;6,00;4,00;5,00
2019-07-28;40,00;8,00;23,00;7,00;4,00;7,00
2019-08-04;44,00;9,00;28,00;8,00;4,00;9,00
2019-08-11;41,00;9,00;30,00;9,00;4,00;5,00
2019-08-18;40,00;7,00;26,00;7,00;4,00;4,00
2019-08-25;38,00;7,00;26,00;7,00;6,00;6,00
2019-09-01;41,00;12,00;24,00;6,00;4,00;5,00
2019-09-08;40,00;6,00;24,00;5,00;4,00;5,00
2019-09-15;47,00;9,00;21,00;6,00;4,00;6,00
2019-09-22;38,00;7,00;22,00;5,00;5,00;6,00
2019-09-29;44,00;6,00;21,00;6,00;4,00;3,00
2019-10-06;42,00;9,00;23,00;6,00;3,00;3,00
2019-10-13;48,00;9,00;23,00;7,00;4,00;3,00
2019-10-20;54,00;22,00;23,00;6,00;4,00;5,00
2019-10-27;42,00;8,00;29,00;7,00;2,00;5,00
2019-11-03;46,00;8,00;29,00;4,00;3,00;4,00
2019-11-10;42,00;7,00;26,00;4,00;2,00;7,00
2019-11-17;39,00;9,00;22,00;4,00;5,00;5,00
2019-11-24;36,00;7,00;20,00;6,00;4,00;4,00
2019-12-01;37,00;9,00;22,00;5,00;4,00;5,00
2019-12-08;38,00;12,00;19,00;4,00;4,00;4,00
2019-12-15;34,00;6,00;21,00;6,00;5,00;4,00
2019-12-22;46,00;7,00;33,00;5,00;7,00;6,00
2019-12-29;51,00;6,00;32,00;8,00;6,00;4,00
2020-01-05;51,00;6,00;33,00;8,00;6,00;4,00
2020-01-12;51,00;7,00;30,00;9,00;8,00;5,00
2020-01-19;45,00;6,00;27,00;8,00;4,00;4,00
2020-01-26;43,00;5,00;43,00;5,00;6,00;5,00
2020-02-02;38,00;6,00;34,00;8,00;5,00;3,00
2020-02-09;45,00;8,00;28,00;8,00;4,00;4,00
2020-02-16;39,00;8,00;27,00;6,00;5,00;3,00
2020-02-23;40,00;6,00;25,00;6,00;6,00;5,00
2020-03-01;48,00;7,00;23,00;4,00;4,00;5,00
2020-03-08;49,00;7,00;28,00;5,00;2,00;4,00
2020-03-15;37,00;9,00;17,00;4,00;2,00;4,00
2020-03-22;37,00;7,00;17,00;2,00;1,00;2,00
2020-03-29;33,00;9,00;12,00;6,00;2,00;4,00
2020-04-05;30,00;8,00;11,00;4,00;1,00;2,00
2020-04-12;33,00;6,00;12,00;2,00;0,50;3,00
2020-04-19;31,00;8,00;11,00;3,00;1,00;3,00
2020-04-26;31,00;8,00;13,00;2,00;1,00;2,00
2020-05-03;31,00;14,00;11,00;1,00;2,00;3,00
2020-05-10;28,00;13,00;11,00;2,00;0,50;3,00
2020-05-17;28,00;9,00;11,00;2,00;0,50;1,00
2020-05-24;28,00;11,00;8,00;2,00;1,00;2,00
2020-05-31;31,00;9,00;11,00;2,00;1,00;3,00
2020-06-07;32,00;10,00;12,00;2,00;1,00;3,00
2020-06-14;43,00;10,00;13,00;3,00;2,00;3,00
2020-06-21;39,00;8,00;10,00;2,00;1,00;3,00
2020-06-28;34,00;10,00;10,00;3,00;1,00;3,00
2020-07-05;42,00;9,00;11,00;2,00;1,00;2,00
2020-07-12;35,00;8,00;11,00;4,00;1,00;3,00
2020-07-19;44,00;9,00;12,00;3,00;1,00;2,00
2020-07-26;45,00;8,00;10,00;5,00;0,50;3,00
2020-08-02;36,00;7,00;25,00;3,00;2,00;1,00
2020-08-09;33,00;7,00;57,00;5,00;1,00;4,00
2020-08-16;42,00;7,00;24,00;4,00;2,00;3,00
2020-08-23;40,00;7,00;11,00;4,00;2,00;3,00
2020-08-30;41,00;8,00;21,00;3,00;2,00;2,00
2020-09-06;42,00;8,00;10,00;2,00;1,00;4,00
2020-09-13;35,00;7,00;9,00;2,00;1,00;3,00
2020-09-20;36,00;7,00;10,00;2,00;1,00;3,00
2020-09-27;39,00;4,00;9,00;3,00;1,00;1,00
2020-10-04;38,00;5,00;7,00;3,00;1,00;3,00
2020-10-11;41,00;6,00;8,00;2,00;2,00;3,00
2020-10-18;37,00;7,00;9,00;3,00;3,00;4,00
2020-10-25;46,00;8,00;8,00;2,00;1,00;2,00
2020-11-01;32,00;6,00;6,00;1,00;2,00;2,00
2020-11-08;35,00;5,00;8,00;2,00;0,50;3,00
2020-11-15;38,00;6,00;6,00;0,50;2,00;4,00
2020-11-22;34,00;8,00;8,00;3,00;2,00;3,00
2020-11-29;39,00;6,00;7,00;3,00;1,00;4,00
2020-12-06;46,00;11,00;11,00;2,00;2,00;2,00
2020-12-13;52,00;8,00;10,00;4,00;3,00;3,00
2020-12-20;46,00;4,00;9,00;4,00;5,00;3,00
2020-12-27;58,00;6,00;9,00;4,00;5,00;3,00
2021-01-03;57,00;8,00;12,00;5,00;4,00;3,00
2021-01-10;100,00;11,00;13,00;4,00;4,00;4,00
2021-01-17;63,00;10,00;14,00;4,00;5,00;3,00
2021-01-24;58,00;9,00;10,00;2,00;4,00;3,00
2021-01-31;45,00;12,00;11,00;2,00;3,00;3,00
2021-02-07;37,00;9,00;12,00;3,00;2,00;3,00
2021-02-14;38,00;9,00;7,00;3,00;2,00;2,00
2021-02-21;37,00;11,00;9,00;3,00;4,00;2,00
2021-02-28;43,00;8,00;9,00;4,00;1,00;2,00
2021-03-07;42,00;7,00;11,00;3,00;16,00;2,00
2021-03-14;30,00;8,00;9,00;3,00;2,00;2,00
2021-03-21;33,00;7,00;9,00;4,00;4,00;3,00
2021-03-28;32,00;8,00;9,00;3,00;1,00;3,00
2021-04-04;31,00;7,00;8,00;4,00;2,00;2,00
2021-04-11;39,00;9,00;7,00;4,00;1,00;2,00
2021-04-18;38,00;7,00;9,00;6,00;2,00;2,00
2021-04-25;35,00;8,00;9,00;5,00;2,00;1,00
2021-05-02;37,00;6,00;9,00;5,00;4,00;2,00
2021-05-09;36,00;7,00;9,00;12,00;6,00;2,00
2021-05-16;41,00;8,00;10,00;7,00;4,00;2,00
2021-05-23;39,00;7,00;8,00;7,00;6,00;2,00
2021-05-30;33,00;8,00;14,00;8,00;4,00;1,00
2021-06-06;40,00;7,00;11,00;5,00;5,00;2,00
2021-06-13;37,00;9,00;13,00;5,00;3,00;2,00
2021-06-20;38,00;9,00;10,00;6,00;4,00;3,00
2021-06-27;44,00;10,00;12,00;6,00;4,00;2,00
2021-07-04;44,00;8,00;10,00;3,00;4,00;2,00
2021-07-11;53,00;9,00;10,00;5,00;2,00;2,00
2021-07-18;41,00;7,00;11,00;4,00;4,00;3,00
2021-07-25;59,00;9,00;14,00;6,00;3,00;3,00
2021-08-01;45,00;9,00;13,00;4,00;4,00;1,00
2021-08-08;49,00;12,00;17,00;8,00;4,00;2,00
2021-08-15;40,00;8,00;14,00;4,00;6,00;2,00
2021-08-22;44,00;6,00;19,00;6,00;5,00;3,00
2021-08-29;44,00;9,00;14,00;5,00;3,00;2,00
2021-09-05;42,00;7,00;18,00;5,00;5,00;3,00
2021-09-12;42,00;7,00;17,00;6,00;5,00;4,00
2021-09-19;44,00;7,00;18,00;4,00;5,00;3,00
2021-09-26;43,00;7,00;20,00;6,00;6,00;3,00
2021-10-03;44,00;7,00;18,00;6,00;10,00;3,00
2021-10-10;36,00;9,00;19,00;8,00;8,00;2,00
2021-10-17;43,00;6,00;20,00;8,00;8,00;3,00
2021-10-24;40,00;8,00;18,00;6,00;17,00;3,00
2021-10-31;46,00;10,00;23,00;12,00;21,00;2,00
2021-11-07;43,00;7,00;21,00;9,00;14,00;2,00
2021-11-14;39,00;6,00;18,00;7,00;13,00;4,00
2021-11-21;36,00;8,00;17,00;7,00;16,00;3,00
2021-11-28;40,00;8,00;25,00;6,00;8,00;2,00
2021-12-05;39,00;10,00;17,00;4,00;6,00;2,00
2021-12-12;39,00;11,00;13,00;6,00;11,00;2,00
2021-12-19;43,00;8,00;13,00;17,00;12,00;2,00
2021-12-26;54,00;7,00;20,00;12,00;17,00;3,00
2022-01-02;43,00;8,00;22,00;8,00;13,00;3,00
2022-01-09;45,00;9,00;19,00;9,00;8,00;2,00
2022-01-16;39,00;8,00;19,00;9,00;14,00;2,00
2022-01-23;42,00;9,00;18,00;10,00;13,00;3,00
2022-01-30;80,00;7,00;25,00;8,00;12,00;2,00
