Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-04-28;31,00;8,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;6,64;15,50;0,00;8,00;0,00;0,00;0,00;0,00;22,14;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-05;15,00;0,00;0,00;15,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;21,43;0,00;0,00;0,00;15,00;0,00;0,00;64,29;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-12;15,00;0,00;7,00;22,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;6,43;27,86;0,00;0,00;7,00;0,00;0,00;0,00;21,43;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-05-19;7,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;16,33;0,00;0,00;0,00;0,00;0,00;0,00;63,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-05-26;29,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;35,69;0,00;0,00;0,00;0,00;0,00;0,00;58,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2019-06-02;23,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,90;32,20;0,00;0,00;0,00;8,00;8,36;0,00;66,91;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-09;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,90;0,00;0,00;32,20;0,00;0,00;0,00;8,00;0,00;0,00;64,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-16;47,00;0,00;0,00;47,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;15,67;8,00;0,00;0,00;0,00;0,00;0,00;47,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-23;32,00;0,00;0,00;40,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,14;16,00;0,00;0,00;8,00;16,00;0,00;0,00;41,14;0,00;0,00;16,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00
2019-06-30;64,00;0,00;0,00;24,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;8,83;39,72;0,00;0,00;8,00;8,00;0,00;0,00;8,83;0,00;8,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;23,00;0,00;15,00;30,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;16,10;0,00;0,00;8,00;38,00;0,00;0,00;78,20;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;15,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;47,00;0,00;8,00;39,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;47,00;16,00;0,00;8,00;8,00;15,67;0,00;71,62;8,95;0,00;16,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;0,00;8,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;40,00;16,00;8,00;24,00;8,00;8,00;0,00;8,00;0,00;0,00;0,00;8,89;222,22;16,00;0,00;0,00;32,00;0,00;0,00;80,00;0,00;0,00;8,00;0,00;16,00;0,00;8,00;0,00;8,00;8,00;8,00;0,00;8,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;57,00;0,00;0,00;16,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;15,96;50,16;0,00;0,00;0,00;16,00;8,77;0,00;87,69;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;48,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
