Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;79,00;95,34;32,69;21,79;1,00;22,00;11,00;19,00;18,00;6,00;10,00;10,00;1,00;9,00;8,00;1,00;5,00;1,00;10,00;6,00;13,00;1,00;2,00;1,00;2,00;1,00;1,00;0,50;0,50;2,00;0,00;0,00
2019-01-13;83,00;72,29;29,45;21,42;0,00;26,00;9,00;19,00;22,00;7,00;9,00;8,00;1,00;10,00;10,00;2,00;7,00;2,00;9,00;4,00;7,00;2,00;2,00;1,00;2,00;3,00;0,50;1,00;0,50;2,00;0,00;1,00
2019-01-20;74,00;63,04;21,93;21,93;0,00;23,00;13,00;16,00;18,00;7,00;10,00;10,00;0,00;9,00;5,00;2,00;8,00;2,00;7,00;6,00;11,00;1,00;2,00;0,00;2,00;1,00;0,50;0,00;1,00;2,00;0,00;0,50
2019-01-27;76,00;46,14;29,86;19,00;0,50;28,00;9,00;12,00;16,00;8,00;12,00;11,00;1,00;11,00;5,00;1,00;10,00;2,00;9,00;6,00;7,00;3,00;1,00;0,00;2,00;1,00;0,00;0,50;0,00;4,00;0,00;0,00
2019-02-03;70,00;40,38;21,54;13,46;0,00;22,00;11,00;8,00;18,00;9,00;14,00;9,00;0,50;9,00;7,00;0,50;6,00;1,00;8,00;6,00;8,00;2,00;1,00;0,00;2,00;0,00;0,50;2,00;0,00;5,00;0,00;0,50
2019-02-10;59,00;37,55;26,82;18,77;0,50;22,00;9,00;12,00;19,00;9,00;11,00;11,00;1,00;8,00;7,00;1,00;6,00;2,00;8,00;5,00;7,00;1,00;1,00;0,00;1,00;0,50;1,00;1,00;0,50;5,00;0,00;0,00
2019-02-17;72,00;36,00;24,92;22,15;0,50;22,00;12,00;14,00;20,00;5,00;8,00;11,00;3,00;11,00;6,00;1,00;8,00;4,00;7,00;5,00;11,00;2,00;2,00;0,50;3,00;0,00;0,50;1,00;0,00;7,00;0,00;0,50
2019-02-24;71,00;49,15;19,12;24,58;0,00;25,00;10,00;11,00;19,00;9,00;9,00;10,00;1,00;11,00;8,00;0,50;7,00;2,00;6,00;4,00;11,00;2,00;1,00;0,50;2,00;0,00;0,00;2,00;0,00;5,00;0,50;0,50
2019-03-03;74,00;41,11;24,67;24,67;1,00;28,00;15,00;12,00;17,00;8,00;11,00;9,00;4,00;16,00;7,00;1,00;6,00;2,00;9,00;7,00;9,00;2,00;3,00;0,00;3,00;0,50;0,00;1,00;0,50;5,00;0,00;0,00
2019-03-10;68,00;48,96;24,48;21,76;0,50;25,00;8,00;12,00;20,00;7,00;9,00;9,00;1,00;10,00;9,00;1,00;8,00;2,00;7,00;5,00;10,00;3,00;1,00;0,00;2,00;0,00;0,50;1,00;0,00;6,00;0,00;0,00
