Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2020-01-05;77,00;132,44;6,16;0,00;9,24;100,69;11,85;11,85;53,31;77,00;6,42;9,63;22,46;5,50;49,50;0,00;3,67;0,00;6,00;0,00;6,00;10,00;6,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00
2020-01-12;54,00;136,59;0,00;0,00;22,24;96,00;12,00;18,00;108,00;114,35;6,35;6,35;9,53;5,59;54,00;0,00;0,00;3,00;3,00;3,00;9,00;27,00;0,00;0,00;3,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;65,00;145,48;9,29;0,00;9,29;135,91;17,73;5,91;106,36;130,00;6,50;6,50;13,00;5,57;50,14;0,00;3,71;0,00;12,00;3,00;6,00;9,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-26;36,00;147,00;6,00;0,00;24,00;60,00;12,00;18,00;84,00;108,00;9,82;3,27;16,36;3,60;46,80;0,00;0,00;0,00;6,00;6,00;12,00;15,00;3,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;53,00;124,71;12,47;0,00;6,24;106,00;11,78;23,56;88,33;77,94;12,47;15,59;6,24;0,00;54,83;9,14;0,00;0,00;3,00;0,00;18,00;6,00;6,00;0,00;0,00;0,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-09;52,00;91,76;6,12;0,00;9,18;69,33;23,11;11,56;86,67;104,00;6,50;6,50;19,50;3,71;52,00;3,71;0,00;3,00;0,00;6,00;9,00;15,00;6,00;0,00;0,00;3,00;0,00;6,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-16;61,00;140,30;9,15;0,00;6,10;122,00;12,20;12,20;67,10;109,16;9,63;6,42;9,63;3,70;57,30;9,24;0,00;0,00;3,00;3,00;6,00;21,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;52,00;61,18;3,06;0,00;3,06;78,00;13,00;3,25;39,00;84,50;3,25;6,50;3,25;0,00;20,43;3,71;0,00;0,00;6,00;6,00;3,00;9,00;23,00;0,00;0,00;0,00;0,00;6,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;37,00;64,75;6,17;0,00;6,17;67,83;12,33;12,33;61,67;52,42;9,25;3,08;0,00;3,70;42,55;3,70;3,70;6,00;0,00;3,00;0,00;9,00;9,00;0,00;3,00;0,00;0,00;6,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;44,00;34,57;0,00;0,00;3,14;31,43;3,14;0,00;18,86;18,86;0,00;0,00;0,00;0,00;12,83;0,00;1,83;3,00;5,00;3,00;0,00;3,00;6,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-15;36,00;24,00;6,00;0,00;3,00;30,00;6,00;3,00;12,00;22,91;3,27;0,00;0,00;0,00;18,95;0,00;1,89;0,00;5,00;0,00;3,00;6,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-22;13,00;16,25;3,25;0,00;6,50;26,00;6,50;3,25;6,50;39,00;0,00;0,00;0,00;0,00;14,86;0,00;1,86;3,00;3,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;11,00;14,67;0,00;0,00;3,67;22,00;5,50;2,75;16,50;44,00;3,67;0,00;0,00;0,00;18,33;0,00;1,83;3,00;3,00;0,00;5,00;0,00;0,00;0,00;0,00;3,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-05;6,00;24,00;3,00;0,00;6,00;24,00;12,00;3,00;12,00;30,00;6,00;0,00;0,00;0,00;18,00;0,00;4,00;0,00;22,00;3,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-12;11,00;13,75;8,25;0,00;5,50;33,00;0,00;0,00;11,00;33,00;0,00;0,00;0,00;3,67;20,17;0,00;0,00;0,00;6,00;0,00;3,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
