Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Marseille (FR);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-01-05;32,00;608,00;624,00;448,00;520,00;296,00;4,00;212,00;204,00;314,67;149,33;453,33;96,00;256,00;499,20;134,40;130,46;216,62;14,77;28,95;108,19;92,95;14,00;39,00;21,00;11,00;14,00;7,00;4,00;18,00;0,00;0,00
2020-01-12;59,00;674,29;649,00;514,14;564,71;318,60;11,80;263,53;224,20;332,55;155,55;466,64;137,67;380,22;472,00;150,78;95,88;218,79;31,96;41,30;144,55;85,55;24,00;31,00;3,00;17,00;10,00;14,00;3,00;17,00;0,00;0,00
2020-01-19;79,00;521,40;726,80;489,80;497,70;312,24;7,52;225,71;210,67;253,93;146,71;468,36;97,23;261,31;413,23;109,38;103,69;195,03;24,69;64,09;104,34;89,43;32,00;58,00;7,00;7,00;4,00;0,00;4,00;7,00;0,00;0,00
2020-01-26;69,00;534,75;698,63;517,50;491,63;364,17;11,50;164,83;203,17;287,50;207,00;425,50;87,82;276,00;457,91;144,27;108,43;246,43;32,04;28,50;91,50;94,50;25,00;32,00;7,00;29,00;0,00;11,00;7,00;11,00;0,00;0,00
2020-02-02;36,00;522,00;675,00;459,00;477,00;340,00;4,00;348,00;228,00;354,00;186,00;600,00;96,00;288,00;480,00;150,00;108,00;192,86;25,71;39,00;78,00;93,00;11,00;28,00;7,00;35,00;7,00;0,00;4,00;18,00;4,00;4,00
2020-02-09;42,00;588,00;730,80;487,20;520,80;328,36;7,64;259,64;190,91;300,00;162,00;564,00;78,00;324,00;390,00;180,00;138,35;155,65;24,71;34,50;150,00;79,50;10,00;41,00;0,00;21,00;3,00;7,00;10,00;7,00;3,00;3,00
2020-02-16;54,00;578,57;617,14;424,29;524,57;385,71;0,00;231,43;216,00;302,40;162,00;442,80;84,00;288,00;348,00;210,00;100,64;223,36;22,09;46,70;81,73;46,70;32,00;54,00;18,00;7,00;14,00;11,00;11,00;18,00;0,00;4,00
2020-02-23;31,00;449,50;550,25;418,50;488,25;310,00;7,75;182,13;135,63;289,33;175,67;397,83;105,40;415,40;353,40;167,40;124,00;176,46;31,00;41,33;72,33;20,67;17,00;59,00;17,00;17,00;7,00;10,00;14,00;17,00;7,00;3,00
2020-03-01;73,00;478,56;608,33;413,67;559,67;315,05;3,84;234,37;134,47;230,23;174,08;365,00;85,17;298,08;340,67;115,58;97,33;180,07;17,03;38,73;122,16;75,98;17,00;24,00;17,00;14,00;17,00;14,00;3,00;10,00;3,00;0,00
2020-03-08;46,00;391,00;398,67;329,67;444,67;260,67;0,00;383,33;122,67;241,50;132,25;511,75;105,14;262,86;407,43;144,57;89,58;125,89;2,42;19,29;81,61;46,00;3,00;13,00;13,00;7,00;0,00;0,00;0,00;13,00;0,00;3,00
