Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Cefalù (IT);Fréjus (FR);Amalfi (IT);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Portofino (IT);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2020-01-05;32,00;1008,00;16,00;0,00;48,00;132,57;45,71;27,43;192,00;134,40;19,20;70,40;9,60;28,00;38,00;6,00;18,00;11,00;4,00;14,00;0,00;32,00;7,00;28,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;59,00;1017,75;14,75;0,00;73,75;113,08;59,00;29,50;285,17;127,32;34,16;121,11;31,05;48,83;54,93;4,07;14,24;10,00;0,00;0,00;10,00;21,00;7,00;42,00;7,00;0,00;3,00;0,00;0,00;10,00;17,00;7,00;0,00;10,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;79,00;1011,20;15,80;0,00;94,80;120,82;55,76;37,18;209,12;101,12;18,96;101,12;9,48;46,59;36,46;8,10;8,10;14,00;4,00;14,00;18,00;29,00;7,00;18,00;11,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;11,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-01-26;69,00;855,60;6,90;0,00;55,20;101,20;36,80;36,80;193,20;116,05;15,68;97,23;9,41;32,47;32,47;10,15;8,12;18,00;7,00;14,00;0,00;25,00;0,00;32,00;11,00;0,00;0,00;0,00;0,00;4,00;11,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;36,00;1062,00;18,00;0,00;90,00;72,00;49,50;22,50;148,50;98,18;39,27;114,55;19,64;34,00;32,00;4,00;6,00;4,00;11,00;0,00;4,00;14,00;7,00;25,00;11,00;0,00;0,00;0,00;0,00;4,00;7,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2020-02-09;42,00;700,00;7,00;0,00;42,00;79,33;42,00;28,00;144,67;93,69;35,54;42,00;29,08;54,00;30,00;6,00;14,00;17,00;3,00;21,00;0,00;28,00;3,00;24,00;3,00;0,00;0,00;3,00;0,00;7,00;3,00;7,00;0,00;7,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-02-16;54,00;850,50;6,75;0,00;67,50;85,50;27,00;9,00;175,50;92,12;15,88;85,76;25,41;36,00;96,00;4,00;0,00;11,00;0,00;0,00;0,00;33,00;7,00;25,00;7,00;4,00;0,00;0,00;0,00;7,00;4,00;7,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;31,00;713,00;31,00;0,00;46,50;93,00;31,00;17,71;101,86;77,50;12,40;65,10;12,40;24,80;24,80;20,67;6,20;14,00;7,00;7,00;3,00;14,00;7,00;28,00;3,00;0,00;3,00;0,00;3,00;3,00;3,00;0,00;0,00;10,00;0,00;3,00;0,00;3,00;0,00;0,00;3,00;0,00;0,00
2020-03-01;73,00;730,00;14,60;0,00;43,80;63,27;34,07;24,33;107,07;117,43;9,52;60,30;28,57;20,28;28,39;6,08;0,00;7,00;14,00;3,00;0,00;21,00;10,00;24,00;3,00;0,00;3,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-08;46,00;935,33;15,33;0,00;46,00;101,20;23,00;18,40;69,00;75,57;13,14;39,43;39,43;22,00;16,00;6,00;0,00;3,00;10,00;0,00;0,00;10,00;13,00;20,00;3,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
