Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-01-05;98,00;93,22;40,63;35,85;0,50;27,00;16,00;23,00;34,00;10,00;16,00;19,00;2,00;12,00;12,00;2,00;11,00;5,00;13,00;6,00;12,00;3,00;5,00;2,00;4,00;2,00;1,00;1,00;0,50;3,00;0,00;0,50
2020-01-12;91,00;105,37;40,71;31,13;0,50;27,00;16,00;26,00;25,00;11,00;22,00;15,00;3,00;12,00;12,00;2,00;8,00;2,00;12,00;9,00;13,00;3,00;3,00;1,00;4,00;2,00;0,00;1,00;0,00;3,00;0,00;0,50
2020-01-19;100,00;90,24;39,02;26,83;1,00;31,00;12,00;22,00;22,00;7,00;15,00;14,00;3,00;11,00;7,00;3,00;10,00;2,00;14,00;7,00;10,00;3,00;1,00;1,00;2,00;1,00;0,00;2,00;0,00;2,00;0,00;0,50
2020-01-26;83,00;83,00;26,85;24,41;0,50;25,00;16,00;21,00;22,00;10,00;17,00;13,00;2,00;13,00;10,00;2,00;6,00;2,00;11,00;6,00;13,00;3,00;3,00;0,00;2,00;2,00;1,00;0,50;0,00;4,00;0,00;0,00
2020-02-02;82,00;67,53;26,53;24,12;0,00;33,00;10,00;20,00;21,00;10,00;14,00;14,00;4,00;8,00;8,00;1,00;6,00;5,00;10,00;8,00;9,00;2,00;2,00;1,00;3,00;2,00;1,00;1,00;0,50;3,00;0,00;0,00
2020-02-09;93,00;81,08;31,00;26,23;0,00;28,00;11,00;27,00;21,00;9,00;14,00;12,00;1,00;13,00;10,00;2,00;9,00;4,00;14,00;5,00;9,00;1,00;2,00;0,00;1,00;2,00;1,00;2,00;0,00;2,00;0,00;0,00
2020-02-16;78,00;78,00;34,13;29,25;1,00;28,00;12,00;25,00;22,00;7,00;14,00;12,00;0,50;14,00;11,00;3,00;5,00;3,00;13,00;4,00;7,00;2,00;4,00;1,00;2,00;2,00;0,50;2,00;0,50;3,00;0,00;0,00
2020-02-23;71,00;68,55;22,03;29,38;0,50;21,00;9,00;11,00;14,00;7,00;8,00;9,00;1,00;6,00;10,00;5,00;5,00;2,00;11,00;4,00;10,00;1,00;1,00;0,00;2,00;1,00;0,50;0,00;0,00;3,00;0,50;0,00
2020-03-01;59,00;54,28;21,24;21,24;0,00;21,00;8,00;10,00;15,00;6,00;8,00;7,00;0,50;9,00;7,00;2,00;8,00;2,00;9,00;4,00;6,00;0,50;1,00;0,50;3,00;1,00;1,00;0,50;0,00;2,00;1,00;0,50
2020-03-08;50,00;35,71;11,90;14,29;0,00;19,00;4,00;5,00;9,00;4,00;3,00;6,00;2,00;6,00;4,00;2,00;6,00;2,00;7,00;2,00;7,00;0,00;2,00;0,50;2,00;1,00;0,00;0,00;0,00;1,00;0,50;0,00
