Semaine;London (GB);Paris (FR);Amsterdam (NL);Roma (IT);Lille (FR);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-01-05;84,00;85,02;30,73;84,00;1,40;16,80;31,00;26,00;23,00;24,00;9,00;24,00;26,00;2,00;9,00;23,00;3,00;9,00;2,00;13,00;8,00;3,00;11,00;10,00;2,00;3,00;3,00;1,00;3,00;1,00;0,50;0,00;0,00
2020-01-12;100,00;102,04;36,73;91,67;1,39;19,44;40,00;33,00;24,00;25,00;14,00;32,00;29,00;4,00;11,00;30,00;3,00;9,00;5,00;13,00;9,00;3,00;5,00;8,00;0,50;5,00;4,00;1,00;4,00;0,50;2,00;0,50;0,00
2020-01-19;93,00;89,93;29,64;93,00;1,41;28,18;25,00;24,00;25,00;23,00;13,00;21,00;24,00;3,00;12,00;24,00;3,00;11,00;0,50;8,00;12,00;7,00;7,00;5,00;1,00;6,00;4,00;2,00;3,00;0,00;2,00;0,50;0,00
2020-01-26;98,00;92,90;33,69;92,40;2,80;22,40;32,00;24,00;26,00;22,00;11,00;26,00;19,00;2,00;7,00;22,00;5,00;8,00;4,00;10,00;7,00;6,00;9,00;6,00;0,50;8,00;7,00;2,00;3,00;1,00;1,00;0,00;0,50
2020-02-02;83,00;94,27;32,79;80,23;1,38;22,13;30,00;25,00;22,00;25,00;12,00;21,00;22,00;3,00;12,00;19,00;6,00;10,00;5,00;8,00;11,00;4,00;10,00;7,00;2,00;5,00;2,00;2,00;2,00;0,00;2,00;0,00;0,00
2020-02-09;96,00;80,84;32,34;82,29;1,37;19,20;27,00;23,00;23,00;20,00;9,00;25,00;20,00;3,00;9,00;24,00;2,00;14,00;6,00;11,00;9,00;5,00;6,00;4,00;3,00;6,00;8,00;0,50;3,00;1,00;2,00;0,00;0,00
2020-02-16;82,00;82,00;23,58;82,00;0,00;27,33;35,00;23,00;27,00;25,00;9,00;28,00;22,00;3,00;9,00;22,00;4,00;12,00;6,00;11,00;8,00;5,00;6,00;6,00;2,00;5,00;4,00;2,00;2,00;1,00;1,00;0,50;0,50
2020-02-23;70,00;82,35;26,76;70,00;2,80;25,20;23,00;27,00;29,00;29,00;11,00;23,00;17,00;3,00;8,00;25,00;2,00;8,00;5,00;9,00;5,00;7,00;6,00;3,00;0,00;6,00;6,00;2,00;3,00;1,00;3,00;1,00;0,50
2020-03-01;63,00;73,16;22,35;57,52;0,00;19,17;26,00;18,00;22,00;18,00;12,00;16,00;14,00;2,00;5,00;18,00;2,00;7,00;6,00;9,00;6,00;3,00;6,00;3,00;0,00;5,00;4,00;0,00;4,00;0,00;2,00;0,00;0,00
2020-03-08;74,00;55,75;18,25;54,81;1,37;16,44;18,00;18,00;25,00;11,00;9,00;9,00;15,00;2,00;3,00;13,00;3,00;13,00;4,00;5,00;4,00;3,00;4,00;4,00;0,00;7,00;4,00;0,50;1,00;0,50;2,00;0,00;0,00
2020-03-15;46,00;31,69;9,20;18,94;0,00;5,41;8,00;12,00;8,00;5,00;2,00;15,00;6,00;0,50;2,00;11,00;2,00;9,00;2,00;7,00;6,00;1,00;2,00;0,00;0,00;5,00;2,00;0,50;4,00;0,00;1,00;0,50;0,00
2020-03-22;21,00;24,00;6,00;28,88;1,31;2,63;6,00;6,00;9,00;6,00;1,00;8,00;4,00;0,50;2,00;5,00;1,00;3,00;3,00;5,00;3,00;1,00;2,00;2,00;0,50;4,00;0,00;0,50;0,50;0,50;1,00;0,50;0,50
2020-03-29;19,00;21,00;4,00;21,71;0,00;2,71;7,00;6,00;5,00;7,00;3,00;6,00;4,00;1,00;2,00;2,00;0,50;5,00;0,50;4,00;2,00;1,00;0,00;1,00;0,00;2,00;1,00;0,50;0,50;1,00;0,50;0,00;0,00
2020-04-05;16,00;26,00;5,00;26,67;1,33;2,67;14,00;13,00;4,00;3,00;2,00;8,00;5,00;0,50;1,00;4,00;0,00;4,00;3,00;2,00;6,00;2,00;0,50;0,50;1,00;3,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00
2020-04-12;18,00;30,71;4,24;30,00;0,00;3,00;8,00;8,00;9,00;5,00;0,50;5,00;3,00;1,00;2,00;5,00;0,50;3,00;2,00;3,00;3,00;1,00;1,00;3,00;0,00;2,00;1,00;0,00;1,00;0,50;1,00;0,00;0,00
