Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-01-05;26,00;179,11;167,56;106,89;83,78;107,55;4,73;52,00;68,55;47,67;114,83;182,00;84,50;21,27;33,09;59,09;37,82;35,00;57,00;9,00;48,00;4,00;84,00;18,00;4,00;8,27;4,73;88,64;13,00;0,00;13,00;0,00;4,00;4,00;0,00
2020-01-12;26,00;201,50;165,75;100,75;97,50;79,24;4,95;75,52;56,95;47,67;130,00;205,83;65,00;13,00;57,20;49,40;41,60;4,00;39,00;17,00;39,00;13,00;43,00;26,00;13,00;13,00;0,00;108,73;0,00;0,00;0,00;4,00;0,00;4,00;0,00
2020-01-19;22,00;182,29;201,14;75,43;125,71;108,78;0,00;108,78;69,67;13,20;88,00;123,20;70,40;4,89;41,56;70,89;17,11;30,00;43,00;56,00;47,00;4,00;91,00;26,00;26,00;26,89;4,89;84,33;4,00;4,00;4,00;0,00;9,00;0,00;0,00
2020-01-26;30,00;198,00;96,00;72,00;120,00;111,60;4,80;120,00;73,20;25,71;77,14;167,14;55,71;22,50;52,50;82,50;30,00;26,00;22,00;17,00;48,00;13,00;35,00;22,00;22,00;12,69;0,00;76,15;4,00;4,00;9,00;0,00;4,00;4,00;0,00
2020-02-02;39,00;180,00;138,00;48,00;102,00;106,03;0,00;109,69;70,69;47,67;88,83;153,83;88,83;12,19;46,31;51,19;24,38;48,00;52,00;70,00;39,00;17,00;57,00;22,00;17,00;17,73;8,27;65,00;9,00;4,00;4,00;0,00;4,00;0,00;0,00
2020-02-09;9,00;228,00;180,00;93,00;141,00;78,43;0,00;83,57;23,14;36,00;182,25;150,75;31,50;30,00;57,00;99,00;27,00;22,00;35,00;26,00;66,00;9,00;53,00;31,00;31,00;14,14;9,00;128,57;4,00;18,00;13,00;0,00;4,00;9,00;0,00
2020-02-16;22,00;176,00;138,29;59,71;122,57;88,00;0,00;92,89;62,33;30,80;147,40;156,20;66,00;22,00;63,56;58,67;39,11;31,00;39,00;35,00;74,00;9,00;39,00;35,00;26,00;8,56;8,56;63,56;4,00;4,00;0,00;4,00;18,00;0,00;0,00
2020-02-23;13,00;201,50;120,25;58,50;195,00;76,70;3,90;107,90;45,50;30,33;134,33;125,67;75,83;20,80;52,00;59,80;26,00;21,00;25,00;33,00;38,00;13,00;46,00;17,00;17,00;13,00;8,27;83,91;0,00;13,00;4,00;0,00;4,00;0,00;0,00
2020-03-01;17,00;187,00;112,20;61,20;149,60;83,79;0,00;66,79;34,00;34,00;104,13;123,25;91,38;12,14;60,71;48,57;36,43;21,00;25,00;34,00;42,00;21,00;71,00;4,00;17,00;0,00;0,00;60,71;4,00;13,00;0,00;0,00;8,00;4,00;0,00
2020-03-08;16,00;147,20;73,60;51,20;73,60;56,62;0,00;97,23;28,31;34,29;75,43;109,71;38,86;0,00;42,67;50,67;13,33;16,00;20,00;36,00;60,00;12,00;48,00;8,00;12,00;8,62;0,00;61,54;0,00;0,00;4,00;0,00;0,00;0,00;0,00
