Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2020-01-05;49,00;649,25;551,25;355,25;175,00;14,00;182,00;168,00;164,50;227,50;91,00;248,50;63,91;63,91;91,61;6,39;118,55;104,32;6,32;83,77;49,00;104,62;70,19;76,81;14,00;57,00;28,00;28,00;7,00;35,00;0,00;7,00;7,00;7,00;7,00
2020-01-12;41,00;574,00;820,00;341,67;239,17;13,67;177,67;177,67;174,25;331,42;157,17;215,25;62,58;41,00;97,11;28,05;94,62;115,12;20,50;88,31;19,84;88,61;67,45;82,00;48,00;41,00;34,00;34,00;7,00;21,00;0,00;7,00;0,00;0,00;0,00
2020-01-19;49,00;477,75;600,25;404,25;269,50;7,00;154,00;199,50;133,00;290,50;112,00;206,50;61,78;70,30;125,70;6,39;131,19;110,65;14,23;83,77;27,81;90,05;76,81;55,62;7,00;14,00;42,00;14,00;21,00;7,00;7,00;0,00;21,00;7,00;0,00
2020-01-26;35,00;466,67;536,67;361,67;150,50;7,00;150,50;136,50;77,00;252,00;56,00;210,00;78,75;41,56;85,31;21,88;97,05;111,36;27,05;47,73;41,73;105,00;56,54;91,54;28,00;63,00;42,00;56,00;14,00;0,00;7,00;0,00;14,00;0,00;0,00
2020-02-02;77,00;487,67;1283,33;320,83;210,00;21,00;350,00;119,00;84,00;199,50;49,00;269,50;49,19;77,00;70,58;27,81;85,02;141,17;28,88;77,00;21,24;91,60;70,36;42,48;21,00;35,00;42,00;50,00;21,00;7,00;0,00;0,00;28,00;14,00;0,00
2020-02-09;48,00;504,00;660,00;456,00;161,14;20,57;260,57;219,43;137,14;236,57;89,14;137,14;63,27;69,82;146,18;21,82;150,40;123,20;14,40;83,20;20,00;130,67;48,00;54,67;28,00;28,00;28,00;55,00;14,00;14,00;0,00;0,00;7,00;28,00;0,00
2020-02-16;28,00;420,00;770,00;448,00;203,00;35,00;245,00;154,00;119,00;227,50;70,00;227,50;90,46;77,54;90,46;15,08;88,67;108,89;0,00;82,44;28,00;133,33;42,67;42,67;14,00;35,00;21,00;42,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00
2020-02-23;48,00;540,00;648,00;324,00;120,00;27,43;195,43;181,71;89,14;185,14;96,00;205,71;76,36;104,73;28,36;6,55;97,60;116,80;14,40;48,00;28,00;69,33;89,33;48,00;7,00;42,00;35,00;49,00;7,00;7,00;21,00;14,00;0,00;0,00;0,00
2020-03-01;54,00;445,50;567,00;364,50;151,20;7,20;234,00;115,20;82,80;194,40;50,40;169,20;66,96;41,04;41,04;12,96;100,06;81,00;6,35;33,35;20,25;47,25;27,00;33,75;20,00;20,00;20,00;48,00;13,00;20,00;0,00;0,00;20,00;14,00;7,00
2020-03-08;52,00;416,00;559,00;390,00;142,13;0,00;242,67;187,20;97,07;117,87;65,87;110,93;39,00;65,00;39,00;13,00;64,61;83,52;12,61;64,61;20,00;58,67;38,67;38,67;13,00;59,00;0,00;46,00;13,00;7,00;0,00;13,00;7,00;0,00;0,00
2020-03-15;20,00;140,00;270,00;110,00;30,00;0,00;100,00;73,33;20,00;153,33;36,67;76,67;48,89;164,44;40,00;20,00;41,67;55,00;6,67;61,67;33,33;46,67;26,67;13,33;7,00;20,00;7,00;13,00;7,00;13,00;13,00;0,00;7,00;0,00;0,00
2020-03-22;13,00;117,00;221,00;39,00;35,75;6,50;71,50;22,75;19,50;74,75;19,50;42,25;26,00;84,50;13,00;6,50;19,50;73,13;0,00;39,00;26,00;31,20;26,00;19,50;0,00;13,00;13,00;33,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00
2020-03-29;13,00;156,00;117,00;65,00;22,75;6,50;65,00;22,75;19,50;65,00;13,00;22,75;32,50;39,00;13,00;6,50;19,50;45,50;13,00;13,00;6,50;37,70;18,20;18,20;19,00;0,00;6,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;6,00
2020-04-05;13,00;117,00;208,00;52,00;42,25;0,00;42,25;42,25;6,50;32,50;32,50;81,25;26,00;73,67;34,67;0,00;13,00;19,50;0,00;27,63;0,00;32,50;19,50;6,50;13,00;0,00;7,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00
2020-04-12;13,00;156,00;143,00;65,00;22,75;0,00;29,25;19,50;13,00;48,75;29,25;6,50;6,50;52,00;26,00;0,00;19,50;13,00;6,50;6,50;0,00;26,00;26,00;6,50;0,00;7,00;7,00;20,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;13,00;91,00;195,00;52,00;35,75;0,00;35,75;19,50;19,50;74,75;26,00;42,25;0,00;52,00;26,00;13,00;19,50;26,00;0,00;26,00;0,00;6,50;26,00;6,50;20,00;0,00;7,00;39,00;7,00;0,00;0,00;7,00;7,00;0,00;0,00
2020-04-26;13,00;104,00;117,00;78,00;35,75;0,00;35,75;35,75;6,50;65,00;13,00;42,25;6,50;39,00;32,50;0,00;19,50;52,00;0,00;13,00;0,00;14,44;0,00;20,22;0,00;0,00;6,00;32,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00
2020-05-03;13,00;130,00;156,00;117,00;48,75;0,00;71,50;22,75;13,00;68,25;35,75;35,75;13,00;58,50;6,50;13,00;19,50;26,00;0,00;26,00;13,00;0,00;13,00;26,00;0,00;0,00;20,00;13,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00
2020-05-10;19,00;285,00;190,00;152,00;34,20;0,00;72,20;45,60;15,20;68,40;15,20;60,80;12,67;61,22;6,33;12,67;49,08;36,42;6,33;36,42;12,21;6,79;19,00;31,21;0,00;13,00;6,00;25,00;6,00;0,00;0,00;0,00;6,00;0,00;0,00
