Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2020-01-05;14,00;28,00;0,00;70,00;0,00;29,00
2020-01-12;14,00;42,00;14,00;56,00;0,00;0,00
2020-01-19;56,00;28,00;28,00;96,73;0,00;42,00
2020-01-26;0,00;44,00;11,00;11,00;11,00;14,00
2020-02-02;29,00;43,50;0,00;43,50;14,50;29,00
2020-02-09;0,00;33,00;0,00;22,00;0,00;43,00
2020-02-16;29,00;14,50;0,00;72,50;14,50;29,00
2020-02-23;27,00;14,14;0,00;68,14;27,00;0,00
2020-03-01;14,00;40,73;0,00;0,00;14,00;14,00
2020-03-08;65,00;39,00;0,00;39,00;0,00;13,00
2020-03-15;27,00;12,86;0,00;65,57;0,00;0,00
2020-03-22;39,00;26,00;13,00;0,00;0,00;0,00
2020-03-29;0,00;0,00;0,00;20,00;0,00;0,00
2020-04-05;57,00;28,50;0,00;14,25;0,00;0,00
2020-04-12;14,00;14,00;0,00;14,00;0,00;0,00
2020-04-19;0,00;21,00;0,00;0,00;0,00;0,00
2020-04-26;0,00;29,00;0,00;29,00;0,00;0,00
2020-05-03;13,00;13,00;13,00;13,00;0,00;13,00
2020-05-10;13,00;13,00;0,00;0,00;0,00;0,00
2020-05-17;43,00;28,67;0,00;0,00;0,00;29,00
2020-05-24;0,00;11,00;11,00;11,00;0,00;0,00
2020-05-31;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;39,00;26,00;13,00;26,00;0,00;0,00
2020-06-14;26,00;0,00;26,00;40,30;0,00;13,00
2020-06-21;14,00;0,00;0,00;14,00;0,00;14,00
2020-06-28;14,00;14,00;28,00;0,00;0,00;0,00
2020-07-05;29,00;0,00;0,00;29,00;0,00;15,00
2020-07-12;0,00;23,00;12,00;0,00;0,00;15,00
2020-07-19;15,00;15,00;15,00;0,00;0,00;15,00
2020-07-26;0,00;0,00;12,00;12,00;0,00;31,00
2020-08-02;15,00;15,00;0,00;46,36;0,00;0,00
2020-08-09;14,00;14,00;0,00;28,00;14,00;14,00
2020-08-16;28,00;14,00;0,00;0,00;0,00;14,00
2020-08-23;0,00;11,00;11,00;32,00;0,00;0,00
2020-08-30;14,00;28,00;14,00;28,00;0,00;0,00
2020-09-06;0,00;22,00;0,00;0,00;0,00;28,00
2020-09-13;0,00;0,00;0,00;11,00;0,00;28,00
2020-09-20;0,00;32,00;11,00;0,00;0,00;0,00
2020-09-27;0,00;11,00;0,00;22,00;11,00;0,00
2020-10-04;0,00;23,00;11,00;34,00;0,00;0,00
2020-10-11;15,00;0,00;0,00;28,75;0,00;0,00
2020-10-18;44,00;14,24;0,00;44,00;0,00;0,00
2020-10-25;0,00;11,00;0,00;33,00;11,00;0,00
2020-11-01;0,00;20,00;10,00;10,00;0,00;0,00
2020-11-08;0,00;33,00;0,00;33,00;0,00;0,00
2020-11-15;43,00;14,33;0,00;71,67;0,00;14,00
2020-11-22;14,00;14,00;14,00;40,73;0,00;14,00
2020-11-29;14,00;54,73;14,00;28,00;14,00;0,00
2020-12-06;28,00;42,00;14,00;54,73;0,00;14,00
2020-12-13;14,00;28,00;57,27;70,00;0,00;0,00
2020-12-20;16,00;16,00;16,00;77,54;0,00;16,00
2020-12-27;65,00;81,90;16,90;49,40;0,00;16,00
2021-01-03;100,00;28,57;0,00;71,43;14,29;14,00
2021-01-10;14,00;14,00;0,00;82,73;0,00;28,00
2021-01-17;42,00;42,00;0,00;28,00;0,00;14,00
2021-01-24;14,00;54,73;14,00;54,73;0,00;14,00
2021-01-31;42,00;0,00;0,00;56,44;0,00;0,00
2021-02-07;57,00;14,25;0,00;28,50;0,00;0,00
2021-02-14;30,00;30,00;15,65;74,35;0,00;15,00
2021-02-21;0,00;23,00;0,00;34,00;0,00;44,00
2021-02-28;0,00;22,00;0,00;55,00;11,00;0,00
2021-03-07;28,00;14,00;0,00;54,73;0,00;14,00
2021-03-14;13,00;13,00;0,00;27,30;13,00;0,00
2021-03-21;14,00;14,00;0,00;14,00;0,00;14,00
2021-03-28;47,00;15,67;0,00;62,67;0,00;62,00
2021-04-04;0,00;0,00;0,00;47,00;0,00;0,00
2021-04-11;0,00;22,00;0,00;33,00;0,00;29,00
2021-04-18;15,00;0,00;0,00;46,36;15,00;15,00
2021-04-25;0,00;11,00;0,00;22,00;0,00;0,00
2021-05-02;0,00;11,00;0,00;66,00;11,00;14,00
2021-05-09;15,00;0,00;15,00;46,36;0,00;0,00
2021-05-16;14,00;14,00;14,00;68,73;0,00;42,00
2021-05-23;0,00;0,00;12,00;35,00;12,00;15,00
2021-05-30;15,00;31,36;0,00;30,00;0,00;0,00
2021-06-06;14,00;14,00;14,00;42,00;0,00;0,00
2021-06-13;0,00;23,00;0,00;11,00;11,00;0,00
2021-06-20;29,00;0,00;0,00;29,00;0,00;0,00
2021-06-27;0,00;0,00;0,00;11,00;0,00;0,00
2021-07-04;15,00;0,00;15,00;72,50;0,00;15,00
2021-07-11;16,00;32,00;0,00;32,00;0,00;16,00
2021-07-18;17,00;34,00;17,00;34,00;0,00;0,00
2021-07-25;17,00;17,00;0,00;17,00;0,00;0,00
2021-08-01;82,00;49,46;0,00;32,54;0,00;33,00
2021-08-08;17,00;34,00;0,00;17,00;0,00;17,00
2021-08-15;31,00;15,50;0,00;15,50;0,00;0,00
2021-08-22;0,00;0,00;13,00;50,00;0,00;16,00
2021-08-29;0,00;0,00;12,00;48,00;0,00;0,00
2021-09-05;0,00;25,00;0,00;37,00;0,00;0,00
2021-09-12;0,00;12,00;0,00;0,00;0,00;0,00
2021-09-19;16,00;32,00;0,00;16,00;0,00;0,00
2021-09-26;0,00;0,00;0,00;60,00;0,00;16,00
2021-10-03;12,00;24,00;12,00;58,67;0,00;0,00
2021-10-10;11,00;46,75;0,00;81,13;0,00;22,00
2021-10-17;11,00;56,38;0,00;22,00;11,00;32,00
2021-10-24;32,00;42,24;10,24;32,00;10,24;11,00
2021-10-31;10,00;30,00;10,00;40,00;0,00;21,00
2021-11-07;10,00;38,75;0,00;48,75;0,00;10,00
2021-11-14;0,00;31,00;0,00;31,00;23,00;10,00
2021-11-21;40,00;129,03;0,00;29,68;10,32;20,00
2021-11-28;0,00;38,00;15,00;30,00;8,00;89,00
2021-12-05;0,00;55,00;0,00;31,00;0,00;20,00
2021-12-12;21,00;0,00;0,00;10,50;0,00;32,00
2021-12-19;36,00;60,43;11,57;11,57;0,00;12,00
2021-12-26;51,00;62,48;12,75;75,23;25,50;26,00
2022-01-02;33,00;55,44;10,56;110,88;0,00;44,00
2022-01-09;12,00;25,33;0,00;37,33;0,00;12,00
