Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2020-01-05;50,00;7,00;34,00;5,00;6,00;5,00
2020-01-12;41,00;7,00;32,00;8,00;7,00;5,00
2020-01-19;46,00;5,00;29,00;8,00;4,00;3,00
2020-01-26;47,00;9,00;44,00;6,00;5,00;6,00
2020-02-02;46,00;7,00;29,00;6,00;5,00;4,00
2020-02-09;49,00;11,00;30,00;9,00;4,00;4,00
2020-02-16;46,00;6,00;28,00;8,00;7,00;4,00
2020-02-23;42,00;9,00;27,00;6,00;5,00;4,00
2020-03-01;41,00;8,00;26,00;4,00;4,00;5,00
2020-03-08;46,00;8,00;30,00;6,00;1,00;4,00
2020-03-15;38,00;7,00;18,00;5,00;1,00;5,00
2020-03-22;37,00;7,00;18,00;2,00;1,00;4,00
2020-03-29;33,00;9,00;13,00;7,00;2,00;2,00
2020-04-05;31,00;7,00;13,00;4,00;1,00;2,00
2020-04-12;36,00;6,00;15,00;3,00;1,00;3,00
2020-04-19;36,00;6,00;12,00;3,00;1,00;3,00
2020-04-26;39,00;8,00;12,00;1,00;1,00;2,00
2020-05-03;29,00;17,00;10,00;3,00;3,00;3,00
2020-05-10;30,00;15,00;8,00;1,00;1,00;3,00
2020-05-17;34,00;10,00;12,00;3,00;1,00;2,00
2020-05-24;29,00;11,00;11,00;2,00;1,00;1,00
2020-05-31;30,00;8,00;16,00;2,00;1,00;3,00
2020-06-07;30,00;8,00;10,00;2,00;2,00;2,00
2020-06-14;37,00;10,00;15,00;2,00;2,00;4,00
2020-06-21;40,00;10,00;11,00;3,00;1,00;3,00
2020-06-28;31,00;10,00;10,00;2,00;1,00;2,00
2020-07-05;39,00;7,00;11,00;2,00;2,00;2,00
2020-07-12;37,00;7,00;10,00;4,00;1,00;3,00
2020-07-19;37,00;7,00;9,00;4,00;1,00;3,00
2020-07-26;39,00;7,00;12,00;4,00;1,00;3,00
2020-08-02;36,00;8,00;28,00;5,00;1,00;2,00
2020-08-09;37,00;4,00;54,00;3,00;2,00;2,00
2020-08-16;37,00;8,00;24,00;4,00;3,00;3,00
2020-08-23;41,00;8,00;11,00;4,00;1,00;3,00
2020-08-30;42,00;7,00;23,00;3,00;1,00;2,00
2020-09-06;38,00;6,00;9,00;2,00;1,00;5,00
2020-09-13;34,00;6,00;7,00;2,00;2,00;3,00
2020-09-20;40,00;5,00;9,00;2,00;3,00;3,00
2020-09-27;44,00;7,00;7,00;2,00;1,00;3,00
2020-10-04;43,00;5,00;9,00;3,00;1,00;3,00
2020-10-11;47,00;6,00;7,00;3,00;2,00;2,00
2020-10-18;38,00;7,00;9,00;3,00;3,00;4,00
2020-10-25;42,00;9,00;7,00;2,00;1,00;3,00
2020-11-01;31,00;5,00;8,00;2,00;1,00;2,00
2020-11-08;34,00;5,00;11,00;2,00;1,00;2,00
2020-11-15;37,00;6,00;10,00;3,00;2,00;3,00
2020-11-22;39,00;8,00;9,00;3,00;2,00;2,00
2020-11-29;36,00;8,00;10,00;4,00;2,00;4,00
2020-12-06;48,00;8,00;9,00;2,00;3,00;2,00
2020-12-13;56,00;11,00;11,00;2,00;3,00;2,00
2020-12-20;47,00;4,00;11,00;1,00;6,00;3,00
2020-12-27;54,00;6,00;11,00;5,00;5,00;4,00
2021-01-03;59,00;10,00;13,00;5,00;6,00;4,00
2021-01-10;100,00;8,00;11,00;4,00;5,00;3,00
2021-01-17;66,00;8,00;13,00;2,00;4,00;3,00
2021-01-24;53,00;12,00;12,00;2,00;4,00;2,00
2021-01-31;40,00;13,00;11,00;3,00;1,00;1,00
2021-02-07;39,00;8,00;10,00;3,00;2,00;3,00
2021-02-14;43,00;6,00;8,00;2,00;2,00;2,00
