Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Val Gardena (IT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Schladming (AT);Grand Bornand (FR);Brixental (AT);Sestriere (IT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;32,00;64,00;16,00;32,00;896,00;32,00;32,00;3200,00;32,00;6,40;0,00;640,00;185,60;576,00;0,00;24,00;800,00;7,11;14,22;85,33;0,00;8,53;8,53;213,33;8,53;0,00;0,00;0,00;16,00;8,73;0,00;290,91;0,00;111,06;0,00;175,06;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;32,00;32,00;32,00;16,00;928,00;0,00;0,00;832,00;5,33;12,80;6,40;499,20;217,60;320,00;0,00;24,00;384,00;14,22;0,00;156,44;0,00;8,53;8,53;196,27;40,53;0,00;0,00;0,00;8,00;0,00;0,00;217,60;0,00;150,59;0,00;133,65;0,00;16,00;0,00;8,00;0,00;0,00;0,00
2019-01-20;49,00;12,25;24,50;24,50;416,50;0,00;0,00;882,00;12,25;0,00;7,00;308,00;126,00;253,17;0,00;8,17;383,83;0,00;7,54;116,85;0,00;8,52;8,52;106,52;49,00;0,00;0,00;0,00;0,00;0,00;9,19;202,13;0,00;107,80;15,68;115,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;88,00;29,33;0,00;29,33;352,00;0,00;8,80;774,40;17,60;0,00;6,77;243,69;270,77;228,80;0,00;35,20;404,80;14,67;0,00;176,00;7,33;8,38;0,00;88,00;16,76;0,00;0,00;8,00;8,00;9,10;0,00;254,90;0,00;103,30;0,00;80,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;41,00;20,50;41,00;41,00;656,00;5,13;10,25;358,75;5,13;6,83;0,00;232,33;184,50;262,40;8,20;16,40;459,20;7,45;0,00;149,09;0,00;8,20;8,20;104,55;16,40;0,00;0,00;0,00;0,00;0,00;0,00;195,54;0,00;134,71;0,00;58,57;0,00;8,00;0,00;0,00;0,00;8,00;0,00
2019-02-10;33,00;33,00;33,00;0,00;363,00;33,00;33,00;1089,00;0,00;6,60;0,00;244,20;92,40;247,50;0,00;0,00;330,00;7,33;0,00;106,33;7,33;0,00;0,00;148,50;16,50;0,00;0,00;0,00;8,00;15,00;9,00;162,00;0,00;110,65;0,00;33,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;25,00;25,00;50,00;0,00;300,00;12,50;6,25;275,00;0,00;6,25;6,25;206,25;100,00;166,67;0,00;8,33;250,00;7,14;7,14;89,29;0,00;8,33;0,00;125,00;25,00;8,00;0,00;0,00;8,00;0,00;9,38;118,75;0,00;75,00;0,00;92,31;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;17,00;17,00;17,00;0,00;187,00;34,00;0,00;680,00;68,00;0,00;0,00;158,67;96,33;144,50;0,00;42,50;365,50;0,00;0,00;119,00;0,00;0,00;17,00;87,13;8,50;0,00;0,00;9,00;9,00;0,00;0,00;181,33;0,00;85,00;0,00;68,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;58,00;58,00;29,00;29,00;377,00;29,00;0,00;870,00;29,00;0,00;6,44;225,56;103,11;273,43;0,00;8,29;273,43;25,38;7,25;72,50;0,00;0,00;8,59;83,78;34,37;0,00;8,00;0,00;16,00;9,16;0,00;122,11;0,00;123,73;0,00;50,27;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;49,00;24,50;24,50;12,25;269,50;24,50;0,00;318,50;24,50;7,00;7,00;175,00;175,00;228,67;8,17;32,67;310,33;7,54;0,00;165,85;0,00;0,00;0,00;106,52;17,04;0,00;0,00;0,00;0,00;15,31;0,00;79,63;0,00;82,32;0,00;58,80;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;17,00;17,00;17,00;0,00;187,00;4,25;0,00;144,50;8,50;5,67;17,00;153,00;96,33;144,50;0,00;25,50;195,50;17,00;0,00;78,20;6,80;0,00;8,50;104,13;0,00;0,00;0,00;0,00;17,00;8,50;8,50;79,33;0,00;41,56;0,00;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;17,00;0,00;17,00;8,50;187,00;4,25;0,00;119,00;4,25;0,00;0,00;124,67;73,67;102,00;0,00;17,00;144,50;0,00;0,00;37,40;0,00;0,00;0,00;51,00;8,50;0,00;0,00;0,00;8,00;0,00;0,00;102,00;0,00;7,56;0,00;24,56;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-31;42,00;10,50;0,00;21,00;147,00;21,00;0,00;378,00;21,00;0,00;7,00;91,00;175,00;126,00;0,00;0,00;184,80;0,00;0,00;61,09;0,00;0,00;0,00;25,20;8,40;0,00;0,00;0,00;0,00;0,00;0,00;48,00;0,00;17,18;0,00;7,64;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;34,00;34,00;17,00;17,00;204,00;34,00;0,00;272,00;34,00;0,00;6,80;129,20;122,40;102,00;0,00;8,50;178,50;0,00;0,00;128,44;0,00;0,00;0,00;34,00;8,50;0,00;0,00;0,00;0,00;0,00;0,00;43,27;0,00;41,56;0,00;17,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00
