Semaine;Réunion (RE);Mayotte (YT);Maurice (MU);Seychelles (SC);Zanzibar (TZ);Madagascar (MG)
2019-01-06;15,00;2,14;190,71;109,29;4,29;17,00
2019-01-13;7,00;7,00;154,00;89,25;0,00;20,00
2019-01-20;7,00;5,25;120,75;80,50;0,00;22,00
2019-01-27;11,00;2,20;160,60;81,40;0,00;11,00
2019-02-03;11,00;2,20;116,60;96,80;0,00;21,00
2019-02-10;13,00;0,00;140,83;95,33;0,00;13,00
2019-02-17;7,00;0,00;113,75;70,00;0,00;6,00
2019-02-24;15,00;0,00;143,57;83,57;0,00;15,00
2019-03-03;13,00;8,67;136,50;73,67;0,00;18,00
2019-03-10;16,00;2,00;122,00;98,00;0,00;7,00
2019-03-17;9,00;5,40;86,40;68,40;0,00;11,00
2019-03-24;17,00;0,00;125,38;48,88;0,00;4,00
2019-03-31;11,00;0,00;143,00;81,40;0,00;9,00
2019-04-07;11,00;4,40;112,20;83,60;2,20;17,00
2019-04-14;2,00;4,00;108,00;62,00;0,00;16,00
2019-04-21;9,00;0,00;97,20;73,80;0,00;21,00
2019-04-28;5,00;6,67;110,00;58,33;0,00;7,00
2019-05-05;18,00;0,00;106,00;74,00;0,00;13,00
2019-05-12;6,00;4,00;110,00;52,00;0,00;9,00
2019-05-19;5,00;0,00;95,00;63,33;0,00;9,00
2019-05-26;11,00;2,20;127,60;83,60;2,20;11,00
2019-06-02;7,00;2,33;128,33;70,00;0,00;14,00
2019-06-09;5,00;0,00;101,67;53,33;1,67;9,00
2019-06-16;7,00;1,75;101,50;56,00;1,75;5,00
2019-06-23;9,00;0,00;90,00;57,60;0,00;20,00
2019-06-30;17,00;0,00;108,38;95,63;0,00;7,00
2019-07-07;11,00;0,00;129,80;57,20;2,20;29,00
2019-07-14;11,00;6,60;103,40;68,20;0,00;13,00
2019-07-21;17,00;4,25;131,75;65,88;0,00;11,00
2019-07-28;18,00;2,00;134,00;104,00;0,00;11,00
2019-08-04;9,00;1,80;118,80;61,20;1,80;20,00
2019-08-11;11,00;0,00;118,80;63,80;2,20;16,00
2019-08-18;11,00;1,83;108,17;62,33;1,83;13,00
2019-08-25;15,00;6,43;137,14;85,71;0,00;19,00
2019-09-01;20,00;0,00;112,00;70,00;0,00;9,00
2019-09-08;9,00;6,75;168,75;110,25;2,25;14,00
2019-09-15;11,00;4,40;145,20;83,60;2,20;20,00
2019-09-22;18,00;4,00;136,00;64,00;0,00;17,00
2019-09-29;10,00;6,00;154,00;94,00;0,00;10,00
2019-10-06;15,00;3,75;121,88;73,13;0,00;19,00
2019-10-13;20,00;0,00;112,00;70,00;0,00;15,00
2019-10-20;5,00;15,00;130,00;87,50;2,50;8,00
2019-10-27;12,00;0,00;106,00;72,00;0,00;7,00
2019-11-03;44,00;4,00;110,00;56,00;2,00;13,00
2019-11-10;10,00;2,00;96,00;52,00;4,00;10,00
2019-11-17;15,00;4,29;102,86;70,71;2,14;15,00
2019-11-24;5,00;2,50;107,50;80,00;0,00;5,00
2019-12-01;11,00;0,00;69,67;45,83;1,83;12,00
2019-12-08;8,00;2,00;108,00;76,00;0,00;5,00
2019-12-15;12,00;8,00;88,00;72,00;0,00;10,00
2019-12-22;9,00;1,80;100,80;64,80;1,80;10,00
2019-12-29;14,00;6,00;200,00;120,00;0,00;27,00
2020-01-05;11,00;2,20;198,00;105,60;0,00;11,00
2020-01-12;17,00;2,13;170,00;91,38;2,13;11,00
2020-01-19;5,00;5,00;172,50;97,50;2,50;11,00
2020-01-26;11,00;1,83;113,67;95,33;0,00;8,00
2020-02-02;13,00;4,33;140,83;86,67;0,00;8,00
2020-02-09;14,00;2,00;118,00;76,00;0,00;22,00
2020-02-16;14,00;2,00;148,00;94,00;0,00;11,00
2020-02-23;8,00;4,00;112,00;76,00;2,00;12,00
2020-03-01;11,00;4,40;101,20;90,20;2,20;12,00
2020-03-08;12,00;6,00;90,00;62,00;0,00;8,00
2020-03-15;6,00;2,00;74,00;66,00;0,00;9,00
2020-03-22;7,00;5,25;29,75;33,25;0,00;4,00
2020-03-29;10,00;6,00;52,00;46,00;0,00;7,00
2020-04-05;13,00;0,00;35,29;55,71;0,00;4,00
2020-04-12;4,00;2,00;156,00;58,00;2,00;4,00
2020-04-19;6,00;2,00;48,00;62,00;0,00;8,00
2020-04-26;7,00;2,33;51,33;60,67;0,00;6,00
2020-05-03;11,00;1,83;40,33;25,67;1,83;10,00
2020-05-10;11,00;1,83;33,00;51,33;0,00;8,00
2020-05-17;6,00;4,00;60,00;46,00;2,00;4,00
