Semaine;Nice (FR);Paris (FR);London (GB);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;50,00;1375,00;1175,00;500,00;415,00;5,00;220,00;285,00;322,22;338,89;166,67;272,22;215,00;165,00;185,00;15,00;150,00;218,42;21,05;92,11;35,42;189,58;102,08;102,08;0,00;71,88;50,00;71,88;21,88;14,06;7,81;0,00;0,00;5,00;0,00
2019-01-13;46,00;628,67;674,67;322,00;223,87;3,07;168,67;187,07;210,83;233,83;95,83;115,00;134,71;85,43;88,71;3,29;51,11;109,04;18,74;27,26;22,34;119,60;59,14;64,40;9,20;51,11;18,40;36,80;9,20;5,11;0,00;0,00;9,00;5,00;0,00
2019-01-20;31,00;604,50;573,50;310,00;239,14;17,71;163,86;274,57;248,00;279,00;149,83;206,67;261,29;132,86;97,43;26,57;81,08;166,92;42,92;81,08;18,24;80,24;49,24;72,94;12,68;62,00;18,32;67,64;31,00;5,64;25,36;12,68;18,00;4,00;0,00
2019-01-27;35,00;385,00;431,67;210,00;299,09;31,82;133,64;181,36;116,67;272,22;120,56;198,33;120,91;130,45;98,64;9,55;35,00;115,00;8,33;46,67;12,96;68,70;73,89;73,89;35,00;39,00;9,00;39,00;0,00;4,00;13,00;4,00;0,00;0,00;0,00
2019-02-03;18,00;648,00;810,00;360,00;312,00;18,00;330,00;444,00;486,00;639,00;279,00;324,00;222,00;246,00;66,00;6,00;57,60;270,00;18,00;133,20;36,00;141,43;79,71;123,43;18,00;18,00;0,00;72,00;18,00;0,00;10,00;10,00;9,00;0,00;5,00
2019-02-10;27,00;1674,00;2376,00;864,00;2025,00;108,00;999,00;1944,00;1539,00;1485,00;729,00;1323,00;864,00;621,00;702,00;81,00;360,00;801,00;72,00;387,00;168,75;378,00;216,00;216,00;48,60;172,80;0,00;124,20;27,00;27,00;0,00;48,60;5,00;0,00;0,00
2019-02-17;19,00;703,00;779,00;380,00;196,33;19,00;196,33;190,00;186,20;209,00;171,00;212,80;66,50;145,67;76,00;22,17;67,36;110,55;13,82;38,00;14,93;97,71;52,93;52,93;9,00;33,00;5,00;56,00;5,00;0,00;0,00;0,00;0,00;0,00;6,79
2019-02-24;37,00;604,33;579,67;246,67;222,00;9,25;231,25;215,83;192,40;188,70;140,60;177,60;100,91;87,45;43,73;13,45;50,45;114,36;8,41;82,41;23,79;79,29;51,54;18,50;14,00;14,00;5,00;27,00;14,00;14,00;5,00;5,00;18,50;0,00;0,00
2019-03-03;32,00;592,00;720,00;320,00;268,80;12,80;320,00;291,20;138,67;231,11;131,56;181,33;137,60;92,80;92,80;12,80;40,42;146,53;18,53;50,53;8,96;76,80;71,68;58,88;14,00;46,00;9,00;50,00;23,00;5,00;5,00;0,00;10,29;0,00;0,00
2019-03-10;27,00;526,50;540,00;283,50;210,00;33,00;162,00;201,00;196,71;196,71;142,71;219,86;74,25;81,00;118,13;37,13;62,44;141,75;27,00;79,31;32,40;55,35;97,20;59,40;9,00;85,00;13,00;45,00;4,00;18,00;4,00;0,00;9,00;0,00;4,00
