Semaine;Nice (FR);Mallorca (ES);Benidorm (ES);reta (SI);Agadir (MA);Ibiza (ES);Djerba (TN);Lloret de Mar (ES);Corfu (GR);Santorini Island (GR);Marbella (ES);Faro (PT);Málaga (ES);Bodrum (TR);Mykonos (GR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Fréjus (FR);Cannes (FR);Dubrovnik (HR);Antibes (FR);Le Touquet (BE);Torremolinos (ES);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Palavas les Flots (FR);Sitges (ES);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR);Saint Jean de Monts (FR);Plage de la Palmyre (FR)
2019-01-06;12,00;34,00;2,00;0,50;3,00;22,00;3,00;6,00;13,00;26,00;0,50;0,50;2,00;3,00;8,00;0,50;0,50;0,50;1,00;0,50;1,00;3,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-13;13,00;26,00;2,00;1,00;3,00;21,67;4,33;8,67;19,50;30,00;2,00;4,00;5,00;1,00;9,00;2,00;0,00;0,00;1,00;0,50;1,00;2,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,50;0,50;0,00;0,00;0,00;0,00;0,00
2019-01-20;16,00;32,00;2,00;0,00;3,00;25,00;3,00;7,00;17,00;38,00;2,00;2,00;8,00;0,50;6,00;1,00;0,50;1,00;0,50;0,00;1,00;3,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-01-27;15,00;34,00;2,00;0,50;4,00;22,00;3,00;5,00;14,00;27,00;1,00;0,50;8,00;0,50;12,00;0,50;0,00;0,00;1,00;2,00;2,00;6,00;4,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-03;14,00;36,00;2,00;2,00;2,00;23,69;1,08;5,38;22,62;24,00;0,50;4,00;7,00;4,00;13,00;1,00;0,00;0,50;1,00;0,50;2,00;2,00;3,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;1,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00
2019-02-10;15,00;33,00;5,00;1,00;1,00;25,71;1,07;6,43;20,36;29,00;0,50;3,00;5,00;2,00;14,00;2,00;0,00;0,00;1,00;2,00;2,00;4,00;1,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-17;12,00;30,00;5,00;2,00;1,00;31,64;3,27;9,82;21,82;33,00;2,00;4,00;3,00;2,00;15,00;1,00;0,50;0,50;0,50;1,00;2,00;4,00;2,00;0,00;0,50;0,00;0,00;3,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-02-24;16,00;46,00;4,00;3,00;1,00;22,00;4,00;7,00;18,00;38,00;4,00;5,00;7,00;3,00;20,00;1,00;0,00;0,00;0,50;1,00;4,00;3,00;2,00;0,00;0,00;0,00;0,50;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-03;13,00;44,00;2,00;0,50;2,00;24,00;2,00;8,00;16,00;32,00;1,00;4,00;3,00;2,00;18,00;0,50;0,00;1,00;2,00;1,00;3,00;4,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-10;15,00;40,00;3,00;2,00;3,00;28,00;6,00;9,00;23,00;32,00;1,00;3,00;3,00;4,00;13,00;1,00;0,00;0,50;0,00;1,00;1,00;5,00;3,00;0,00;0,50;0,00;0,00;4,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-17;16,00;39,00;3,00;0,00;2,00;34,13;3,20;7,47;23,47;42,00;2,00;3,00;5,00;2,00;15,00;1,00;0,00;0,00;1,00;1,00;2,00;2,00;3,00;0,00;1,00;0,00;0,00;4,00;0,00;0,00;0,50;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00
2019-03-24;11,00;39,00;3,00;0,50;1,00;30,80;7,70;11,00;26,40;36,00;1,00;2,00;5,00;4,00;15,00;0,50;0,50;0,00;1,00;2,00;5,00;4,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,00;0,00;0,50;0,00;0,00
2019-03-31;19,00;35,00;3,00;1,00;2,00;30,00;4,00;9,00;25,00;42,00;1,00;1,00;5,00;3,00;6,00;1,00;0,00;0,50;1,00;0,50;2,00;5,00;3,00;0,00;0,50;0,00;0,00;2,00;0,00;0,00;0,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-04-07;22,00;40,00;5,00;1,00;2,00;32,48;5,24;11,52;26,19;32,00;1,00;2,00;2,00;3,00;5,00;0,50;0,00;2,00;1,00;1,00;4,00;4,00;3,00;0,00;0,50;0,00;0,00;2,00;0,00;0,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
