Semaine;London (GB);Paris (FR);Amsterdam (NL);Barcelona (ES);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);stanbul (TR);Budapest (HU);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;84,00;91,88;23,63;23,63;0,50;23,00;11,00;23,00;28,00;10,00;26,00;13,00;1,00;9,00;7,00;3,00;8,00;2,00;11,00;7,00;11,00;0,50;2,00;0,50;4,00;1,00;1,00;0,50;0,00;1,00;0,00;0,00
2019-01-13;86,00;75,58;26,06;23,45;1,00;25,00;16,00;23,00;27,00;9,00;21,00;7,00;3,00;9,00;8,00;1,00;7,00;3,00;10,00;5,00;10,00;1,00;2,00;1,00;4,00;1,00;0,00;1,00;0,50;3,00;0,50;0,50
2019-01-20;82,00;60,84;21,16;23,81;0,00;22,00;11,00;20,00;26,00;6,00;18,00;10,00;2,00;7,00;10,00;2,00;6,00;2,00;8,00;7,00;11,00;2,00;2,00;0,50;3,00;1,00;0,50;1,00;0,50;2,00;0,00;0,50
2019-01-27;69,00;53,08;18,58;18,58;0,50;19,00;13,00;21,00;25,00;9,00;15,00;9,00;3,00;10,00;8,00;0,50;6,00;2,00;10,00;6,00;9,00;2,00;2,00;0,50;4,00;0,50;0,50;1,00;0,00;7,00;0,50;0,00
2019-02-03;69,00;55,73;21,23;18,58;0,50;19,00;12,00;19,00;24,00;8,00;18,00;11,00;1,00;11,00;7,00;1,00;5,00;2,00;7,00;6,00;8,00;1,00;2,00;0,50;4,00;0,50;1,00;1,00;0,50;7,00;0,50;1,00
2019-02-10;64,00;48,00;24,00;21,33;1,00;17,00;13,00;17,00;24,00;8,00;16,00;13,00;1,00;9,00;8,00;1,00;8,00;2,00;6,00;5,00;7,00;1,00;2,00;0,00;4,00;0,00;1,00;0,50;0,00;5,00;0,50;1,00
2019-02-17;69,00;47,77;26,54;21,23;1,00;22,00;11,00;20,00;23,00;9,00;22,00;11,00;2,00;12,00;8,00;1,00;5,00;3,00;9,00;8,00;13,00;1,00;2,00;0,00;3,00;1,00;1,00;2,00;0,00;5,00;0,00;0,50
2019-02-24;72,00;50,67;26,67;21,33;0,50;20,00;16,00;19,00;24,00;8,00;22,00;10,00;3,00;11,00;7,00;1,00;7,00;2,00;7,00;5,00;10,00;2,00;4,00;0,50;4,00;0,50;0,50;1,00;0,50;5,00;0,00;1,00
2019-03-03;67,00;41,23;20,62;18,04;0,50;18,00;13,00;22,00;25,00;8,00;20,00;9,00;3,00;11,00;10,00;1,00;9,00;3,00;7,00;7,00;11,00;2,00;4,00;1,00;4,00;0,00;0,50;1,00;0,00;6,00;0,00;0,50
2019-03-10;71,00;52,59;26,30;21,04;0,50;24,00;13,00;19,00;24,00;12,00;21,00;9,00;3,00;15,00;8,00;1,00;10,00;2,00;8,00;6,00;8,00;1,00;3,00;0,50;4,00;0,50;1,00;1,00;0,00;5,00;0,00;0,50
