Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Genève (CH);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;39,00;604,50;682,50;146,25;390,00;468,00;6,50;273,00;78,00;122,20;83,20;109,20;143,00;87,75;360,75;68,25;9,75;170,18;301,36;24,82;70,91;18,00;72,00;43,50;57,00;8,53;23,16;24,38;10,97;2,00;7,00;0,00;7,00;20,00;2,00;5,00
2019-01-13;50,00;787,50;825,00;175,00;487,50;471,43;3,57;285,71;107,14;133,33;86,11;86,11;147,22;90,00;390,00;50,00;10,00;169,23;303,85;11,54;103,85;9,68;62,90;35,48;29,03;12,82;25,64;23,08;21,79;8,00;7,00;0,00;2,00;10,00;2,00;2,00
2019-01-20;48,00;720,00;768,00;144,00;432,00;592,00;4,00;336,00;80,00;138,00;84,00;105,00;138,00;86,40;326,40;57,60;19,20;226,91;344,73;21,82;100,36;8,89;96,00;44,44;44,44;13,09;26,18;33,45;10,18;10,00;2,00;2,00;5,00;15,00;2,00;8,00
2019-01-27;44,00;836,00;894,67;190,67;484,00;624,80;0,00;316,80;79,20;172,62;94,77;125,23;155,69;99,00;363,00;55,00;11,00;254,22;400,89;14,67;92,89;30,61;76,52;49,74;51,65;7,86;44,00;29,86;14,14;13,00;5,00;3,00;7,00;16,00;3,00;3,00
2019-02-03;30,00;610,00;660,00;130,00;360,00;487,50;3,75;277,50;90,00;122,73;87,27;141,82;139,09;90,00;340,00;80,00;10,00;187,50;247,50;15,00;101,25;25,26;55,26;42,63;28,42;13,75;28,75;35,00;15,00;3,00;9,00;5,00;6,00;10,00;0,00;0,00
2019-02-10;34,00;657,33;759,33;158,67;442,00;496,40;0,00;265,20;81,60;141,67;79,33;121,83;175,67;85,00;297,50;59,50;8,50;200,22;256,89;7,56;90,67;26,27;68,00;27,82;44,82;11,33;30,22;20,15;12,59;10,00;2,00;2,00;3,00;13,00;0,00;2,00
2019-02-17;61,00;930,25;1021,75;228,75;610,00;618,71;4,36;339,86;122,00;172,83;91,50;145,72;166,06;146,40;390,40;73,20;24,40;258,08;389,46;18,77;98,54;29,52;76,74;47,23;47,23;15,64;26,59;35,97;17,21;13,00;2,00;2,00;8,00;20,00;3,00;0,00
2019-02-24;43,00;1333,00;1290,00;301,00;881,50;806,25;5,38;451,50;129,00;215,00;159,10;163,40;202,10;172,00;559,00;71,67;14,33;270,29;460,71;43,00;129,00;20,24;106,24;83,47;80,94;22,52;30,71;49,14;24,57;6,00;5,00;8,00;2,00;9,00;3,00;0,00
2019-03-03;49,00;710,50;906,50;171,50;539,00;620,67;4,08;359,33;138,83;140,88;101,06;113,31;174,56;117,60;372,40;58,80;19,60;213,82;387,55;26,73;120,27;23,59;67,15;25,41;58,07;20,18;37,47;41,79;11,53;7,00;7,00;7,00;11,00;20,00;0,00;3,00
2019-03-10;71,00;937,20;908,80;241,40;582,20;656,75;8,88;426,00;133,13;205,90;120,70;163,30;216,55;165,67;402,33;82,83;23,67;289,07;497,00;20,29;131,86;18,26;95,34;60,86;54,77;18,16;34,67;29,72;11,56;3,00;10,00;3,00;13,00;16,00;2,00;3,00
2019-03-17;55,00;838,75;1017,50;206,25;536,25;573,57;3,93;361,43;117,86;161,94;116,11;134,44;201,67;121,00;407,00;77,00;11,00;215,77;401,92;25,38;105,77;30,94;70,47;46,41;46,41;22,00;38,50;37,13;15,13;7,00;3,00;5,00;3,00;34,00;5,00;0,00
2019-03-24;58,00;884,50;1044,00;203,00;638,00;744,33;9,67;396,33;116,00;216,53;139,20;185,60;220,40;188,50;565,50;87,00;29,00;311,09;453,45;15,82;100,18;23,63;98,81;62,30;64,44;14,06;45,70;38,67;28,12;8,00;10,00;5,00;8,00;28,00;2,00;5,00
2019-03-31;68,00;897,60;1006,40;217,60;503,20;604,44;3,78;377,78;120,89;173,09;117,45;148,36;191,64;113,33;442,00;90,67;22,67;267,47;426,13;22,67;90,67;28,63;85,89;32,21;48,32;10,13;23,15;28,94;14,47;2,00;3,00;10,00;15,00;28,00;3,00;5,00
2019-04-07;55,00;852,50;948,75;178,75;522,50;696,67;4,58;385,00;119,17;202,81;99,69;120,31;223,44;143,00;396,00;77,00;22,00;270,00;425,00;20,00;85,00;23,57;86,43;47,14;53,04;18,86;37,71;29,86;18,86;5,00;3,00;2,00;15,00;15,00;3,00;3,00
2019-04-14;51,00;1020,00;673,20;153,00;438,60;442,00;5,67;255,00;85,00;132,14;78,82;115,91;159,95;80,14;255,00;51,00;7,29;162,56;274,13;12,75;54,19;20,92;70,62;32,69;34,00;13,81;21,25;22,31;7,44;9,00;3,00;5,00;5,00;24,00;2,00;7,00
2019-04-21;56,00;541,33;578,67;130,67;373,33;425,60;2,80;246,40;78,40;109,85;75,38;94,77;127,08;98,00;273,00;56,00;3,50;186,67;236,44;15,56;68,44;17,04;56,00;34,09;34,09;17,00;18,00;28,00;15,00;9,33;5,19;3,11;9,33;24,89;3,11;5,19
2019-04-28;63,00;1323,00;1533,00;294,00;840,00;1045,80;12,60;579,60;163,80;252,00;135,00;207,00;301,50;236,25;567,00;126,00;31,50;340,20;491,40;18,90;189,00;35,28;115,92;80,64;103,32;12,60;42,00;48,30;37,80;12,00;5,00;3,00;5,00;21,00;3,00;3,00
2019-05-05;78,00;951,60;1014,00;249,60;655,20;770,25;0,00;604,50;146,25;250,42;156,00;168,32;270,95;221,00;520,00;78,00;13,00;317,57;440,14;33,43;122,57;29,82;100,94;71,12;52,76;22,29;55,71;48,29;22,29;8,00;8,00;7,00;10,00;25,00;2,00;7,00
2019-05-12;64,00;819,20;921,60;243,20;524,80;648,00;4,00;392,00;120,00;188,80;112,00;163,20;211,20;138,67;416,00;85,33;21,33;274,29;370,29;32,00;100,57;35,56;83,56;56,89;48,00;23,27;50,91;32,00;26,18;9,00;9,00;3,00;17,00;19,00;3,00;7,00
2019-05-19;55,00;650,83;687,50;128,33;412,50;495,00;5,50;291,50;104,50;146,67;89,38;107,71;139,79;94,29;353,57;94,29;39,29;203,82;307,35;19,41;74,41;19,19;58,84;35,81;57,56;15,87;42,31;28,56;15,87;7,00;3,00;2,00;10,00;28,00;2,00;5,00
2019-05-26;93,00;930,00;983,14;225,86;637,71;735,55;4,23;498,82;126,82;227,69;166,76;173,17;256,55;220,88;523,13;93,00;23,25;297,60;455,70;23,25;106,95;26,04;111,60;87,42;55,80;19,50;43,50;58,50;30,00;12,00;9,00;5,00;7,00;33,00;0,00;2,00
2019-06-02;69,00;749,14;808,29;157,71;453,43;539,45;3,14;313,64;106,64;162,64;96,11;123,21;142,93;138,00;638,25;69,00;17,25;234,60;317,40;17,25;93,15;18,31;76,04;45,06;54,92;21,85;25,30;33,35;12,65;5,00;2,00;3,00;8,00;22,00;5,00;3,00
2019-06-09;100,00;1066,67;1400,00;250,00;783,33;866,67;11,11;577,78;211,11;282,61;195,65;278,26;252,17;200,00;642,86;100,00;14,29;393,75;531,25;31,25;193,75;37,50;135,00;75,00;65,00;28,00;54,00;58,00;24,00;7,00;3,00;2,00;15,00;27,00;0,00;5,00
2019-06-16;76,00;1155,20;1261,60;228,00;775,20;616,44;8,44;447,56;160,44;224,55;138,18;152,00;259,09;190,00;570,00;101,33;25,33;334,40;486,40;20,27;106,40;40,00;106,00;60,00;64,00;21,02;50,13;53,36;17,79;3,00;2,00;7,00;14,00;22,00;0,00;3,00
2019-06-23;79,00;1264,00;1453,60;268,60;900,60;711,00;4,39;465,22;175,56;254,95;122,09;201,09;316,00;184,33;553,00;79,00;13,17;347,60;431,87;36,87;110,60;35,34;116,42;76,92;76,92;28,57;55,47;50,43;18,49;5,00;2,00;2,00;5,00;30,00;2,00;5,00
2019-06-30;62,00;1054,00;1271,00;217,00;682,00;673,14;8,86;442,86;141,71;244,56;103,33;144,67;206,67;186,00;496,00;74,40;24,80;257,54;410,15;47,69;100,15;28,00;96,00;64,00;80,00;19,08;36,56;49,28;20,67;12,00;11,00;0,00;7,00;16,00;0,00;5,00
2019-07-07;78,00;998,40;1232,40;202,80;795,60;692,25;4,88;497,25;156,00;257,40;136,50;191,10;222,30;143,00;611,00;104,00;26,00;384,43;417,86;27,86;161,57;42,34;129,26;64,63;73,54;18,14;54,42;39,91;18,14;9,00;5,00;2,00;7,00;28,00;5,00;5,00
2019-07-14;66,00;1023,00;1254,00;247,50;742,50;847,00;11,00;517,00;154,00;226,88;177,38;202,13;243,38;158,40;514,80;105,60;26,40;378,00;456,00;24,00;138,00;23,57;132,00;80,14;77,79;11,65;50,47;38,82;9,71;9,00;5,00;7,00;7,00;16,00;3,00;5,00
2019-07-21;51,00;739,50;905,25;216,75;599,25;495,43;7,29;342,43;102,00;175,67;113,33;136,00;170,00;153,00;397,80;71,40;20,40;239,31;294,23;15,69;94,15;33,47;70,13;31,88;22,31;18,31;32,69;22,23;31,38;9,00;9,00;4,00;2,00;26,00;2,00;5,00
2019-07-28;71,00;1118,25;1260,25;266,25;798,75;887,50;11,83;568,00;201,17;314,43;142,00;228,21;314,43;266,25;781,00;142,00;35,50;383,40;504,10;35,50;227,20;28,40;159,04;93,72;79,52;41,23;64,13;57,26;36,65;0,00;5,00;9,00;7,00;32,00;0,00;2,00
2019-08-04;72,00;684,00;828,00;168,00;576,00;540,00;7,20;381,60;122,40;213,00;111,00;135,00;177,00;144,00;411,43;72,00;10,29;220,24;343,06;21,18;101,65;15,07;98,79;50,23;56,93;19,02;33,96;36,68;31,25;11,00;12,00;2,00;7,00;25,00;5,00;7,00
2019-08-11;49,00;735,00;796,25;183,75;563,50;497,00;3,50;364,00;119,00;193,12;83,59;141,24;178,71;127,40;382,20;88,20;9,80;232,75;343,00;12,25;122,50;26,13;104,53;63,70;55,53;17,22;41,05;37,08;22,51;13,00;3,00;3,00;5,00;27,00;2,00;3,00
2019-08-18;70,00;1102,50;1190,00;262,50;700,00;750,00;0,00;510,00;130,00;225,56;163,33;206,11;303,33;182,00;518,00;126,00;28,00;258,46;436,15;21,54;129,23;37,19;137,81;78,75;65,63;15,75;35,00;52,50;26,25;7,00;7,00;2,00;5,00;18,00;0,00;2,00
2019-08-25;57,00;869,25;897,75;171,00;598,50;589,00;4,75;418,00;142,50;254,60;121,60;174,80;228,00;185,25;598,50;85,50;28,50;285,00;342,00;15,55;108,82;23,22;105,56;59,11;57,00;19,00;22,45;29,36;22,45;15,00;2,00;0,00;7,00;16,00;0,00;3,00
2019-09-01;46,00;542,80;634,80;138,00;423,20;431,25;11,50;299,00;97,75;159,90;70,10;111,71;164,29;84,33;283,67;84,33;23,00;156,40;263,73;21,47;92,00;17,41;90,76;43,51;36,05;18,00;35,00;20,00;19,00;17,12;8,56;5,35;9,63;11,77;0,00;6,42
2019-09-08;56,00;750,40;728,00;179,20;492,80;511,00;7,00;322,00;98,00;184,00;109,33;170,67;197,33;112,00;354,67;84,00;18,67;209,07;324,80;26,13;85,87;25,73;119,57;45,41;48,43;21,16;44,80;21,16;28,62;3,00;11,00;5,00;12,00;20,00;2,00;3,00
2019-09-15;67,00;884,40;924,60;214,40;616,40;628,13;8,38;443,88;125,63;241,20;174,20;180,90;247,90;145,17;379,67;100,50;22,33;291,93;382,86;28,71;129,21;24,89;107,20;61,26;55,51;23,37;37,40;37,40;42,07;11,00;14,00;11,00;12,00;26,00;3,00;3,00
2019-09-22;51,00;841,50;867,00;178,50;561,00;603,50;8,50;450,50;119,00;191,25;140,25;175,31;219,94;122,40;367,20;91,80;30,60;241,09;380,18;27,82;134,45;18,21;140,25;63,75;54,64;26,23;43,71;48,09;49,54;9,00;16,00;3,00;3,00;22,00;0,00;0,00
2019-09-29;47,00;1049,67;1049,67;266,33;705,00;564,00;7,83;399,50;109,67;278,64;124,21;171,21;235,00;152,75;446,50;117,50;23,50;249,10;380,70;23,50;141,00;24,44;150,40;54,52;71,44;18,19;48,52;40,94;60,65;9,00;13,00;8,00;11,00;22,00;5,00;3,00
2019-10-06;62,00;756,40;843,20;148,80;582,80;534,75;7,75;348,75;124,00;179,80;170,50;145,70;282,10;165,33;351,33;124,00;20,67;234,71;336,57;26,57;146,14;21,88;105,76;58,35;72,94;28,05;47,24;47,24;36,90;10,00;11,00;6,00;11,00;24,00;3,00;5,00
2019-10-13;38,00;541,50;608,00;123,50;560,50;411,67;6,33;297,67;95,00;142,50;71,25;125,88;156,75;106,40;258,40;45,60;15,20;148,55;217,64;27,64;79,45;9,85;91,48;39,41;42,22;21,24;38,00;19,00;36,88;9,00;2,00;8,00;5,00;5,00;2,00;3,00
2019-10-20;49,00;649,25;808,50;159,25;526,75;522,67;8,17;359,33;114,33;189,88;131,69;122,50;192,94;107,80;343,00;98,00;19,60;209,36;320,73;17,82;106,91;19,25;99,75;47,25;59,50;27,38;44,68;24,50;34,59;2,00;5,00;0,00;3,00;6,00;5,00;2,00
2019-10-27;30,00;530,00;570,00;130,00;340,00;315,00;10,00;205,00;70,00;117,86;79,29;87,86;150,00;67,50;195,00;60,00;22,50;135,00;186,00;18,00;78,00;16,80;68,40;37,20;44,40;9,00;32,00;24,00;25,00;14,00;6,00;5,00;3,00;14,00;0,00;2,00
2019-11-03;62,00;1891,00;2139,00;403,00;1271,00;945,50;15,50;666,50;186,00;328,60;272,80;303,80;409,20;310,00;640,67;186,00;41,33;407,43;602,29;44,29;256,86;51,06;171,41;116,71;87,53;32,48;94,48;70,86;76,76;19,00;8,00;3,00;5,00;17,00;2,00;5,00
2019-11-10;57,00;812,25;954,75;185,25;484,50;551,00;9,50;408,50;114,00;212,80;190,00;152,00;250,80;156,75;1425,00;99,75;42,75;217,64;331,64;31,09;129,55;21,92;133,73;70,15;52,62;19,00;58,73;34,55;62,18;8,00;5,00;8,00;3,00;17,00;5,00;3,00
2019-11-17;49,00;568,40;774,20;156,80;333,20;422,63;12,25;287,88;91,88;137,20;132,30;124,95;149,45;114,33;481,83;81,67;24,50;136,50;259,00;21,00;91,00;19,06;72,14;34,03;51,72;16,70;43,43;21,16;51,23;3,00;11,00;6,00;6,00;14,00;8,00;0,00
2019-11-24;86,00;911,60;1307,20;240,80;688,00;677,25;10,75;516,00;150,50;267,05;176,53;267,05;303,26;186,33;587,67;172,00;43,00;239,57;356,29;24,57;202,71;45,53;131,53;108,76;93,59;39,85;92,29;44,05;62,93;19,00;15,00;10,00;5,00;23,00;0,00;2,00
2019-12-01;54,00;680,40;766,80;162,00;421,20;398,25;6,75;297,00;81,00;133,71;100,29;141,43;192,86;126,00;261,00;72,00;18,00;147,60;259,20;18,00;79,20;15,00;109,50;39,00;45,00;12,00;45,60;20,40;38,40;8,00;9,00;11,00;6,00;21,00;5,00;5,00
2019-12-08;56,00;882,00;938,00;238,00;476,00;569,33;9,33;466,67;102,67;224,00;188,00;220,00;324,00;168,00;406,00;112,00;42,00;246,40;380,80;28,00;156,80;44,80;134,40;107,52;87,36;27,10;56,00;27,10;63,23;17,00;8,00;6,00;3,00;20,00;8,00;2,00
2019-12-15;62,00;768,80;868,00;210,80;496,00;489,11;6,89;316,89;124,00;157,82;152,18;171,91;211,36;132,86;292,29;79,71;26,57;174,38;302,25;31,00;116,25;25,44;106,51;60,41;71,54;18,08;49,08;31,00;40,04;22,00;19,00;11,00;6,00;30,00;3,00;3,00
2019-12-22;77,00;872,67;1103,67;256,67;551,83;646,80;15,40;392,70;138,60;239,88;180,65;225,08;287,27;163,63;327,25;77,00;28,88;170,21;312,05;32,42;141,84;31,80;110,48;88,72;100,43;37,82;62,14;31,07;74,30;19,00;23,00;7,00;9,00;31,00;9,00;5,00
2019-12-29;73,00;912,50;936,83;255,50;547,50;635,10;14,60;379,60;160,60;191,63;155,13;194,67;264,63;135,57;448,43;114,71;31,29;210,41;369,29;25,76;124,53;30,56;113,74;71,30;71,30;17,91;55,09;45,45;46,83;21,00;18,00;10,00;15,00;29,00;5,00;6,00
2020-01-05;99,00;1131,43;1386,00;325,29;707,14;855,00;9,00;504,00;216,00;247,50;229,82;236,89;328,82;160,88;495,00;160,88;24,75;277,20;480,15;49,50;183,15;42,43;177,80;99,00;82,84;31,35;94,05;49,50;69,30;15,00;11,00;14,00;11,00;33,00;6,00;5,00
2020-01-12;97,00;982,13;1164,00;291,00;618,38;708,85;7,46;462,62;156,69;229,27;188,12;238,09;270,42;164,90;562,60;116,40;19,40;261,48;417,52;54,83;177,13;35,74;170,18;86,79;97,00;25,96;94,27;58,75;56,01;25,00;19,00;13,00;12,00;30,00;4,00;7,00
2020-01-19;82,00;809,75;932,75;256,25;563,75;585,71;5,86;357,29;134,71;196,80;166,34;180,40;234,29;147,60;385,40;131,20;24,60;208,42;324,58;41,00;129,83;38,98;129,05;75,28;79,31;28,43;52,48;29,52;53,57;20,00;17,00;14,00;8,00;27,00;5,00;8,00
2020-01-26;77,00;715,00;825,00;209,00;484,00;588,00;14,00;378,00;161,00;201,79;154,00;188,52;220,38;136,89;376,44;85,56;25,67;205,33;275,00;29,33;121,00;42,27;110,22;86,06;70,96;31,78;69,67;26,89;35,44;22,00;19,00;21,00;12,00;21,00;4,00;3,00
2020-02-02;87,00;894,86;1056,43;248,57;571,71;664,36;15,82;529,91;134,45;229,93;167,79;217,50;301,39;163,13;402,38;141,38;21,75;256,42;416,68;41,21;151,11;40,84;122,51;74,57;87,00;39,15;98,60;42,05;55,10;16,00;7,00;13,00;16,00;32,00;3,00;4,00
2020-02-09;68,00;709,14;864,57;165,14;417,71;612,00;13,60;387,60;136,00;163,70;166,22;166,22;204,00;136,00;323,00;85,00;34,00;221,89;357,89;32,21;128,84;44,85;99,83;62,21;57,87;25,79;71,52;26,97;57,45;19,00;19,00;9,00;7,00;15,00;13,00;3,00
2020-02-16;93,00;1131,50;1302,00;341,00;790,50;874,20;9,30;511,50;195,30;301,32;204,60;252,96;308,76;212,57;531,43;172,71;39,86;361,06;503,29;43,76;218,82;67,05;186,00;142,74;112,47;57,91;78,96;38,60;87,74;25,00;16,00;13,00;7,00;29,00;4,00;7,00
2020-02-23;69,00;788,57;719,57;197,14;443,57;595,91;6,27;370,09;112,91;171,22;219,78;235,11;181,44;120,75;439,88;94,88;34,50;203,37;345,00;43,58;112,58;48,45;145,34;80,74;79,28;32,12;59,48;38,07;58,29;13,00;18,00;16,00;17,00;30,00;1,00;0,00
2020-03-01;52,00;949,00;871,00;208,00;585,00;646,29;7,43;408,57;104,00;179,11;182,00;245,56;216,67;135,20;416,00;93,60;41,60;196,00;272,00;36,00;116,00;40,63;149,50;74,75;61,75;32,50;52,00;26,00;35,10;13,00;21,00;13,00;11,00;16,00;7,00;6,00
2020-03-08;71,00;1005,83;994,00;224,83;544,33;610,60;7,10;504,10;99,40;159,75;192,29;236,67;263,29;91,29;355,00;81,14;40,57;192,12;371,71;33,41;146,18;31,37;146,95;62,74;61,09;25,94;57,35;21,85;50,52;10,00;24,00;13,00;4,00;13,00;3,00;1,00
2020-03-15;43,00;591,25;548,25;150,50;344,00;393,14;6,14;307,14;55,29;103,71;151,76;177,06;209,94;68,80;756,80;68,80;34,40;132,58;218,58;25,08;100,33;44,39;87,39;56,87;44,39;33,95;37,34;20,37;58,84;22,00;14,00;7,00;6,00;20,00;4,00;6,00
2020-03-22;42,00;777,00;903,00;252,00;546,00;556,50;10,50;430,50;73,50;163,80;256,20;189,00;281,40;140,00;686,00;98,00;56,00;198,00;288,00;42,00;96,00;44,33;123,67;109,67;60,67;32,45;55,36;26,73;74,45;8,00;19,00;7,00;1,00;12,00;5,00;3,00
2020-03-29;37,00;394,67;394,67;98,67;259,00;310,80;7,40;222,00;37,00;113,85;108,15;111,00;159,38;74,00;296,00;46,25;37,00;98,67;168,56;24,67;49,33;16,09;85,26;51,48;35,39;14,54;29,07;14,54;35,68;11,00;13,00;3,00;4,00;12,00;3,00;4,00
2020-04-05;30,00;360,00;370,00;110,00;210,00;276,00;18,00;216,00;48,00;90,00;101,54;113,08;152,31;75,00;225,00;37,50;15,00;86,67;163,33;26,67;50,00;16,36;72,27;38,18;43,64;16,67;23,33;18,89;42,22;11,00;17,00;4,00;4,00;13,00;3,00;0,00
2020-04-12;27,00;261,00;288,00;72,00;171,00;290,25;6,75;216,00;47,25;93,27;83,45;144,82;132,55;90,00;252,00;45,00;18,00;94,50;124,88;16,88;50,63;18,47;52,58;52,58;36,95;15,75;36,00;21,38;31,50;10,00;17,00;1,00;7,00;14,00;3,00;4,00
