Semaine;Nice (FR);Paris (FR);London (GB);Amsterdam (NL);Barcelona (ES);Roma (IT);Lille (FR);Madrid (ES);Lisbon (PT);Prague (CZ);Berlin (DE);Milano (IT);stanbul (TR);Budapest (HU);Venezia (IT);Wien (AT);Strasbourg (FR);Athens (GR);Dublin (IE);Lyon (FR);Frankfurt am Main (DE);Marseille (FR);München (DE);Stockholm (SE);Copenhagen (DK);Bordeaux (FR);Tours (FR);Hamburg (DE);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Monaco (MC);Dijon (FR);Aix en Provence (FR)
2019-01-06;7,00;126,00;140,00;52,50;108,50;35,00;0,00;26,00;40,00;37,33;86,33;142,33;51,33;38,50;59,50;33,25;31,50;26,00;33,00;15,00;46,00;4,00;35,00;15,00;20,00;4,00;0,00;38,00;2,00;4,00;2,00;0,00;2,00;4,00;0,00
2019-01-13;18,00;84,86;102,86;36,00;72,00;56,00;4,00;60,00;53,00;30,00;64,00;82,00;34,00;36,00;55,50;55,50;18,00;16,00;29,00;13,00;27,00;9,00;53,00;24,00;22,00;7,00;4,00;38,00;2,00;2,00;0,00;0,00;4,00;0,00;0,00
2019-01-20;22,00;121,00;112,75;57,75;88,00;35,00;2,00;48,00;48,00;40,00;66,00;114,00;40,00;27,87;48,40;39,60;14,67;15,00;9,00;9,00;24,00;7,00;31,00;22,00;13,00;11,00;4,00;49,00;0,00;9,00;0,00;2,00;11,00;0,00;0,00
2019-01-27;24,00;109,33;112,00;42,67;80,00;37,00;2,00;48,00;66,00;62,00;52,00;124,00;42,00;33,00;75,00;42,00;19,50;46,00;39,00;11,00;15,00;7,00;35,00;24,00;15,00;9,00;0,00;44,00;11,00;4,00;4,00;2,00;4,00;4,00;0,00
2019-02-03;30,00;122,73;103,64;62,73;62,73;52,00;0,00;75,00;43,00;26,00;80,00;138,00;40,00;39,00;57,00;57,00;22,50;34,00;18,00;11,00;43,00;9,00;46,00;9,00;11,00;9,00;0,00;64,00;7,00;0,00;0,00;7,00;0,00;0,00;0,00
2019-02-10;18,00;138,86;108,00;43,71;84,86;34,00;0,00;48,00;46,00;46,00;52,00;130,00;42,00;39,00;54,00;39,00;18,00;30,00;34,00;14,00;21,00;11,00;41,00;16,00;7,00;5,00;0,00;62,00;0,00;7,00;0,00;0,00;5,00;2,00;0,00
2019-02-17;9,00;108,00;114,00;63,00;108,00;46,00;0,00;51,00;55,00;45,00;63,00;124,20;52,20;21,00;39,00;37,50;21,00;32,00;49,00;21,00;21,00;9,00;37,00;30,00;16,00;9,00;0,00;58,00;7,00;2,00;7,00;0,00;5,00;2,00;0,00
2019-02-24;27,00;118,80;91,80;43,20;62,10;53,00;2,00;64,00;57,00;27,00;108,00;138,86;36,64;39,00;64,50;42,00;12,00;18,00;37,00;23,00;30,00;18,00;41,00;25,00;21,00;9,00;0,00;55,00;0,00;7,00;2,00;2,00;2,00;5,00;0,00
2019-03-03;20,00;140,00;94,29;74,29;97,14;52,00;2,00;74,00;55,00;48,00;78,00;104,00;66,00;29,23;66,15;52,31;20,00;15,00;26,00;20,00;24,00;9,00;52,00;24,00;0,00;7,00;2,00;35,00;2,00;7,00;9,00;2,00;9,00;7,00;0,00
2019-03-10;14,00;92,40;78,40;47,60;75,60;52,00;0,00;43,00;56,00;28,00;86,00;122,00;46,00;31,11;51,33;40,44;12,44;27,00;32,00;23,00;41,00;18,00;50,00;25,00;18,00;9,00;5,00;48,00;5,00;7,00;2,00;0,00;2,00;2,00;0,00
2019-03-17;21,00;68,25;81,38;49,88;84,00;67,00;2,00;46,00;48,00;44,10;77,70;136,50;44,10;33,00;46,50;72,00;18,00;30,00;28,00;21,00;30,00;16,00;55,00;11,00;16,00;12,00;0,00;46,00;5,00;7,00;7,00;2,00;2,00;2,00;5,00
2019-03-24;35,00;134,62;96,92;48,46;94,23;46,00;2,00;55,00;76,00;38,89;58,33;101,11;48,61;33,48;50,22;38,04;33,48;28,00;39,00;16,00;28,00;12,00;32,00;9,00;21,00;7,00;2,00;35,00;2,00;0,00;2,00;0,00;9,00;0,00;0,00
2019-03-31;41,00;117,53;95,67;41,00;106,60;52,00;7,00;52,00;50,00;33,19;74,19;160,10;56,62;46,86;46,86;46,86;24,89;46,00;32,00;14,00;27,00;23,00;55,00;11,00;14,00;14,00;0,00;55,00;2,00;7,00;5,00;0,00;14,00;5,00;0,00
2019-04-07;26,00;115,56;164,67;75,11;115,56;57,00;0,00;66,00;79,00;50,00;108,00;182,00;72,00;39,76;65,76;52,00;29,06;51,00;23,00;21,00;34,00;15,00;36,00;19,00;19,00;11,00;6,00;58,00;4,00;6,00;6,00;2,00;9,00;2,00;0,00
2019-04-14;43,00;268,75;118,25;51,06;94,06;73,00;10,00;53,00;63,00;52,77;97,73;162,23;72,32;60,79;100,83;47,45;50,41;35,00;33,00;30,00;28,00;18,00;46,00;23,00;25,00;13,00;5,00;84,00;5,00;13,00;8,00;8,00;13,00;3,00;0,00
2019-04-21;28,00;140,00;98,00;78,40;117,60;71,00;0,00;66,00;73,00;48,00;98,00;200,00;74,00;29,47;70,74;63,37;32,42;38,00;30,00;28,00;30,00;13,00;63,00;5,00;5,00;5,00;5,00;43,00;8,00;5,00;0,00;8,00;10,00;8,00;3,00
2019-04-28;35,00;118,46;99,62;40,38;94,23;37,00;0,00;66,00;63,00;60,28;93,33;120,56;73,89;53,96;96,25;49,58;18,96;24,00;15,00;29,00;18,00;13,00;39,00;20,00;13,00;9,00;2,00;46,00;2,00;2,00;4,00;7,00;2,00;4,00;0,00
2019-05-05;18,00;129,00;102,00;33,00;111,00;80,00;2,00;80,00;84,00;36,00;52,00;148,00;58,00;46,50;76,50;45,00;13,50;38,00;16,00;22,00;40,00;22,00;42,00;11,00;9,00;2,00;11,00;49,00;0,00;11,00;2,00;4,00;2,00;4,00;2,00
2019-05-12;25,00;100,00;94,44;55,56;108,33;70,00;0,00;56,00;47,00;36,54;67,31;138,46;32,69;51,47;57,35;73,53;25,00;25,00;18,00;16,00;31,00;11,00;34,00;9,00;13,00;11,00;2,00;29,00;5,00;0,00;7,00;5,00;7,00;2,00;4,00
2019-05-19;34,00;130,33;99,17;45,33;96,33;79,00;2,00;52,00;52,00;54,00;64,00;138,00;38,00;44,35;57,65;56,17;20,70;23,00;23,00;54,00;41,00;18,00;29,00;16,00;14,00;9,00;2,00;41,00;7,00;0,00;7,00;2,00;7,00;0,00;0,00
2019-05-26;55,00;145,75;101,75;44,00;77,00;88,00;5,00;60,00;69,00;37,32;82,50;176,79;68,75;86,22;93,65;50,54;57,97;41,00;29,00;31,00;24,00;17,00;50,00;24,00;24,00;12,00;2,00;50,00;2,00;7,00;0,00;2,00;10,00;7,00;0,00
2019-06-02;20,00;114,29;88,57;31,43;80,00;68,00;5,00;57,00;48,00;46,00;96,00;130,00;48,00;58,57;98,57;57,14;28,57;16,00;25,00;20,00;41,00;11,00;52,00;11,00;9,00;9,00;11,00;41,00;7,00;5,00;9,00;5,00;11,00;0,00;0,00
2019-06-09;25,00;138,89;97,22;44,44;80,56;47,00;4,00;58,00;63,00;42,31;63,46;130,77;42,31;57,35;61,76;44,12;20,59;16,00;18,00;20,00;22,00;16,00;47,00;16,00;18,00;20,00;0,00;52,00;5,00;0,00;9,00;2,00;4,00;4,00;0,00
2019-06-16;51,00;107,37;126,16;56,37;91,26;61,00;0,00;63,00;51,00;49,04;51,00;131,42;51,00;40,80;52,46;39,34;16,03;35,00;5,00;9,00;30,00;26,00;40,00;19,00;21,00;14,00;0,00;61,00;0,00;12,00;2,00;5,00;9,00;7,00;2,00
2019-06-23;44,00;90,75;85,25;38,50;101,75;56,00;5,00;42,00;54,00;54,00;66,00;132,00;38,00;48,40;85,07;44,00;19,07;29,00;34,00;10,00;46,00;17,00;32,00;22,00;10,00;15,00;2,00;81,00;0,00;2,00;5,00;10,00;15,00;5,00;2,00
2019-06-30;28,00;117,60;98,00;44,80;81,20;47,00;5,00;40,00;87,00;36,00;60,00;118,00;40,00;19,16;51,58;56,00;19,16;36,00;24,00;19,00;19,00;17,00;43,00;19,00;9,00;12,00;0,00;67,00;7,00;7,00;2,00;0,00;2,00;0,00;0,00
2019-07-07;33,00;115,50;96,25;49,50;104,50;64,00;0,00;41,00;53,00;81,53;77,65;126,18;46,59;37,30;99,00;57,39;8,61;53,00;33,00;22,00;17,00;19,00;50,00;31,00;24,00;17,00;0,00;43,00;7,00;7,00;2,00;7,00;2,00;0,00;0,00
2019-07-14;36,00;108,00;102,46;63,69;108,00;41,00;0,00;57,00;75,00;58,00;96,00;126,00;78,00;54,00;93,00;57,00;21,00;31,00;41,00;23,00;21,00;8,00;33,00;26,00;33,00;13,00;5,00;59,00;5,00;5,00;0,00;10,00;10,00;3,00;3,00
2019-07-21;33,00;118,25;96,25;38,50;145,75;50,00;3,00;58,00;63,00;46,59;73,76;132,00;34,94;22,50;94,50;48,00;30,00;33,00;25,00;33,00;39,00;25,00;39,00;19,00;14,00;19,00;3,00;53,00;0,00;8,00;8,00;0,00;6,00;0,00;3,00
2019-07-28;31,00;135,27;115,55;62,00;101,45;39,00;8,00;42,00;59,00;40,69;96,88;145,31;38,75;62,00;88,57;81,19;33,95;31,00;36,00;31,00;48,00;20,00;70,00;31,00;20,00;8,00;6,00;59,00;6,00;17,00;6,00;6,00;20,00;6,00;0,00
2019-08-04;54,00;110,70;94,50;32,40;105,30;39,00;0,00;51,00;54,00;66,00;46,00;118,00;34,00;67,50;81,00;49,50;34,50;28,00;36,00;33,00;44,00;23,00;64,00;10,00;15,00;5,00;8,00;75,00;0,00;5,00;5,00;3,00;3,00;8,00;3,00
2019-08-11;35,00;102,31;72,69;29,62;75,38;57,00;0,00;42,00;57,00;52,50;85,56;134,17;46,67;27,71;55,42;43,75;27,71;28,00;31,00;28,00;31,00;0,00;33,00;17,00;24,00;21,00;7,00;45,00;2,00;5,00;5,00;7,00;2,00;0,00;2,00
2019-08-18;39,00;91,93;89,14;55,71;97,50;66,00;0,00;52,00;59,00;27,30;79,95;128,70;33,15;27,00;39,00;42,00;27,00;27,00;25,00;20,00;34,00;11,00;48,00;20,00;11,00;2,00;2,00;50,00;7,00;7,00;2,00;2,00;5,00;5,00;0,00
2019-08-25;41,00;131,20;60,13;46,47;98,40;55,00;2,00;37,00;57,00;23,43;70,29;126,90;42,95;29,29;67,36;36,61;16,11;30,00;34,00;23,00;37,00;14,00;25,00;14,00;9,00;12,00;0,00;51,00;5,00;12,00;5,00;2,00;7,00;7,00;0,00
2019-09-01;33,00;123,75;90,75;55,00;93,50;59,00;2,00;30,00;69,00;40,76;62,12;132,00;40,76;43,50;60,00;39,00;19,50;35,00;48,00;28,00;37,00;20,00;48,00;17,00;13,00;13,00;4,00;44,00;4,00;11,00;9,00;2,00;0,00;0,00;2,00
2019-09-08;48,00;135,53;107,29;45,18;81,88;59,00;0,00;48,00;66,00;44,00;64,00;148,00;60,00;51,00;61,50;34,50;31,50;68,00;14,00;25,00;32,00;18,00;41,00;23,00;9,00;9,00;0,00;68,00;2,00;7,00;5,00;2,00;2,00;11,00;5,00
2019-09-15;20,00;154,29;102,86;48,57;102,86;56,00;2,00;41,00;52,00;60,00;110,00;158,00;64,00;51,43;51,43;54,29;24,29;36,00;32,00;32,00;32,00;11,00;54,00;23,00;18,00;14,00;2,00;52,00;7,00;0,00;7,00;0,00;9,00;5,00;0,00
2019-09-22;38,00;141,14;103,14;51,57;65,14;69,00;2,00;71,00;40,00;56,00;84,00;132,00;66,00;45,60;65,36;42,56;41,04;24,00;44,00;36,00;42,00;18,00;56,00;18,00;16,00;11,00;4,00;47,00;4,00;4,00;2,00;0,00;7,00;2,00;0,00
2019-09-29;16,00;141,33;122,67;37,33;106,67;79,00;0,00;59,00;52,00;54,00;94,00;144,00;44,00;30,55;62,55;50,91;29,09;9,00;45,00;38,00;47,00;16,00;43,00;9,00;20,00;7,00;5,00;50,00;5,00;5,00;0,00;0,00;7,00;5,00;2,00
