Semaine;Polynesie (PF);Nouvelle Caledonie (NC);Fidji (FJ);Vanuatu (VU);Iles Cook (CK)
2019-01-06;29,00;3,00;50,00;1,00;1,00
2019-01-13;29,00;2,00;40,00;2,00;2,00
2019-01-20;32,00;1,00;50,00;1,00;3,00
2019-01-27;27,00;1,00;41,00;0,50;3,00
2019-02-03;28,00;1,00;38,00;2,00;2,00
2019-02-10;25,00;1,00;35,00;2,00;2,00
2019-02-17;29,00;2,00;39,00;1,00;2,00
2019-02-24;25,00;1,00;36,00;1,00;2,00
2019-03-03;24,00;2,00;50,00;1,00;2,00
2019-03-10;28,00;3,00;40,00;1,00;1,00
2019-03-17;25,00;2,00;46,00;1,00;2,00
2019-03-24;25,00;4,00;29,00;2,00;1,00
2019-03-31;22,00;2,00;36,00;1,00;2,00
2019-04-07;18,00;1,00;36,00;1,00;2,00
2019-04-14;24,00;2,00;37,00;1,00;1,00
2019-04-21;22,00;1,00;34,00;1,00;1,00
2019-04-28;24,00;1,00;36,00;1,00;2,00
2019-05-05;23,00;2,00;33,00;1,00;1,00
2019-05-12;29,00;2,00;37,00;1,00;2,00
2019-05-19;24,00;2,00;39,00;1,00;3,00
2019-05-26;28,00;1,00;44,00;1,00;2,00
2019-06-02;24,00;1,00;100,00;1,00;2,00
2019-06-09;24,00;2,00;56,00;1,00;1,00
2019-06-16;20,00;2,00;38,00;1,00;2,00
2019-06-23;24,00;1,00;36,00;2,00;1,00
2019-06-30;26,00;1,00;32,00;2,00;3,00
2019-07-07;19,00;2,00;41,00;0,50;2,00
2019-07-14;20,00;3,00;43,00;2,00;2,00
2019-07-21;23,00;2,00;35,00;0,00;1,00
2019-07-28;19,00;2,00;40,00;2,00;1,00
2019-08-04;22,00;1,00;37,00;1,00;2,00
2019-08-11;20,00;2,00;28,00;3,00;2,00
2019-08-18;22,00;1,00;32,00;1,00;2,00
2019-08-25;30,00;3,00;35,00;1,00;1,00
2019-09-01;22,00;2,00;33,00;2,00;3,00
2019-09-08;22,00;2,00;33,00;1,00;2,00
2019-09-15;19,00;2,00;38,00;1,00;1,00
2019-09-22;22,00;1,00;33,00;2,00;2,00
2019-09-29;20,00;2,00;29,00;2,00;2,00
2019-10-06;23,00;2,00;34,00;1,00;1,00
2019-10-13;19,00;2,00;30,00;1,00;1,00
2019-10-20;24,00;2,00;34,00;1,00;1,00
2019-10-27;20,00;2,00;25,00;0,50;2,00
2019-11-03;21,00;1,00;23,00;2,00;1,00
2019-11-10;23,00;2,00;28,00;2,00;3,00
2019-11-17;21,00;1,00;32,00;1,00;2,00
2019-11-24;19,00;2,00;28,00;1,00;3,00
2019-12-01;18,00;3,00;23,00;1,00;1,00
2019-12-08;17,00;3,00;28,00;2,00;1,00
2019-12-15;22,00;3,00;33,00;1,00;2,00
