Hotel;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;29,00;36,00;55,00;39,00;50,00;41,89;36,52;61,22;31,15
2020-01-12;29,00;42,00;60,00;41,00;56,00;46,19;37,59;62,30;33,30
2020-01-19;28,00;37,00;57,00;40,00;52,00;46,31;35,54;60,31;33,38
2020-01-26;28,00;35,00;56,00;37,00;55,00;44,15;33,38;54,92;28,00
2020-02-02;29,00;35,00;59,00;35,00;60,00;41,43;32,11;51,79;27,96
2020-02-09;30,00;36,00;52,00;34,00;60,00;42,86;34,29;54,64;32,14
2020-02-16;31,00;34,00;53,00;35,00;59,00;42,76;34,21;55,59;31,00
2020-02-23;26,00;30,00;42,00;31,00;57,00;28,17;29,25;52,00;32,50
2020-03-01;22,00;25,00;40,00;28,00;48,00;28,29;24,10;46,10;29,33
2020-03-08;18,00;21,00;30,00;24,00;35,00;11,65;21,18;40,24;27,53
2020-03-15;9,00;12,00;17,00;13,00;19,00;12,38;13,50;32,63;22,50
2020-03-22;6,00;7,00;13,00;9,00;13,00;8,00;8,00;19,00;15,00
2020-03-29;6,00;8,00;11,00;8,00;12,00;8,00;7,00;16,00;12,00
2020-04-05;6,00;8,00;13,00;9,00;13,00;8,00;6,00;18,00;13,00
2020-04-12;6,00;9,00;16,00;9,00;12,00;9,00;7,00;17,00;13,00
2020-04-19;6,00;8,00;16,00;8,00;12,00;9,00;8,00;17,00;13,00
2020-04-26;6,00;8,00;18,00;9,00;12,00;10,80;13,20;19,20;16,80
2020-05-03;6,00;6,00;23,00;13,00;12,00;10,00;11,00;18,00;15,00
2020-05-10;7,00;7,00;23,00;14,00;14,00;12,00;14,00;19,00;18,00
2020-05-17;10,00;10,00;34,00;18,00;17,00;20,00;20,00;23,33;23,33
2020-05-24;11,00;12,00;34,00;21,00;24,00;22,00;17,00;20,00;21,00
2020-05-31;16,00;17,00;39,00;23,00;25,00;33,07;21,33;22,40;22,40
2020-06-07;17,00;20,00;45,00;24,00;28,00;41,44;23,38;23,38;26,56
2020-06-14;21,00;24,00;43,00;27,00;36,00;56,37;26,53;27,63;29,84
2020-06-21;23,00;26,00;49,00;25,00;44,00;66,91;26,14;31,36;26,14
2020-06-28;25,00;30,00;52,00;29,00;50,00;77,17;31,52;33,70;26,09
2020-07-05;29,00;31,00;57,00;32,00;54,00;80,79;33,14;36,25;24,86
2020-07-12;28,00;33,00;65,00;35,00;53,00;79,85;37,33;39,41;25,93
2020-07-19;28,00;29,00;74,00;34,00;55,00;87,23;37,69;48,46;28,00
2020-07-26;30,00;23,00;64,00;33,00;64,00;90,00;37,50;48,21;27,86
2020-08-02;34,00;26,00;61,00;33,00;74,00;97,75;34,00;49,94;27,63
2020-08-09;34,00;27,00;52,00;32,00;70,00;106,25;27,63;46,75;27,63
2020-08-16;29,00;26,00;54,00;31,00;64,00;92,37;27,93;51,56;25,78
2020-08-23;23,00;22,00;49,00;30,00;53,00;69,00;29,57;51,48;25,19
2020-08-30;22,00;23,00;51,00;30,00;48,00;57,20;28,60;49,50;26,40
2020-09-06;22,00;25,00;54,00;31,00;43,00;46,10;29,33;41,90;23,05
2020-09-13;19,00;20,00;49,00;28,00;34,00;39,06;25,33;42,22;22,17
2020-09-20;17,00;17,00;44,00;25,00;31,00;28,69;21,25;38,25;22,31
2020-09-27;16,00;17,00;48,00;25,00;30,00;25,60;20,27;38,40;24,53
2020-10-04;17,00;18,00;45,00;22,00;35,00;25,50;19,13;39,31;26,56
2020-10-11;17,00;13,00;35,00;18,00;28,00;21,25;18,06;36,13;25,50
