Disney;BE;CH;DE;ES;FR;IT;NL;UK;US
2019-01-06;60,00;19,00;15,00;36,00;53,00;15,00;44,00;45,00;2,00
2019-01-13;70,00;17,00;15,00;29,00;49,00;18,00;33,00;38,00;2,00
2019-01-20;54,00;15,00;13,00;27,00;35,00;15,00;31,00;31,00;1,00
2019-01-27;41,00;12,00;12,00;27,00;32,00;9,00;31,00;29,00;1,00
2019-02-03;43,00;9,00;9,00;28,00;36,00;7,00;21,00;31,00;1,00
2019-02-10;48,00;12,00;10,00;32,00;39,00;9,00;26,00;29,00;1,00
2019-02-17;38,00;17,00;10,00;28,00;36,00;9,00;22,00;32,00;1,00
2019-02-24;47,00;13,00;11,00;28,00;36,00;9,00;29,00;24,00;1,00
2019-03-03;58,00;16,00;12,00;29,00;35,00;11,00;34,00;32,00;1,00
2019-03-10;38,00;14,00;11,00;31,00;32,00;16,00;36,00;35,00;1,00
2019-03-17;47,00;12,00;11,00;40,00;46,00;16,00;31,00;53,00;1,00
2019-03-24;44,00;4,00;13,00;37,00;46,00;15,00;31,00;35,00;1,00
2019-03-31;59,00;18,00;14,00;32,00;46,00;13,00;37,00;29,00;1,00
2019-04-07;81,00;17,00;15,00;28,00;54,00;13,00;32,00;30,00;1,00
2019-04-14;44,00;22,00;17,00;26,00;52,00;13,00;35,00;30,00;1,00
2019-04-21;40,00;23,00;18,00;31,00;56,00;19,00;45,00;24,00;1,00
2019-04-28;41,00;16,00;13,00;26,00;53,00;14,00;44,00;28,00;1,00
2019-05-05;52,00;13,00;15,00;23,00;43,00;13,00;33,00;29,00;2,00
2019-05-12;45,00;16,00;19,00;28,00;40,00;10,00;23,00;30,00;2,00
2019-05-19;44,00;12,00;17,00;28,00;43,00;11,00;27,00;27,00;1,00
2019-05-26;43,00;22,00;16,00;26,00;46,00;11,00;26,00;34,00;1,00
2019-06-02;48,00;19,00;13,00;30,00;40,00;13,00;27,00;30,00;1,00
2019-06-09;55,00;20,00;17,00;30,00;44,00;14,00;25,00;25,00;1,00
2019-06-16;54,00;19,00;20,00;29,00;49,00;14,00;23,00;27,00;1,00
2019-06-23;44,00;12,00;11,00;29,00;41,00;15,00;21,00;27,00;1,00
2019-06-30;43,00;6,00;16,00;28,00;43,00;12,00;21,00;30,00;1,00
