Train;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;45,00;14,00;9,00;3,00;1,00;0,94;112,50;118,13;9,38
2020-01-12;59,00;7,00;17,00;4,00;3,00;3,93;90,47;98,33;7,87
2020-01-19;65,00;15,00;9,00;4,00;3,00;3,94;98,48;104,39;5,91
2020-01-26;62,00;15,00;4,00;3,00;1,00;0,97;87,19;93,00;5,81
2020-02-02;65,00;22,00;22,00;3,00;3,00;0,96;105,15;78,38;5,74
2020-02-09;53,00;18,00;13,00;1,00;4,00;1,96;123,67;94,22;5,89
2020-02-16;66,00;18,00;13,00;3,00;2,00;3,88;194,12;85,41;5,82
2020-02-23;65,00;11,00;21,00;5,00;2,00;0,96;156,76;78,38;7,65
2020-03-01;51,00;14,00;8,00;2,00;2,00;0,00;98,08;82,38;5,88
2020-03-08;43,00;0,00;4,00;1,00;2,00;0,00;82,09;72,32;3,91
2020-03-15;26,00;7,00;4,00;2,00;1,00;1,86;24,14;24,14;3,71
2020-03-22;15,00;0,00;4,00;0,00;1,00;0,94;11,25;16,88;1,88
2020-03-29;10,00;0,00;0,00;0,00;1,00;0,00;18,00;10,00;2,00
2020-04-05;14,00;4,00;4,00;0,00;0,00;0,00;14,00;10,00;2,00
2020-04-12;12,00;0,00;4,00;0,00;2,00;0,00;10,00;8,00;2,00
2020-04-19;7,00;0,00;0,00;1,00;1,00;0,88;14,00;7,00;1,75
2020-04-26;9,00;0,00;0,00;0,00;0,00;0,90;10,80;7,20;1,80
2020-05-03;12,00;0,00;4,00;0,50;0,00;0,00;12,00;14,00;2,00
2020-05-10;17,00;0,00;4,00;0,50;0,00;0,94;24,56;11,33;1,89
2020-05-17;22,00;3,00;4,00;0,50;0,00;1,00;14,00;10,00;4,00
2020-05-24;43,00;7,00;0,00;2,00;1,00;0,00;19,55;17,59;1,95
2020-05-31;64,00;0,00;8,00;2,00;2,00;1,94;25,21;17,45;3,88
2020-06-07;63,00;3,00;0,00;2,00;1,00;1,91;21,00;17,18;3,82
2020-06-14;60,00;23,00;4,00;2,00;0,00;1,94;27,10;21,29;3,87
2020-06-21;67,00;44,00;17,00;1,00;1,00;0,96;32,54;34,46;3,83
2020-06-28;80,00;10,00;4,00;2,00;1,00;0,00;60,49;33,17;3,90
2020-07-05;87,00;11,00;0,00;3,00;4,00;0,97;83,13;36,73;3,87
2020-07-12;69,00;30,00;23,00;1,00;1,00;1,92;76,67;42,17;1,92
2020-07-19;79,00;32,00;5,00;1,00;2,00;5,78;73,22;50,10;1,93
2020-07-26;77,00;19,00;14,00;2,00;2,00;0,00;71,23;48,13;1,93
2020-08-02;81,00;29,00;9,00;2,00;3,00;3,86;61,71;52,07;3,86
2020-08-09;83,00;17,00;4,00;1,00;2,00;1,93;42,47;44,40;3,86
2020-08-16;71,00;14,00;17,00;1,00;2,00;0,96;42,22;51,81;1,92
2020-08-23;48,00;21,00;21,00;2,00;2,00;0,96;32,64;63,36;1,92
2020-08-30;59,00;74,00;9,00;2,00;0,00;0,95;59,00;57,10;1,90
2020-09-06;62,00;33,00;4,00;2,00;1,00;0,00;40,69;48,44;1,94
2020-09-13;55,00;11,00;0,00;3,00;0,00;1,96;47,14;51,07;1,96
2020-09-20;44,00;18,00;4,00;2,00;0,00;1,91;42,09;34,43;1,91
2020-09-27;45,00;21,00;0,00;4,00;1,00;0,98;41,09;33,26;3,91
2020-10-04;72,00;11,00;0,00;2,00;2,00;1,95;15,57;42,81;3,89
2020-10-11;63,00;4,00;9,00;2,00;1,00;0,00;15,75;35,44;1,97
2020-10-18;70,00;4,00;4,00;3,00;0,00;1,94;33,06;33,06;3,89
2020-10-25;44,00;7,00;0,00;3,00;0,00;1,91;19,13;24,87;3,83
2020-11-01;26,00;3,00;8,00;0,50;1,00;0,93;11,14;22,29;1,86
2020-11-08;26,00;0,00;4,00;0,00;0,00;0,00;18,00;22,00;4,00
2020-11-15;23,00;7,00;4,00;2,00;1,00;0,00;15,33;15,33;1,92
2020-11-22;37,00;4,00;0,00;1,00;1,00;0,97;29,21;27,26;1,95
2020-11-29;39,00;7,00;0,00;1,00;1,00;0,98;21,45;27,30;1,95
2020-12-06;43,00;14,00;0,00;1,00;0,00;0,98;13,68;35,18;1,95
2020-12-13;49,00;11,00;0,00;3,00;2,00;0,00;15,68;29,40;1,96
2020-12-20;49,00;16,00;0,00;1,00;0,00;0,00;11,76;17,64;1,96
2020-12-27;50,00;4,00;5,00;2,00;1,00;0,00;11,54;17,31;3,85
2021-01-03;48,00;0,00;4,00;1,00;0,00;0,96;19,20;17,28;1,92
2021-01-10;51,00;7,00;9,00;1,00;0,00;0,98;7,85;17,65;1,96
2021-01-17;35,00;0,00;13,00;0,00;2,00;0,97;15,56;13,61;1,94
2021-01-24;45,00;7,00;0,00;1,00;0,00;0,00;17,61;13,70;1,96
2021-01-31;51,00;4,00;8,00;1,00;1,00;0,98;13,73;13,73;1,96
2021-02-07;55,00;0,00;0,00;3,00;1,00;0,00;11,38;15,17;3,79
2021-02-14;61,00;7,00;14,00;2,00;1,00;0,98;25,58;19,68;3,94
2021-02-21;46,00;7,00;0,00;2,00;1,00;0,00;19,17;23,00;3,83
2021-02-28;45,00;7,00;0,00;1,00;1,00;0,00;11,74;15,65;1,96
2021-03-07;55,00;0,00;0,00;0,00;0,00;1,96;15,71;23,57;3,93
2021-03-14;54,00;3,00;8,00;0,00;2,00;0,00;9,64;28,93;3,86
2021-03-21;41,00;7,00;0,00;1,00;0,00;0,98;19,52;33,19;1,95
2021-03-28;49,00;4,00;5,00;1,00;0,00;1,96;13,72;41,16;3,92
2021-04-04;35,00;4,00;0,00;0,00;1,00;1,94;21,39;35,00;5,83
2021-04-11;36,00;0,00;0,00;0,00;1,00;2,00;18,00;48,00;4,00
2021-04-18;53,00;8,00;4,00;0,00;2,00;1,96;21,59;51,04;3,93
2021-04-25;48,00;18,00;4,00;1,00;0,00;0,00;46,08;55,68;3,84
2021-05-02;68,00;0,00;13,00;1,00;0,00;0,97;31,09;52,46;3,89
2021-05-09;65,00;7,00;0,00;1,00;1,00;0,96;38,24;59,26;3,82
2021-05-16;73,00;11,00;17,00;0,50;3,00;1,92;26,89;73,00;5,76
2021-05-23;73,00;4,00;5,00;3,00;0,00;1,92;23,05;82,61;3,84
2021-05-30;76,00;4,00;18,00;2,00;2,00;1,95;52,62;87,69;3,90
2021-06-06;77,00;8,00;4,00;2,00;1,00;0,00;38,50;90,48;5,78
2021-06-13;79,00;21,00;4,00;2,00;1,00;1,93;50,10;90,56;5,78
2021-06-20;80,00;0,00;4,00;3,00;3,00;3,81;40,00;85,71;5,71
2021-06-27;66,00;11,00;9,00;3,00;3,00;0,00;62,12;87,35;5,82
2021-07-04;100,00;4,00;9,00;1,00;3,00;3,85;42,31;84,62;5,77
2021-07-11;86,00;16,00;14,00;3,00;1,00;3,82;72,62;87,91;5,73
2021-07-18;75,00;9,00;15,00;2,00;2,00;5,77;80,77;107,69;5,77
2021-07-25;73,00;12,00;20,00;2,00;1,00;1,92;59,55;101,82;5,76
2021-08-01;85,00;21,00;5,00;4,00;2,00;0,00;92,73;112,05;5,80
2021-08-08;83,00;4,00;15,00;2,00;6,00;3,86;98,44;106,16;3,86
2021-08-15;80,00;16,00;0,00;3,00;3,00;3,81;68,57;102,86;5,71
2021-08-22;81,00;4,00;10,00;2,00;0,00;0,96;77,14;125,36;3,86
2021-08-29;70,00;17,00;5,00;4,00;2,00;1,94;79,72;105,00;5,83
2021-09-05;69,00;4,00;10,00;2,00;2,00;1,97;61,11;108,43;3,94
2021-09-12;56,00;4,00;10,00;2,00;6,00;3,86;65,66;106,21;5,79
2021-09-19;75,00;9,00;24,00;2,00;2,00;0,00;69,23;103,85;3,85
2021-09-26;73,00;0,00;5,00;2,00;4,00;0,00;73,00;96,05;3,84
2021-10-03;69,00;6,00;4,00;3,00;2,00;3,83;61,33;82,42;3,83
2021-10-10;49,00;11,00;3,00;2,00;2,00;1,96;96,04;72,52;1,96
2021-10-17;54,00;0,00;23,00;2,00;0,00;1,93;75,21;63,64;3,86
2021-10-24;64,00;6,00;6,00;1,00;4,00;1,94;44,61;69,82;3,88
2021-10-31;51,00;3,00;12,00;0,00;2,00;0,94;49,11;60,44;3,78
2021-11-07;50,00;8,00;9,00;2,00;2,00;1,92;44,23;61,54;3,85
2021-11-14;46,00;3,00;3,00;1,00;0,00;3,83;38,33;59,42;3,83
2021-11-21;44,00;8,00;0,00;1,00;1,00;1,91;28,70;55,48;3,83
2021-11-28;47,00;0,00;9,00;1,00;0,00;1,96;23,50;50,92;3,92
2021-12-05;39,00;0,00;6,00;1,00;1,00;0,98;21,45;46,80;3,90
2021-12-12;55,00;8,00;3,00;1,00;0,00;0,98;27,50;37,32;3,93
2021-12-19;49,00;6,00;7,00;3,00;0,00;1,96;19,60;33,32;3,92
2021-12-26;43,00;16,00;4,00;1,00;2,00;0,98;21,50;39,09;1,95
2022-01-02;40,00;3,00;7,00;1,00;3,00;0,95;30,48;38,10;1,90
2022-01-09;37,00;0,00;0,00;1,00;1,00;1,95;21,42;44,79;1,95
