Residence_tourisme;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;54,00;28,23;33,14;17,18;41,73;6,00;38,00;54,00;11,00
2020-01-12;65,00;46,60;0,00;30,66;71,13;19,00;42,00;31,00;12,00
2020-01-19;64,00;28,31;22,15;23,38;56,62;12,00;38,00;41,00;9,00
2020-01-26;42,00;18,00;32,40;24,00;57,60;14,00;33,00;22,00;6,00
2020-02-02;73,00;55,97;21,90;15,82;53,53;10,00;24,00;27,00;11,00
2020-02-09;53,00;56,70;11,09;16,02;49,30;12,00;5,00;28,00;9,00
2020-02-16;64,00;36,23;32,60;21,74;53,13;8,00;10,00;27,00;5,00
2020-02-23;42,00;37,06;11,12;17,29;74,12;6,00;9,00;24,00;7,00
2020-03-01;47,00;26,51;10,85;9,64;34,95;6,00;9,00;18,00;6,00
2020-03-08;23,00;44,79;9,68;8,47;24,21;0,00;9,00;15,00;6,00
2020-03-15;15,00;8,75;0,00;6,25;8,75;2,00;18,00;14,00;8,00
2020-03-22;5,00;0,00;10,00;6,25;16,25;3,00;4,00;12,00;8,00
2020-03-29;10,00;15,56;0,00;2,22;5,56;0,00;0,00;6,00;4,00
2020-04-05;5,00;0,00;11,25;3,75;5,00;0,00;0,00;7,00;6,00
2020-04-12;9,00;15,75;0,00;3,38;5,63;6,00;4,00;17,00;5,00
2020-04-19;12,00;0,00;0,00;3,60;15,60;3,00;9,00;5,00;4,00
2020-04-26;6,00;0,00;0,00;6,00;9,60;5,00;0,00;8,00;6,00
2020-05-03;10,00;0,00;0,00;10,00;10,00;2,00;4,00;11,00;6,00
2020-05-10;17,00;25,50;9,71;8,50;24,29;0,00;13,00;13,00;7,00
2020-05-17;14,00;16,33;10,50;7,00;21,00;4,00;9,00;16,00;8,00
2020-05-24;19,00;24,94;0,00;11,88;35,63;9,00;4,00;11,00;6,00
2020-05-31;41,00;8,70;32,30;18,64;39,76;11,00;4,00;11,00;11,00
2020-06-07;26,00;8,27;9,45;18,91;26,00;0,00;0,00;33,00;22,00
2020-06-14;36,00;42,21;9,93;18,62;49,66;8,00;13,00;19,00;15,00
2020-06-21;57,00;17,35;11,15;13,63;54,52;28,00;17,00;24,00;20,00
2020-06-28;69,00;43,13;43,13;13,55;55,45;18,00;30,00;19,00;10,00
2020-07-05;65,00;26,98;23,30;17,17;47,83;10,00;17,00;19,00;7,00
2020-07-12;56,00;38,96;35,30;30,43;49,91;22,00;19,00;22,00;10,00
2020-07-19;57,00;30,32;12,13;18,19;67,91;17,00;24,00;31,00;8,00
2020-07-26;64,00;38,64;24,15;12,08;78,49;21,00;24,00;23,00;10,00
2020-08-02;100,00;18,29;0,00;24,39;102,44;4,00;40,00;20,00;10,00
2020-08-09;76,00;18,39;0,00;19,61;76,00;2,00;28,00;19,00;7,00
2020-08-16;75,00;26,61;32,66;25,40;67,74;13,00;28,00;20,00;5,00
2020-08-23;38,00;8,31;10,69;11,88;53,44;10,00;9,00;21,00;7,00
2020-08-30;34,00;26,71;32,79;23,07;41,29;8,00;22,00;15,00;7,00
2020-09-06;51,00;27,93;0,00;18,21;24,29;6,00;23,00;23,00;6,00
2020-09-13;33,00;9,78;42,78;12,22;20,78;4,00;23,00;20,00;5,00
2020-09-20;30,00;0,00;20,40;14,40;33,60;4,00;0,00;9,00;4,00
2020-09-27;34,00;18,21;43,71;32,79;27,93;6,00;5,00;14,00;7,00
2020-10-04;42,00;9,88;11,12;27,18;14,82;4,00;19,00;18,00;5,00
2020-10-11;32,00;0,00;34,46;19,69;11,08;10,00;25,00;15,00;10,00
2020-10-18;31,00;0,00;0,00;16,12;19,84;0,00;10,00;22,00;8,00
2020-10-25;26,00;9,90;0,00;27,24;22,29;6,00;0,00;20,00;7,00
2020-11-01;16,00;17,23;0,00;25,85;7,38;0,00;9,00;30,00;3,00
2020-11-08;25,00;10,00;0,00;22,50;12,50;4,00;5,00;26,00;6,00
2020-11-15;13,00;0,00;0,00;31,20;7,80;0,00;10,00;14,00;9,00
2020-11-22;21,00;8,65;0,00;17,29;21,00;4,00;5,00;26,00;4,00
2020-11-29;32,00;0,00;11,08;13,54;12,31;0,00;5,00;23,00;6,00
2020-12-06;28,00;18,26;0,00;9,74;9,74;0,00;5,00;19,00;8,00
