Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2020-01-05;16,00;29,71;32,00;27,43;182,86;39,00;32,00;26,00;10,00
2020-01-12;17,00;26,71;34,00;36,43;204,00;43,00;26,00;26,00;11,00
2020-01-19;13,00;36,83;28,17;28,17;177,67;37,00;24,00;26,00;11,00
2020-01-26;15,00;37,50;37,50;32,50;187,50;35,00;24,00;22,00;9,00
2020-02-02;14,00;44,80;36,40;36,40;226,80;27,00;23,00;22,00;8,00
2020-02-09;16,00;32,00;45,33;32,00;226,67;34,00;26,00;25,00;10,00
2020-02-16;18,00;41,14;33,43;30,86;213,43;32,00;18,00;25,00;10,00
2020-02-23;13,00;31,20;36,40;31,20;202,80;28,00;28,00;24,00;10,00
2020-03-01;11,00;24,20;26,40;22,00;156,20;23,00;20,00;21,00;10,00
2020-03-08;11,00;28,60;22,00;17,60;143,00;15,00;20,00;18,00;11,00
2020-03-15;7,00;18,67;16,33;9,33;95,67;14,00;9,00;12,00;8,00
2020-03-22;6,00;10,00;12,00;6,00;48,00;10,00;6,00;7,00;5,00
2020-03-29;5,00;10,00;12,50;7,50;57,50;12,00;8,00;6,00;5,00
2020-04-05;5,00;7,50;5,00;10,00;50,00;9,00;6,00;7,00;5,00
2020-04-12;3,00;15,00;9,00;12,00;54,00;9,00;7,00;6,00;5,00
2020-04-19;4,00;12,00;12,00;12,00;72,00;9,00;4,00;6,00;4,00
2020-04-26;4,00;12,00;16,00;12,00;84,00;7,00;5,00;6,00;3,00
2020-05-03;4,00;6,00;6,00;6,00;46,00;8,00;6,00;7,00;4,00
2020-05-10;3,00;6,00;6,00;4,50;42,00;10,00;9,00;7,00;4,00
2020-05-17;4,00;8,00;8,00;6,00;64,00;10,00;7,00;7,00;4,00
2020-05-24;4,00;8,00;12,00;4,00;76,00;9,00;9,00;7,00;4,00
2020-05-31;5,00;12,50;15,00;7,50;110,00;10,00;6,00;6,00;4,00
2020-06-07;7,00;18,67;11,67;7,00;114,33;10,00;11,00;6,00;4,00
2020-06-14;7,00;18,67;16,33;9,33;123,67;11,00;11,00;11,00;4,00
2020-06-21;5,00;22,50;22,50;7,50;145,00;10,00;13,00;10,00;5,00
2020-06-28;8,00;29,33;18,67;8,00;152,00;11,00;17,00;12,00;4,00
2020-07-05;9,00;31,50;20,25;9,00;148,50;11,00;20,00;12,00;4,00
2020-07-12;12,00;31,20;19,20;9,60;168,00;14,00;20,00;12,00;4,00
2020-07-19;10,00;22,00;10,00;8,00;124,00;12,00;21,00;15,00;5,00
2020-07-26;8,00;16,00;14,00;10,00;122,00;14,00;19,00;12,00;5,00
2020-08-02;9,00;22,50;20,25;9,00;153,00;13,00;20,00;13,00;4,00
