Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;44,00;55,00;11,00;10,00;5,00;18,05;112,82;13,54;28,21
2020-01-12;42,00;72,00;19,00;11,00;6,00;16,58;107,21;9,95;26,53
2020-01-19;43,00;63,00;19,00;13,00;5,00;14,71;87,13;10,18;27,16
2020-01-26;45,00;47,00;10,00;10,00;4,00;13,50;87,75;9,00;22,50
2020-02-02;43,00;71,00;16,00;8,00;3,00;11,03;80,49;11,03;23,15
2020-02-09;42,00;58,00;9,00;8,00;5,00;12,16;78,47;7,74;22,11
2020-02-16;48,00;61,00;12,00;9,00;4,00;14,18;81,82;10,91;24,00
2020-02-23;41,00;47,00;5,00;9,00;4,00;15,51;66,49;7,76;22,16
2020-03-01;36,00;50,00;11,00;9,00;5,00;10,13;72,00;9,00;24,75
2020-03-08;40,00;49,00;6,00;10,00;5,00;6,67;82,22;12,22;58,89
2020-03-15;20,00;40,00;10,00;6,00;4,00;5,56;38,89;8,89;26,67
2020-03-22;16,00;16,00;7,00;4,00;3,00;3,43;19,43;6,86;14,86
2020-03-29;12,00;14,00;6,00;4,00;1,00;3,27;19,64;4,36;10,91
2020-04-05;11,00;10,00;5,00;3,00;1,00;3,67;17,11;6,11;12,22
2020-04-12;12,00;11,00;7,00;4,00;3,00;4,36;17,45;4,36;10,91
2020-04-19;12,00;16,00;4,00;3,00;1,00;6,55;10,91;5,45;10,91
2020-04-26;10,00;14,00;5,00;3,00;1,00;3,33;18,89;4,44;11,11
2020-05-03;9,00;10,00;4,00;4,00;1,00;4,00;18,00;5,00;11,00
2020-05-10;13,00;13,00;7,00;4,00;1,00;5,42;23,83;4,33;14,08
2020-05-17;13,00;11,00;6,00;6,00;2,00;7,58;24,92;5,42;14,08
2020-05-24;15,00;19,00;7,00;6,00;1,00;4,29;27,86;5,36;12,86
2020-05-31;18,00;34,00;7,00;7,00;2,00;5,63;32,63;4,50;14,63
2020-06-07;22,00;30,00;6,00;6,00;2,00;8,80;31,90;6,60;17,60
2020-06-14;24,00;28,00;9,00;9,00;3,00;7,64;38,18;6,55;17,45
2020-06-21;28,00;32,00;15,00;7,00;2,00;8,62;33,38;5,38;15,08
2020-06-28;28,00;34,00;7,00;9,00;3,00;11,20;39,20;5,60;13,44
2020-07-05;30,00;34,00;9,00;9,00;2,00;8,89;43,33;6,67;13,33
2020-07-12;28,00;28,00;7,00;8,00;2,00;8,96;44,80;5,60;13,44
2020-07-19;27,00;27,00;6,00;8,00;5,00;8,64;36,72;6,48;14,04
2020-07-26;23,00;16,00;4,00;9,00;3,00;9,20;27,60;5,75;13,80
2020-08-02;24,00;24,00;9,00;7,00;2,00;9,82;28,36;5,45;13,09
2020-08-09;22,00;25,00;8,00;6,00;5,00;7,70;27,50;5,50;13,20
2020-08-16;21,00;33,00;1,00;7,00;2,00;6,63;24,32;6,63;13,26
2020-08-23;18,00;27,00;4,00;4,00;2,00;5,63;19,13;6,75;13,50
2020-08-30;18,00;24,00;9,00;7,00;3,00;5,63;33,75;6,75;13,50
2020-09-06;21,00;16,00;8,00;5,00;2,00;6,63;32,05;4,42;13,26
2020-09-13;19,00;19,00;8,00;5,00;2,00;7,82;25,71;6,71;13,41
2020-09-20;19,00;25,00;6,00;6,00;3,00;7,82;26,82;5,59;13,41
2020-09-27;17,00;21,00;13,00;5,00;2,00;3,40;21,53;5,67;13,60
2020-10-04;18,00;18,00;6,00;5,00;2,00;5,63;21,38;7,88;15,75
2020-10-11;18,00;12,00;1,00;5,00;2,00;4,50;23,63;5,63;16,88
2020-10-18;18,00;26,00;7,00;5,00;2,00;3,38;21,38;5,63;15,75
2020-10-25;15,00;26,00;3,00;5,00;3,00;4,62;24,23;4,62;13,85
2020-11-01;14,00;25,00;1,00;5,00;3,00;2,15;20,46;5,38;11,85
2020-11-08;16,00;28,00;7,00;5,00;1,00;3,43;22,86;6,86;16,00
2020-11-15;18,00;22,00;6,00;5,00;2,00;3,38;25,88;4,50;14,63
2020-11-22;22,00;29,00;9,00;4,00;3,00;4,40;23,10;6,60;15,40
2020-11-29;25,00;27,00;7,00;5,00;3,00;4,55;21,59;6,82;13,64
2020-12-06;28,00;18,00;4,00;5,00;3,00;5,60;23,52;5,60;13,44
2020-12-13;29,00;24,00;8,00;5,00;1,00;5,58;27,88;5,58;13,38
2020-12-20;22,00;20,00;1,00;4,00;2,00;5,79;15,05;5,79;13,89
2020-12-27;27,00;27,00;9,00;4,00;2,00;5,63;24,75;5,63;16,88
2021-01-03;25,00;16,00;3,00;7,00;1,00;5,43;23,91;4,35;16,30
2021-01-10;27,00;22,00;6,00;5,00;3,00;5,40;21,60;6,48;15,12
2021-01-17;23,00;23,00;3,00;6,00;1,00;5,75;24,15;6,90;14,95
2021-01-24;19,00;12,00;6,00;4,00;2,00;4,47;13,41;3,35;15,65
2021-01-31;17,00;12,00;9,00;3,00;2,00;5,67;18,13;4,53;14,73
2021-02-07;17,00;18,00;6,00;5,00;2,00;4,25;15,94;4,25;14,88
2021-02-14;22,00;16,00;7,00;5,00;1,00;6,95;24,32;5,79;17,37
2021-02-21;18,00;19,00;8,00;6,00;2,00;4,50;25,88;3,38;19,13
2021-02-28;19,00;25,00;3,00;4,00;3,00;4,47;24,59;4,47;20,12
2021-03-07;22,00;11,00;3,00;6,00;2,00;3,30;24,20;4,40;18,70
2021-03-14;21,00;22,00;6,00;4,00;2,00;4,67;28,00;7,00;22,17
2021-03-21;21,00;17,00;6,00;5,00;3,00;3,32;26,53;3,32;21,00
2021-03-28;21,00;15,00;6,00;6,00;2,00;6,63;26,53;3,32;21,00
2021-04-04;19,00;19,00;2,00;5,00;2,00;3,35;21,24;2,24;22,35
2021-04-11;20,00;33,00;8,00;4,00;3,00;5,56;26,67;2,22;20,00
2021-04-18;24,00;22,00;11,00;4,00;2,00;8,00;27,43;2,29;21,71
2021-04-25;20,00;21,00;1,00;5,00;4,00;8,89;35,56;2,22;18,89
2021-05-02;27,00;36,00;5,00;5,00;3,00;6,75;30,38;2,25;19,13
2021-05-09;26,00;36,00;10,00;8,00;2,00;7,91;47,48;3,39;21,48
2021-05-16;38,00;51,00;10,00;9,00;6,00;8,94;43,59;3,35;22,35
2021-05-23;37,00;53,00;10,00;12,00;3,00;11,21;50,45;3,36;22,42
2021-05-30;41,00;62,00;12,00;11,00;3,00;13,30;53,19;3,32;23,27
2021-06-06;44,00;75,00;21,00;12,00;5,00;12,10;60,50;3,30;23,10
2021-06-13;62,00;100,00;11,00;13,00;6,00;15,50;87,46;3,32;23,25
2021-06-20;51,00;79,00;9,00;12,00;5,00;14,41;77,61;3,33;22,17
2021-06-27;47,00;72,00;6,00;13,00;5,00;13,43;69,38;4,48;22,38
2021-07-04;47,00;88,00;11,00;15,00;5,00;17,90;64,90;3,36;22,38
2021-07-11;39,00;66,00;10,00;13,00;7,00;14,49;55,71;3,34;22,29
2021-07-18;38,00;62,00;12,00;12,00;4,00;13,41;60,35;3,35;20,12
2021-07-25;35,00;58,00;18,00;10,00;5,00;15,81;79,03;5,65;19,19
2021-08-01;39,00;61,00;10,00;10,00;4,00;14,49;72,43;4,46;18,94
2021-08-08;36,00;70,00;11,00;12,00;3,00;11,25;64,13;5,63;15,75
2021-08-15;35,00;38,00;12,00;8,00;5,00;14,68;74,52;4,52;18,06
2021-08-22;33,00;59,00;15,00;8,00;4,00;13,20;63,80;3,30;16,50
2021-08-29;34,00;46,00;11,00;9,00;4,00;13,60;62,33;3,40;15,87
2021-09-05;35,00;39,00;9,00;9,00;5,00;11,29;54,19;5,65;16,94
2021-09-12;34,00;47,00;9,00;8,00;2,00;11,33;78,20;4,53;17,00
2021-09-19;37,00;52,00;11,00;9,00;3,00;12,33;59,42;5,61;16,82
2021-09-26;32,00;46,00;10,00;8,00;4,00;9,93;75,03;4,41;17,66
2021-10-03;25,00;46,00;6,00;9,00;3,00;7,61;57,61;5,43;15,22
2021-10-10;28,00;55,00;3,00;7,00;2,00;7,84;66,08;5,60;13,44
