Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;13,00;14,00;11,00;10,00;8,00;6,50;104,00;9,75;9,75
2020-01-12;14,00;22,00;17,00;10,00;6,00;5,60;72,80;8,40;5,60
2020-01-19;16,00;22,00;6,00;8,00;11,00;5,33;72,00;5,33;8,00
2020-01-26;17,00;25,00;10,00;9,00;8,00;2,83;65,17;5,67;5,67
2020-02-02;16,00;19,00;5,00;8,00;9,00;3,20;64,00;3,20;9,60
2020-02-09;20,00;14,00;17,00;8,00;10,00;5,71;54,29;5,71;8,57
2020-02-16;22,00;15,00;11,00;9,00;12,00;6,29;59,71;6,29;9,43
2020-02-23;17,00;10,00;15,00;6,00;13,00;2,83;48,17;5,67;8,50
2020-03-01;14,00;23,00;11,00;9,00;10,00;2,80;56,00;5,60;8,40
2020-03-08;10,00;16,00;10,00;5,00;6,00;1,67;53,33;3,33;10,00
2020-03-15;3,00;11,00;6,00;6,00;2,00;1,50;33,00;3,00;9,00
2020-03-22;6,00;4,00;2,00;4,00;4,00;1,50;57,00;3,00;6,00
2020-03-29;7,00;6,00;8,00;4,00;2,00;1,75;56,00;3,50;7,00
2020-04-05;7,00;10,00;11,00;3,00;2,00;3,50;42,00;3,50;7,00
2020-04-12;7,00;10,00;18,00;4,00;2,00;1,75;52,50;3,50;7,00
2020-04-19;8,00;12,00;21,00;5,00;3,00;2,67;58,67;2,67;5,33
2020-04-26;7,00;10,00;21,00;7,00;3,00;3,50;98,00;3,50;14,00
2020-05-03;7,00;4,00;20,00;14,00;5,00;3,50;157,50;3,50;17,50
2020-05-10;13,00;10,00;13,00;13,00;5,00;3,25;139,75;3,25;19,50
2020-05-17;17,00;23,00;24,00;13,00;11,00;5,67;136,00;2,83;25,50
2020-05-24;21,00;16,00;32,00;14,00;16,00;9,00;126,00;3,00;24,00
2020-05-31;37,00;50,00;31,00;20,00;20,00;15,42;160,33;6,17;27,75
2020-06-07;33,00;56,00;52,00;21,00;21,00;12,00;171,00;6,00;33,00
2020-06-14;40,00;62,00;33,00;20,00;28,00;21,54;215,38;6,15;33,85
2020-06-21;43,00;85,00;45,00;21,00;44,00;24,57;215,00;12,29;30,71
2020-06-28;57,00;100,00;35,00;21,00;45,00;27,00;234,00;12,00;33,00
2020-07-05;69,00;72,00;61,00;24,00;49,00;27,00;249,00;15,00;30,00
2020-07-12;58,00;98,00;58,00;23,00;47,00;24,42;305,26;21,37;30,53
2020-07-19;59,00;88,00;50,00;21,00;46,00;23,60;253,70;20,65;29,50
2020-07-26;67,00;74,00;53,00;23,00;55,00;30,45;252,77;21,32;30,45
2020-08-02;72,00;97,00;51,00;26,00;62,00;24,00;255,00;21,00;27,00
2020-08-09;61,00;69,00;44,00;21,00;53,00;33,55;210,45;18,30;27,45
2020-08-16;50,00;57,00;29,00;22,00;45,00;26,47;158,82;17,65;23,53
2020-08-23;32,00;39,00;31,00;15,00;30,00;11,64;113,45;11,64;20,36
2020-08-30;25,00;31,00;22,00;18,00;29,00;15,63;112,50;12,50;25,00
2020-09-06;19,00;40,00;32,00;15,00;21,00;12,67;104,50;9,50;19,00
2020-09-13;15,00;26,00;18,00;14,00;8,00;9,00;87,00;9,00;15,00
2020-09-20;7,00;21,00;16,00;10,00;8,00;3,50;73,50;7,00;17,50
2020-09-27;5,00;9,00;12,00;7,00;8,00;1,25;42,50;5,00;12,50
2020-10-04;5,00;8,00;13,00;7,00;10,00;2,50;27,50;5,00;12,50
2020-10-11;7,00;8,00;7,00;6,00;6,00;3,50;45,50;7,00;10,50
2020-10-18;6,00;9,00;5,00;4,00;3,00;1,50;33,00;3,00;9,00
2020-10-25;4,00;4,00;3,00;4,00;3,00;2,00;40,00;4,00;8,00
2020-11-01;3,00;4,00;4,00;1,00;2,00;1,50;24,00;3,00;6,00
2020-11-08;2,00;5,00;5,00;3,00;3,00;1,00;18,00;2,00;4,00
2020-11-15;2,00;3,00;5,00;2,00;4,00;1,00;16,00;2,00;4,00
2020-11-22;3,00;6,00;9,00;2,00;2,00;1,50;24,00;3,00;6,00
2020-11-29;3,00;1,00;3,00;2,00;2,00;1,50;27,00;1,50;6,00
2020-12-06;3,00;4,00;3,00;1,00;2,00;1,50;27,00;1,50;6,00
2020-12-13;4,00;6,00;3,00;3,00;3,00;2,00;36,00;2,00;4,00
2020-12-20;3,00;8,00;1,00;3,00;2,00;1,50;30,00;1,50;6,00
2020-12-27;4,00;8,00;6,00;4,00;5,00;2,00;60,00;4,00;8,00
2021-01-03;6,00;5,00;7,00;5,00;4,00;3,00;63,00;3,00;6,00
2021-01-10;8,00;10,00;5,00;3,00;1,00;2,67;48,00;2,67;8,00
2021-01-17;9,00;9,00;6,00;4,00;3,00;1,50;51,00;3,00;6,00
2021-01-24;7,00;9,00;5,00;4,00;3,00;3,50;45,50;3,50;10,50
2021-01-31;11,00;16,00;5,00;3,00;1,00;2,75;38,50;1,38;8,25
2021-02-07;11,00;15,00;10,00;3,00;6,00;2,75;30,25;2,75;8,25
2021-02-14;10,00;18,00;10,00;4,00;6,00;3,33;60,00;3,33;10,00
2021-02-21;15,00;11,00;11,00;5,00;5,00;3,00;78,00;6,00;9,00
2021-02-28;14,00;13,00;12,00;5,00;9,00;2,80;70,00;5,60;11,20
2021-03-07;17,00;19,00;12,00;5,00;9,00;2,83;79,33;2,83;11,33
2021-03-14;15,00;18,00;16,00;6,00;12,00;3,00;66,00;6,00;12,00
2021-03-21;13,00;20,00;20,00;4,00;21,00;3,25;120,25;6,50;16,25
2021-03-28;15,00;17,00;24,00;5,00;20,00;3,00;87,00;6,00;15,00
2021-04-04;14,00;27,00;20,00;5,00;14,00;5,60;95,20;5,60;14,00
2021-04-11;13,00;26,00;20,00;5,00;12,00;6,50;113,75;6,50;16,25
2021-04-18;15,00;37,00;38,00;6,00;12,00;6,00;108,00;6,00;15,00
2021-04-25;26,00;45,00;22,00;6,00;13,00;8,67;118,44;8,67;17,33
2021-05-02;33,00;44,00;21,00;10,00;18,00;6,00;150,00;9,00;15,00
2021-05-09;42,00;40,00;34,00;14,00;22,00;12,00;147,00;12,00;18,00
2021-05-16;32,00;33,00;31,00;18,00;30,00;8,73;119,27;8,73;20,36
2021-05-23;39,00;51,00;44,00;18,00;26,00;9,00;159,00;12,00;21,00
2021-05-30;38,00;36,00;42,00;19,00;33,00;20,46;149,08;14,62;20,46
2021-06-06;49,00;52,00;52,00;17,00;35,00;18,38;199,06;12,25;21,44
2021-06-13;40,00;59,00;34,00;18,00;37,00;24,62;160,00;12,31;24,62
2021-06-20;40,00;53,00;27,00;20,00;35,00;18,46;169,23;12,31;24,62
2021-06-27;43,00;46,00;32,00;19,00;46,00;30,71;184,29;12,29;24,57
2021-07-04;52,00;76,00;46,00;19,00;49,00;24,47;195,76;12,24;24,47
2021-07-11;51,00;82,00;60,00;22,00;45,00;15,00;246,00;18,00;21,00
2021-07-18;58,00;88,00;37,00;19,00;49,00;24,42;274,74;15,26;24,42
2021-07-25;60,00;41,00;40,00;20,00;53,00;24,00;264,00;15,00;21,00
2021-08-01;65,00;75,00;47,00;19,00;59,00;23,64;236,36;11,82;17,73
2021-08-08;65,00;69,00;56,00;22,00;62,00;29,55;230,45;14,77;17,73
2021-08-15;54,00;30,00;36,00;22,00;49,00;27,00;192,00;12,00;15,00
2021-08-22;37,00;23,00;39,00;17,00;39,00;15,42;148,00;12,33;15,42
2021-08-29;25,00;21,00;41,00;17,00;22,00;9,38;137,50;9,38;15,63
2021-09-05;22,00;19,00;18,00;14,00;16,00;12,57;106,86;9,43;15,71
2021-09-12;20,00;24,00;17,00;12,00;15,00;5,71;68,57;5,71;11,43
2021-09-19;15,00;20,00;23,00;9,00;13,00;3,00;69,00;3,00;12,00
2021-09-26;9,00;13,00;23,00;7,00;11,00;3,00;48,00;3,00;12,00
2021-10-03;8,00;14,00;18,00;9,00;12,00;5,33;29,33;5,33;8,00
2021-10-10;6,00;13,00;11,00;7,00;8,00;3,00;39,00;3,00;6,00
2021-10-17;6,00;16,00;11,00;6,00;9,00;3,00;33,00;3,00;6,00
2021-10-24;6,00;12,00;7,00;5,00;5,00;1,50;27,00;3,00;6,00
2021-10-31;6,00;16,00;10,00;7,00;7,00;1,50;24,00;3,00;3,00
2021-11-07;5,00;13,00;1,00;3,00;6,00;1,25;20,00;2,50;5,00
2021-11-14;3,00;12,00;7,00;2,00;4,00;1,50;24,00;1,50;6,00
2021-11-21;2,00;9,00;6,00;3,00;5,00;2,00;14,00;2,00;4,00
2021-11-28;4,00;6,00;1,00;3,00;5,00;4,00;20,00;4,00;4,00
2021-12-05;3,00;12,00;7,00;3,00;3,00;1,50;27,00;3,00;3,00
2021-12-12;3,00;9,00;5,00;4,00;3,00;1,50;21,00;1,50;3,00
2021-12-19;3,00;7,00;3,00;2,00;3,00;1,50;27,00;3,00;3,00
2021-12-26;5,00;15,00;8,00;6,00;6,00;2,50;37,50;2,50;5,00
2022-01-02;9,00;22,00;9,00;8,00;5,00;3,00;63,00;6,00;6,00
2022-01-09;9,00;12,00;10,00;7,00;6,00;3,00;66,00;6,00;6,00
