Voyage;FR;BE;CH;DE;ES;IT;NL;GB;US
2020-01-05;89,00;68,00;70,00;54,00;84,00;81,15;65,44;68,06;41,88
2020-01-12;89,00;76,00;66,00;58,00;92,00;75,91;57,59;58,90;40,57
2020-01-19;89,00;59,00;66,00;51,00;92,00;83,76;61,51;60,21;40,57
2020-01-26;90,00;60,00;58,00;47,00;95,00;70,43;45,65;58,70;37,83
2020-02-02;86,00;57,00;62,00;41,00;86,00;57,33;40,39;54,73;37,79
2020-02-09;87,00;62,00;62,00;41,00;87,00;67,23;40,86;63,27;36,91
2020-02-16;89,00;46,00;52,00;39,00;82,00;58,90;43,19;56,28;39,26
2020-02-23;84,00;55,00;65,00;40,00;76,00;64,31;42,00;84,00;48,56
2020-03-01;73,00;48,00;53,00;38,00;75,00;62,57;43,02;74,30;50,84
2020-03-08;78,00;69,00;65,00;54,00;79,00;31,20;59,80;130,00;79,30
2020-03-15;35,00;39,00;36,00;36,00;36,00;19,44;44,07;88,15;50,56
2020-03-22;25,00;24,00;16,00;18,00;24,00;17,11;19,74;30,26;25,00
2020-03-29;26,00;21,00;16,00;18,00;24,00;16,90;16,90;22,10;20,80
2020-04-05;25,00;22,00;18,00;19,00;30,00;14,47;18,42;22,37;18,42
2020-04-12;27,00;21,00;19,00;24,00;31,00;20,57;15,43;23,14;19,29
2020-04-19;21,00;22,00;18,00;23,00;27,00;24,94;19,69;23,63;19,69
2020-04-26;23,00;23,00;28,00;24,00;30,00;25,71;21,65;24,35;21,65
2020-05-03;25,00;26,00;24,00;25,00;38,00;22,37;26,32;26,32;23,68
2020-05-10;22,00;28,00;34,00;29,00;41,00;25,88;25,88;29,76;25,88
2020-05-17;27,00;19,00;36,00;31,00;45,00;30,86;25,71;33,43;27,00
2020-05-24;34,00;28,00;41,00;30,00;50,00;31,38;28,77;32,69;27,46
2020-05-31;42,00;47,00;39,00;35,00;49,00;43,31;36,75;32,81;27,56
2020-06-07;46,00;49,00;45,00;40,00;49,00;47,31;31,54;35,49;32,86
2020-06-14;54,00;50,00;43,00;34,00;50,00;48,86;33,43;38,57;33,43
2020-06-21;55,00;45,00;45,00;34,00;51,00;57,62;35,36;44,52;40,60
2020-06-28;55,00;51,00;53,00;33,00;51,00;57,62;36,67;56,31;41,90
2020-07-05;54,00;58,00;46,00;34,00;41,00;64,29;29,57;51,43;41,14
2020-07-12;53,00;51,00;55,00;34,00;42,00;59,63;34,45;51,68;39,75
2020-07-19;50,00;46,00;44,00;35,00;47,00;60,53;32,89;52,63;40,79
2020-07-26;48,00;44,00;43,00;34,00;50,00;63,57;29,84;53,19;38,92
2020-08-02;48,00;44,00;37,00;34,00;54,00;60,97;25,95;53,19;38,92
2020-08-09;50,00;47,00;40,00;30,00;52,00;64,10;33,33;52,56;35,90
2020-08-16;44,00;43,00;35,00;29,00;49,00;46,67;26,67;54,67;33,33
2020-08-23;45,00;43,00;48,00;30,00;45,00;38,38;29,12;47,65;31,76
2020-08-30;40,00;44,00;29,00;25,00;38,00;36,13;21,94;47,74;32,26
2020-09-06;41,00;40,00;40,00;26,00;40,00;35,71;23,81;44,97;33,06
2020-09-13;37,00;37,00;37,00;21,00;33,00;29,34;28,07;44,66;33,17
2020-09-20;38,00;26,00;31,00;24,00;33,00;26,21;22,28;47,17;31,45
2020-09-27;34,00;29,00;37,00;23,00;32,00;28,77;19,62;44,46;31,38
2020-10-04;35,00;27,00;43,00;25,00;35,00;25,93;22,04;45,37;32,41
2020-10-11;37,00;26,00;35,00;23,00;31,00;21,69;20,41;43,38;34,45
2020-10-18;35,00;29,00;32,00;19,00;34,00;19,44;16,85;42,78;35,00
2020-10-25;27,00;26,00;28,00;17,00;36,00;16,71;14,14;39,86;30,86
2020-11-01;22,00;22,00;27,00;12,00;25,00;15,53;14,24;36,24;25,88
2020-11-08;24,00;24,00;29,00;12,00;31,00;17,33;18,67;32,00;40,00
