Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;14,00;40,25;10,50;36,75;3,50;4,00;25,00;7,00;4,00
2020-05-24;27,00;20,25;33,75;45,56;6,75;0,00;17,00;3,00;0,00
2020-05-31;3,00;12,00;9,00;69,00;3,00;0,00;7,00;0,00;3,00
2020-06-07;30,00;31,76;10,59;58,24;3,53;3,00;16,00;7,00;3,00
2020-06-14;57,00;33,53;33,53;60,35;0,00;3,00;7,00;7,00;13,00
2020-06-21;32,00;21,89;25,26;53,89;6,74;7,00;25,00;7,00;18,00
2020-06-28;25,00;30,36;14,29;64,29;0,00;14,00;11,00;0,00;4,00
2020-07-05;44,00;18,62;28,77;67,69;3,38;7,00;22,00;4,00;0,00
2020-07-12;34,00;37,40;11,90;52,70;3,40;4,00;19,00;0,00;8,00
2020-07-19;39,00;35,61;11,87;62,74;0,00;8,00;12,00;4,00;8,00
2020-07-26;39,00;11,87;15,26;44,09;0,00;12,00;12,00;4,00;4,00
2020-08-02;34,00;37,40;27,20;45,90;3,40;4,00;0,00;15,00;11,00
2020-08-09;29,00;29,00;18,76;59,71;0,00;4,00;7,00;7,00;4,00
2020-08-16;32,00;35,37;13,47;99,37;6,74;4,00;11,00;7,00;4,00
2020-08-23;35,00;28,00;24,50;36,75;0,00;0,00;7,00;0,00;3,00
2020-08-30;46,00;42,59;22,15;47,70;0,00;11,00;7,00;4,00;4,00
2020-09-06;32,00;45,47;13,47;85,89;3,37;4,00;0,00;4,00;4,00
2020-09-13;25,00;13,33;25,00;56,67;0,00;7,00;7,00;0,00;0,00
2020-09-20;34,00;37,40;13,60;37,40;0,00;0,00;10,00;0,00;3,00
2020-09-27;29,00;35,82;6,82;35,82;3,41;11,00;21,00;4,00;7,00
2020-10-04;37,00;25,23;6,73;80,73;0,00;7,00;0,00;4,00;18,00
2020-10-11;26,00;21,13;3,25;76,38;6,50;4,00;8,00;11,00;11,00
2020-10-18;7,00;10,50;22,75;35,00;0,00;4,00;7,00;7,00;4,00
2020-10-25;28,00;9,88;31,29;75,76;3,29;7,00;14,00;4,00;11,00
2020-11-01;14,00;17,50;24,50;28,00;0,00;7,00;0,00;3,00;0,00
2020-11-08;18,00;24,55;14,73;42,55;9,82;4,00;7,00;11,00;11,00
2020-11-15;43,00;25,80;6,88;48,16;0,00;4,00;0,00;11,00;7,00
2020-11-22;32,00;38,74;6,74;60,63;0,00;4,00;18,00;14,00;18,00
2020-11-29;21,00;50,75;29,75;50,75;3,50;4,00;7,00;0,00;0,00
2020-12-06;21,00;54,25;36,75;73,50;3,50;10,00;0,00;11,00;3,00
2020-12-13;22,00;40,62;22,00;59,23;0,00;7,00;36,00;18,00;0,00
2020-12-20;33,00;46,89;29,53;59,05;8,68;4,00;4,00;8,00;8,00
2020-12-27;33,00;71,21;26,05;71,21;3,47;8,00;4,00;12,00;4,00
2021-01-03;32,00;48,84;25,26;82,53;0,00;18,00;7,00;11,00;7,00
2021-01-10;32,00;77,47;25,26;121,26;3,37;14,00;7,00;0,00;7,00
2021-01-17;32,00;77,47;45,47;111,16;3,37;7,00;11,00;25,00;7,00
2021-01-24;39,00;74,61;25,43;100,04;0,00;18,00;7,00;14,00;0,00
2021-01-31;17,00;86,70;17,00;115,60;0,00;7,00;17,00;3,00;0,00
2021-02-07;25,00;90,00;13,33;56,67;0,00;11,00;7,00;14,00;14,00
2021-02-14;18,00;52,36;11,45;18,00;3,27;4,00;11,00;0,00;11,00
2021-02-21;22,00;55,85;30,46;59,23;0,00;7,00;11,00;4,00;11,00
2021-02-28;36,00;36,00;22,29;51,43;3,43;7,00;18,00;0,00;4,00
