Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;42,00;18,67;14,00;18,67;4,67;15,00;4,00;10,00;9,00
2020-05-24;43,00;24,89;13,58;20,37;1,13;10,00;7,00;8,00;10,00
2020-05-31;55,00;29,79;18,33;22,92;2,29;15,00;8,00;17,00;13,00
2020-06-07;46,00;29,90;18,40;13,80;4,60;15,00;5,00;16,00;8,00
2020-06-14;50,00;29,55;18,18;27,27;4,55;16,00;14,00;19,00;13,00
2020-06-21;54,00;18,78;21,13;16,43;7,04;14,00;9,00;11,00;13,00
2020-06-28;42,00;42,00;28,00;42,00;1,17;20,00;9,00;18,00;22,00
2020-07-05;53,00;32,26;20,74;32,26;1,15;15,00;11,00;17,00;17,00
2020-07-12;45,00;26,05;16,58;28,42;1,18;12,00;7,00;22,00;9,00
2020-07-19;59,00;22,69;13,62;22,69;2,27;19,00;7,00;15,00;17,00
2020-07-26;48,00;29,71;20,57;22,86;6,86;20,00;3,00;19,00;10,00
2020-08-02;54,00;25,83;14,09;28,17;1,17;18,00;7,00;11,00;10,00
2020-08-09;55,00;27,50;18,33;29,79;4,58;20,00;9,00;18,00;16,00
2020-08-16;53,00;32,26;20,74;32,26;1,15;23,00;8,00;9,00;8,00
2020-08-23;50,00;40,91;15,91;22,73;4,55;19,00;2,00;16,00;15,00
2020-08-30;49,00;35,00;21,00;18,67;1,17;10,00;4,00;15,00;8,00
2020-09-06;36,00;24,75;15,75;58,50;4,50;20,00;8,00;7,00;9,00
2020-09-13;69,00;57,50;13,80;25,30;4,60;11,00;8,00;13,00;9,00
2020-09-20;25,00;36,36;11,36;25,00;4,55;19,00;7,00;15,00;6,00
2020-09-27;43,00;40,74;11,32;29,42;4,53;20,00;8,00;9,00;19,00
2020-10-04;47,00;21,15;16,45;30,55;2,35;27,00;4,00;9,00;44,00
2020-10-11;38,00;26,13;11,88;23,75;4,75;19,00;2,00;12,00;11,00
2020-10-18;42,00;23,33;16,33;21,00;1,17;50,00;5,00;14,00;16,00
2020-10-25;53,00;32,26;9,22;20,74;2,30;29,00;4,00;15,00;14,00
2020-11-01;33,00;16,50;14,14;21,21;2,36;22,00;4,00;8,00;9,00
2020-11-08;35,00;16,33;28,00;14,00;4,67;22,00;4,00;12,00;17,00
2020-11-15;36,00;22,50;18,00;15,75;2,25;17,00;6,00;10,00;12,00
2020-11-22;33,00;24,20;15,40;17,60;2,20;14,00;3,00;18,00;6,00
2020-11-29;32,00;50,29;18,29;18,29;1,14;18,00;6,00;14,00;8,00
2020-12-06;30,00;30,00;18,46;13,85;4,62;25,00;5,00;16,00;8,00
2020-12-13;51,00;18,55;13,91;208,64;2,32;21,00;8,00;6,00;13,00
2020-12-20;50,00;31,82;20,45;227,27;2,27;19,00;6,00;7,00;11,00
2020-12-27;47,00;49,35;9,40;110,45;2,35;68,00;6,00;13,00;8,00
2021-01-03;53,00;59,91;11,52;46,09;2,30;31,00;5,00;16,00;9,00
2021-01-10;70,00;53,67;16,33;39,67;4,67;23,00;3,00;7,00;11,00
2021-01-17;34,00;83,87;15,87;38,53;2,27;39,00;4,00;21,00;17,00
2021-01-24;50,00;45,45;9,09;25,00;2,27;13,00;6,00;12,00;10,00
2021-01-31;48,00;54,86;9,14;27,43;2,29;17,00;5,00;14,00;6,00
2021-02-07;36,00;47,25;6,75;24,75;2,25;16,00;4,00;13,00;13,00
2021-02-14;29,00;53,54;11,15;22,31;2,23;16,00;4,00;16,00;13,00
2021-02-21;29,00;37,92;11,15;22,31;1,12;11,00;4,00;10,00;20,00
2021-02-28;28,00;30,33;16,33;18,67;2,33;31,00;4,00;14,00;17,00
