Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-01-06;29,00;24,00;4,00;24,00;7,00;36,63;6,11;3,05;16,79;3,41;68,24;63,12;17,06;4,58;9,16;45,79;3,05;6,90;8,29;13,81;16,57
2019-01-13;33,00;31,00;6,00;25,00;11,00;47,14;6,29;1,57;17,29;5,21;50,37;62,53;15,63;7,50;9,00;60,00;3,00;45,91;8,61;18,65;17,22
2019-01-20;36,00;23,00;7,00;23,00;10,00;43,83;6,26;3,13;18,78;3,43;54,86;63,43;15,43;9,00;10,50;75,00;1,50;21,60;8,64;20,16;23,04
2019-01-27;35,00;23,00;4,00;15,00;5,00;39,57;4,57;3,04;18,26;1,67;70,00;68,33;10,00;4,57;7,61;71,52;3,04;1,40;51,80;7,00;15,40
2019-02-03;40,00;25,00;5,00;14,00;2,00;44,80;8,00;4,80;25,60;3,48;66,09;78,26;12,17;3,08;6,15;56,92;6,15;5,71;45,71;7,14;12,86
2019-02-10;49,00;31,00;6,00;15,00;5,00;47,42;11,06;1,58;25,29;3,50;63,00;85,75;12,25;4,59;7,66;56,66;7,66;2,88;64,85;8,65;14,41
2019-02-17;46,00;28,00;7,00;16,00;5,00;49,29;13,14;3,29;36,14;9,20;71,76;82,80;12,88;3,07;6,13;67,47;4,60;2,88;56,06;5,75;11,50
2019-02-24;59,00;38,00;8,00;14,00;4,00;47,84;9,57;4,78;27,11;5,21;57,26;79,82;10,41;1,51;3,03;55,97;4,54;5,76;46,05;7,20;11,51
2019-03-03;52,00;33,00;7,00;10,00;3,00;50,38;14,63;4,88;22,75;7,17;46,62;80,69;7,17;3,06;4,59;56,59;7,65;4,33;44,78;8,67;15,89
2019-03-10;45,00;28,00;5,00;18,00;3,00;43,45;13,97;4,66;20,17;3,46;43,27;77,88;8,65;3,00;3,00;45,00;4,50;4,22;43,59;9,84;15,47
