Avion;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;48,00;64,00;15,00;9,00;7,00;12,80;98,13;7,47;24,53
2019-01-13;50,00;81,00;11,00;9,00;7,00;14,89;97,87;5,32;23,40
2019-01-20;43,00;53,00;14,00;10,00;4,00;13,98;81,70;7,53;22,58
2019-01-27;39,00;54,00;6,00;13,00;3,00;10,54;93,81;5,27;20,03
2019-02-03;44,00;60,00;15,00;11,00;4,00;17,17;89,07;7,51;21,46
2019-02-10;42,00;66,00;17,00;10,00;4,00;17,23;92,62;7,54;22,62
2019-02-17;44,00;53,00;16,00;13,00;6,00;16,10;69,76;7,51;23,61
2019-02-24;47,00;66,00;16,00;11,00;4,00;17,49;78,70;6,56;24,05
2019-03-03;44,00;78,00;15,00;11,00;5,00;13,95;77,27;6,44;26,83
2019-03-10;41,00;64,00;12,00;11,00;4,00;15,11;85,24;7,55;24,82
2019-03-17;50,00;61,00;15,00;13,00;2,00;16,30;82,61;7,61;25,00
2019-03-24;42,00;66,00;12,00;14,00;5,00;15,08;74,31;6,46;22,62
2019-03-31;47,00;70,00;22,00;13,00;4,00;12,02;78,70;4,37;25,14
2019-04-07;45,00;74,00;10,00;12,00;6,00;16,07;85,71;8,57;22,50
2019-04-14;42,00;58,00;8,00;12,00;7,00;12,92;64,62;6,46;22,62
2019-04-21;40,00;73,00;21,00;11,00;3,00;14,05;64,86;7,57;21,62
2019-04-28;47,00;55,00;20,00;11,00;4,00;13,89;87,59;7,48;22,43
2019-05-05;39,00;63,00;12,00;10,00;4,00;15,17;73,67;5,42;23,83
2019-05-12;40,00;46,00;19,00;11,00;6,00;12,97;90,81;6,49;22,70
2019-05-19;38,00;51,00;25,00;11,00;7,00;14,11;89,03;8,69;24,97
2019-05-26;44,00;54,00;22,00;12,00;6,00;16,10;83,71;7,51;22,54
2019-06-02;44,00;56,00;14,00;11,00;7,00;18,70;94,60;7,70;26,40
2019-06-09;53,00;72,00;18,00;11,00;5,00;15,14;99,51;7,57;24,88
2019-06-16;47,00;71,00;9,00;15,00;5,00;13,89;83,32;8,55;24,57
2019-06-23;48,00;64,00;17,00;13,00;5,00;17,07;85,33;6,40;26,67
2019-06-30;55,00;76,00;11,00;14,00;7,00;21,57;88,43;6,47;23,73
2019-07-07;50,00;86,00;20,00;14,00;5,00;21,74;105,43;8,70;26,09
2019-07-14;56,00;94,00;12,00;16,00;7,00;19,38;101,23;7,54;24,77
2019-07-21;46,00;75,00;27,00;16,00;10,00;20,81;105,14;7,67;25,19
2019-07-28;63,00;87,00;17,00;16,00;8,00;19,22;81,15;7,47;24,56
2019-08-04;58,00;67,00;17,00;13,00;8,00;17,19;91,30;8,59;21,48
2019-08-11;50,00;52,00;15,00;12,00;10,00;19,57;97,83;7,61;20,65
2019-08-18;44,00;60,00;19,00;10,00;7,00;19,32;84,78;8,59;20,39
2019-08-25;42,00;56,00;15,00;13,00;4,00;15,08;88,31;7,54;21,54
2019-09-01;45,00;61,00;12,00;11,00;5,00;17,56;84,51;8,78;21,95
2019-09-08;36,00;53,00;13,00;14,00;6,00;17,45;93,82;9,82;19,64
2019-09-15;44,00;66,00;19,00;11,00;7,00;15,40;85,80;12,10;22,00
2019-09-22;38,00;55,00;15,00;11,00;4,00;15,20;77,09;9,77;21,71
2019-09-29;42,00;55,00;30,00;10,00;6,00;14,00;75,38;10,77;21,54
2019-10-06;44,00;53,00;14,00;10,00;7,00;17,17;79,41;11,80;21,46
2019-10-13;46,00;58,00;11,00;10,00;4,00;18,62;77,76;15,33;25,19
2019-10-20;43,00;48,00;18,00;13,00;8,00;12,90;77,40;31,18;34,40
2019-10-27;43,00;48,00;17,00;10,00;3,00;12,90;70,95;17,20;24,73
2019-11-03;41,00;50,00;16,00;10,00;6,00;14,03;70,13;9,71;21,58
2019-11-10;36,00;58,00;6,00;9,00;7,00;15,27;66,55;8,73;21,82
2019-11-17;35,00;42,00;10,00;9,00;4,00;16,41;76,56;10,94;22,97
2019-11-24;41,00;52,00;12,00;8,00;5,00;14,03;79,84;8,63;24,82
2019-12-01;37,00;40,00;16,00;11,00;4,00;15,24;75,09;9,79;25,03
2019-12-08;39,00;57,00;11,00;12,00;7,00;15,17;74,75;11,92;22,75
2019-12-15;41,00;56,00;21,00;11,00;7,00;16,18;73,37;12,95;25,89
2019-12-22;39,00;71,00;14,00;11,00;6,00;14,08;85,58;15,17;26,00
2019-12-29;54,00;66,00;5,00;12,00;9,00;15,12;92,88;14,04;27,00
2020-01-05;46,00;80,00;15,00;13,00;7,00;16,05;100,56;13,91;28,88
2020-01-12;45,00;67,00;17,00;11,00;7,00;15,00;107,14;9,64;26,79
2020-01-19;41,00;71,00;15,00;11,00;4,00;14,03;92,79;10,79;29,13
2020-01-26;46,00;67,00;15,00;11,00;6,00;14,98;85,58;9,63;23,53
2020-02-02;50,00;80,00;14,00;10,00;3,00;11,70;94,68;12,77;23,40
2020-02-09;47,00;59,00;19,00;10,00;5,00;10,68;86,52;9,61;23,50
2020-02-16;50,00;65,00;11,00;10,00;5,00;14,13;82,61;9,78;25,00
2020-02-23;43,00;58,00;11,00;9,00;4,00;12,90;81,70;9,68;24,73
2020-03-01;38,00;56,00;12,00;8,00;4,00;12,67;71,78;8,44;25,33
2020-03-08;42,00;49,00;12,00;12,00;7,00;8,62;80,77;14,00;57,08
2020-03-15;19,00;40,00;10,00;7,00;4,00;4,22;42,22;8,44;26,39
2020-03-22;16,00;13,00;4,00;5,00;3,00;2,13;21,33;5,33;13,87
2020-03-29;13,00;13,00;4,00;3,00;2,00;3,25;24,92;5,42;13,00
2020-04-05;11,00;14,00;7,00;4,00;2,00;4,40;15,40;6,60;12,10
2020-04-12;12,00;17,00;7,00;4,00;3,00;4,36;16,36;4,36;10,91
2020-04-19;13,00;10,00;0,00;4,00;2,00;6,50;15,17;5,42;10,83
