Campings;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;15,00;21,00;16,00;8,00;5,00;2,50;75,00;5,00;7,50
2019-01-13;13,00;19,00;8,00;7,00;7,00;2,60;72,80;5,20;5,20
2019-01-20;18,00;13,00;9,00;7,00;7,00;6,00;72,00;6,00;9,00
2019-01-27;21,00;21,00;12,00;10,00;10,00;12,00;54,00;6,00;6,00
2019-02-03;26,00;10,00;18,00;10,00;11,00;11,56;57,78;2,89;5,78
2019-02-10;25,00;15,00;6,00;12,00;10,00;8,33;47,22;5,56;8,33
2019-02-17;29,00;17,00;17,00;11,00;12,00;11,60;66,70;5,80;8,70
2019-02-24;29,00;17,00;17,00;11,00;12,00;14,50;52,20;5,80;5,80
2019-03-03;29,00;11,00;12,00;10,00;14,00;14,50;55,10;5,80;8,70
2019-03-10;30,00;19,00;21,00;12,00;18,00;13,64;57,27;5,45;8,18
2019-03-17;27,00;21,00;21,00;11,00;21,00;10,80;43,20;8,10;10,80
2019-03-24;36,00;30,00;18,00;13,00;18,00;16,62;60,92;8,31;11,08
2019-03-31;24,00;23,00;25,00;8,00;15,00;8,00;72,00;5,33;10,67
2019-04-07;24,00;27,00;16,00;10,00;16,00;5,33;80,00;8,00;10,67
2019-04-14;23,00;35,00;30,00;17,00;22,00;8,63;109,25;11,50;11,50
2019-04-21;22,00;25,00;20,00;12,00;10,00;11,00;112,75;8,25;11,00
2019-04-28;24,00;25,00;16,00;11,00;17,00;8,00;88,00;8,00;13,33
2019-05-05;20,00;15,00;20,00;9,00;16,00;11,43;88,57;8,57;14,29
2019-05-12;20,00;30,00;19,00;10,00;15,00;8,57;102,86;8,57;17,14
2019-05-19;22,00;25,00;23,00;12,00;19,00;8,25;93,50;13,75;22,00
2019-05-26;36,00;35,00;26,00;17,00;22,00;11,08;141,23;11,08;19,38
2019-06-02;33,00;42,00;33,00;17,00;23,00;13,75;134,75;11,00;19,25
2019-06-09;30,00;54,00;17,00;21,00;23,00;16,36;125,45;10,91;21,82
2019-06-16;29,00;47,00;28,00;17,00;25,00;21,09;139,73;10,55;21,09
2019-06-23;41,00;50,00;43,00;16,00;34,00;21,87;150,33;13,67;24,60
2019-06-30;43,00;61,00;36,00;18,00;37,00;18,81;155,88;13,44;24,19
2019-07-07;46,00;80,00;42,00;18,00;41,00;18,94;184,00;13,53;24,35
2019-07-14;55,00;64,00;59,00;20,00;41,00;19,25;214,50;13,75;22,00
2019-07-21;48,00;72,00;50,00;22,00;45,00;18,67;200,00;16,00;21,33
2019-07-28;62,00;63,00;49,00;21,00;52,00;28,18;233,91;16,91;22,55
2019-08-04;67,00;52,00;34,00;18,00;55,00;27,92;198,21;19,54;22,33
2019-08-11;50,00;47,00;31,00;18,00;56,00;25,00;144,44;13,89;16,67
2019-08-18;48,00;61,00;26,00;21,00;37,00;16,94;158,12;16,94;16,94
2019-08-25;31,00;49,00;15,00;15,00;23,00;11,27;109,91;14,09;16,91
2019-09-01;19,00;20,00;10,00;11,00;17,00;8,14;59,71;8,14;13,57
2019-09-08;16,00;20,00;13,00;13,00;12,00;5,33;61,33;8,00;10,67
2019-09-15;13,00;20,00;9,00;9,00;10,00;5,20;49,40;5,20;10,40
2019-09-22;10,00;16,00;17,00;6,00;10,00;6,67;50,00;6,67;13,33
2019-09-29;6,00;12,00;14,00;10,00;6,00;6,00;33,00;6,00;12,00
2019-10-06;5,00;17,00;5,00;7,00;10,00;2,50;32,50;5,00;7,50
2019-10-13;6,00;9,00;8,00;8,00;5,00;3,00;51,00;3,00;9,00
2019-10-20;7,00;11,00;10,00;7,00;5,00;3,50;59,50;7,00;7,00
2019-10-27;5,00;18,00;4,00;3,00;10,00;2,50;37,50;2,50;5,00
2019-11-03;4,00;18,00;8,00;5,00;5,00;2,00;30,00;2,00;4,00
2019-11-10;6,00;12,00;5,00;4,00;6,00;1,50;36,00;3,00;6,00
2019-11-17;6,00;12,00;5,00;6,00;6,00;3,00;36,00;3,00;6,00
2019-11-24;6,00;10,00;9,00;5,00;5,00;1,50;30,00;3,00;3,00
2019-12-01;5,00;14,00;5,00;2,00;5,00;1,25;25,00;2,50;5,00
2019-12-08;5,00;12,00;9,00;3,00;4,00;2,50;37,50;2,50;2,50
2019-12-15;6,00;3,00;1,00;4,00;4,00;3,00;36,00;3,00;3,00
2019-12-22;7,00;20,00;14,00;7,00;3,00;3,50;63,00;3,50;7,00
2019-12-29;13,00;17,00;12,00;7,00;6,00;2,60;67,60;7,80;7,80
2020-01-05;14,00;21,00;11,00;8,00;7,00;5,60;75,60;5,60;8,40
2020-01-12;15,00;21,00;6,00;9,00;7,00;2,50;75,00;7,50;7,50
2020-01-19;16,00;16,00;4,00;8,00;10,00;5,33;69,33;5,33;8,00
2020-01-26;18,00;17,00;11,00;9,00;8,00;3,00;81,00;6,00;9,00
2020-02-02;18,00;15,00;6,00;8,00;8,00;5,14;59,14;5,14;7,71
2020-02-09;17,00;13,00;9,00;7,00;6,00;2,83;53,83;5,67;8,50
2020-02-16;17,00;17,00;10,00;8,00;9,00;5,67;62,33;5,67;8,50
2020-02-23;17,00;8,00;7,00;6,00;10,00;2,83;51,00;5,67;8,50
2020-03-01;14,00;16,00;7,00;6,00;10,00;5,60;44,80;5,60;8,40
2020-03-08;10,00;9,00;8,00;6,00;9,00;1,25;32,50;5,00;7,50
2020-03-15;6,00;6,00;12,00;5,00;4,00;1,50;39,00;3,00;9,00
2020-03-22;6,00;4,00;3,00;3,00;3,00;1,50;51,00;1,50;6,00
2020-03-29;5,00;11,00;7,00;4,00;3,00;1,25;37,50;1,25;5,00
2020-04-05;7,00;10,00;6,00;3,00;2,00;1,17;32,67;2,33;4,67
2020-04-12;6,00;12,00;11,00;5,00;2,00;1,50;39,00;3,00;6,00
