Chambres_hotes;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;25,00;44,00;26,00;11,00;5,00;85,71;25,00;46,43;10,71
2019-01-13;28,00;49,00;27,00;11,00;6,00;91,00;28,00;45,50;7,00
2019-01-20;26,00;60,00;21,00;9,00;8,00;92,86;29,71;48,29;11,14
2019-01-27;31,00;47,00;26,00;14,00;7,00;85,25;23,25;50,38;7,75
2019-02-03;41,00;39,00;27,00;8,00;6,00;82,00;26,09;48,45;11,18
2019-02-10;35,00;40,00;27,00;9,00;8,00;105,00;38,89;46,67;11,67
2019-02-17;39,00;57,00;31,00;9,00;7,00;92,18;31,91;46,09;10,64
2019-02-24;41,00;47,00;32,00;11,00;3,00;96,91;33,55;52,18;7,45
2019-03-03;34,00;46,00;34,00;9,00;8,00;98,22;41,56;49,11;11,33
2019-03-10;41,00;33,00;30,00;7,00;7,00;100,64;22,36;48,45;11,18
2019-03-17;40,00;52,00;15,00;7,00;8,00;98,18;36,36;50,91;10,91
2019-03-24;40,00;26,00;29,00;9,00;9,00;112,73;32,73;50,91;10,91
2019-03-31;35,00;57,00;18,00;11,00;8,00;115,50;42,00;49,00;10,50
2019-04-07;37,00;42,00;20,00;11,00;6,00;133,20;37,00;55,50;11,10
2019-04-14;35,00;47,00;41,00;13,00;7,00;122,50;42,00;56,00;10,50
2019-04-21;40,00;55,00;18,00;10,00;9,00;145,45;40,00;50,91;10,91
2019-04-28;36,00;40,00;27,00;10,00;5,00;133,20;46,80;54,00;10,80
2019-05-05;37,00;46,00;24,00;10,00;3,00;118,40;33,30;59,20;11,10
2019-05-12;35,00;35,00;28,00;10,00;6,00;128,33;38,89;58,33;11,67
2019-05-19;31,00;45,00;19,00;9,00;10,00;106,78;34,44;51,67;10,33
2019-05-26;39,00;51,00;43,00;12,00;6,00;117,00;46,09;67,36;10,64
2019-06-02;41,00;38,00;21,00;15,00;7,00;171,45;41,00;63,36;11,18
2019-06-09;38,00;64,00;32,00;14,00;6,00;186,20;41,80;57,00;15,20
2019-06-16;36,00;68,00;25,00;10,00;7,00;190,80;36,00;61,20;14,40
2019-06-23;40,00;61,00;37,00;9,00;9,00;207,27;43,64;61,82;14,55
2019-06-30;47,00;78,00;27,00;16,00;9,00;213,31;54,23;68,69;14,46
2019-07-07;42,00;82,00;43,00;15,00;11,00;236,73;53,45;72,55;15,27
2019-07-14;52,00;69,00;31,00;13,00;12,00;226,57;63,14;66,86;14,86
2019-07-21;48,00;62,00;54,00;12,00;10,00;247,38;66,46;70,15;14,77
2019-07-28;51,00;55,00;46,00;15,00;8,00;265,93;58,29;69,21;14,57
2019-08-04;52,00;66,00;60,00;15,00;8,00;315,71;70,57;66,86;14,86
2019-08-11;64,00;50,00;27,00;15,00;8,00;338,82;64,00;67,76;15,06
2019-08-18;48,00;97,00;21,00;14,00;7,00;225,23;66,46;73,85;11,08
2019-08-25;43,00;49,00;31,00;13,00;9,00;164,83;35,83;60,92;10,75
2019-09-01;33,00;43,00;17,00;12,00;9,00;143,00;40,33;62,33;11,00
2019-09-08;41,00;57,00;34,00;12,00;5,00;145,36;52,18;59,64;11,18
2019-09-15;32,00;41,00;37,00;11,00;6,00;128,00;42,67;60,44;14,22
2019-09-22;29,00;28,00;19,00;10,00;8,00;112,38;36,25;54,38;10,88
2019-09-29;27,00;48,00;31,00;13,00;3,00;111,86;27,00;61,71;15,43
2019-10-06;26,00;31,00;23,00;10,00;9,00;111,43;44,57;48,29;11,14
2019-10-13;23,00;28,00;13,00;8,00;6,00;118,83;34,50;49,83;11,50
2019-10-20;24,00;42,00;25,00;8,00;7,00;92,57;24,00;41,14;10,29
2019-10-27;23,00;22,00;19,00;7,00;6,00;111,17;34,50;38,33;11,50
2019-11-03;22,00;21,00;14,00;7,00;5,00;95,33;33,00;36,67;11,00
2019-11-10;19,00;17,00;20,00;9,00;3,00;98,80;22,80;34,20;11,40
2019-11-17;20,00;24,00;12,00;9,00;3,00;100,00;20,00;40,00;12,00
2019-11-24;16,00;24,00;17,00;9,00;3,00;88,00;20,00;32,00;12,00
2019-12-01;15,00;22,00;12,00;5,00;7,00;86,25;26,25;33,75;11,25
2019-12-08;19,00;16,00;22,00;6,00;3,00;79,80;22,80;34,20;11,40
2019-12-15;18,00;19,00;19,00;5,00;4,00;75,60;25,20;25,20;10,80
2019-12-22;39,00;36,00;20,00;9,00;6,00;99,27;17,73;42,55;17,73
2019-12-29;19,00;34,00;16,00;8,00;5,00;114,00;34,20;45,60;15,20
2020-01-05;19,00;49,00;19,00;9,00;6,00;91,20;34,20;49,40;15,20
2020-01-12;23,00;41,00;19,00;11,00;7,00;95,83;46,00;49,83;15,33
2020-01-19;24,00;43,00;25,00;12,00;4,00;85,71;27,43;44,57;13,71
2020-01-26;27,00;34,00;22,00;9,00;7,00;88,71;34,71;46,29;15,43
2020-02-02;35,00;51,00;29,00;10,00;8,00;97,22;35,00;50,56;15,56
