Ski;FR;BE;CH;DE;ES;IT;NL;GB;US
2019-01-06;82,00;56,49;103,87;25,51;16,40;24,00;51,00;38,00;18,00
2019-01-13;77,00;55,51;123,56;21,49;16,12;23,00;40,00;29,00;18,00
2019-01-20;77,00;60,50;91,67;16,50;14,67;22,00;32,00;27,00;16,00
2019-01-27;90,00;42,24;110,20;22,04;20,20;16,00;24,00;24,00;15,00
2019-02-03;94,00;37,96;113,88;23,50;23,50;20,00;28,00;23,00;14,00
2019-02-10;96,00;30,79;139,47;19,92;19,92;16,00;25,00;25,00;15,00
2019-02-17;91,00;34,58;118,30;18,20;16,38;18,00;30,00;25,00;14,00
2019-02-24;65,00;45,14;90,28;12,64;16,25;13,00;27,00;18,00;10,00
2019-03-03;56,00;36,13;68,65;12,65;14,45;15,00;24,00;17,00;11,00
2019-03-10;37,00;31,45;59,20;9,25;11,10;12,00;18,00;15,00;9,00
2019-03-17;35,00;23,95;71,84;11,05;7,37;7,00;14,00;12,00;7,00
2019-03-24;23,00;15,92;38,92;5,31;3,54;5,00;8,00;10,00;6,00
2019-03-31;20,00;16,36;36,36;5,45;3,64;7,00;9,00;9,00;4,00
2019-04-07;15,00;11,67;13,33;3,33;6,67;5,00;7,00;12,00;3,00
2019-04-14;17,00;17,00;22,67;1,89;3,78;6,00;4,00;7,00;3,00
2019-04-21;5,00;1,67;10,00;1,67;3,33;5,00;4,00;6,00;2,00
2019-04-28;6,00;10,00;16,00;2,00;4,00;3,00;2,00;5,00;2,00
2019-05-05;6,00;8,00;8,00;1,00;1,00;3,00;3,00;4,00;2,00
2019-05-12;5,00;5,00;1,67;1,67;1,67;1,00;1,00;4,00;2,00
2019-05-19;4,00;8,00;10,00;1,00;1,00;1,00;4,00;4,00;2,00
2019-05-26;5,00;3,33;8,33;0,83;1,67;2,00;5,00;4,00;2,00
2019-06-02;5,00;3,33;5,00;0,83;1,67;3,00;4,00;6,00;2,00
2019-06-09;4,00;10,00;8,00;1,00;2,00;2,00;8,00;6,00;2,00
2019-06-16;5,00;6,67;1,67;0,83;0,83;3,00;3,00;5,00;3,00
2019-06-23;4,00;6,00;12,00;2,00;4,00;3,00;4,00;4,00;2,00
2019-06-30;5,00;8,33;3,33;0,83;3,33;3,00;4,00;3,00;2,00
2019-07-07;7,00;7,00;7,00;1,75;1,75;2,00;8,00;5,00;2,00
2019-07-14;8,00;10,00;6,00;2,00;2,00;1,00;10,00;6,00;3,00
2019-07-21;7,00;10,50;12,25;1,75;3,50;2,00;4,00;6,00;3,00
2019-07-28;11,00;12,83;11,00;1,83;1,83;3,00;9,00;7,00;2,00
2019-08-04;14,00;8,75;12,25;1,75;3,50;5,00;8,00;6,00;3,00
2019-08-11;16,00;17,78;8,89;1,78;1,78;4,00;10,00;10,00;3,00
2019-08-18;12,00;12,00;15,43;3,43;3,43;6,00;17,00;7,00;3,00
2019-08-25;16,00;14,22;10,67;0,89;5,33;5,00;8,00;9,00;4,00
2019-09-01;15,00;28,13;11,25;3,75;1,88;3,00;15,00;11,00;4,00
2019-09-08;17,00;22,67;15,11;3,78;3,78;6,00;15,00;9,00;4,00
2019-09-15;17,00;26,44;9,44;3,78;1,89;5,00;12,00;10,00;4,00
2019-09-22;18,00;23,40;3,60;3,60;7,20;3,00;16,00;11,00;4,00
2019-09-29;19,00;25,91;15,55;3,45;1,73;4,00;15,00;13,00;5,00
2019-10-06;20,00;29,09;16,36;5,45;3,64;3,00;23,00;12,00;6,00
2019-10-13;23,00;26,54;17,69;7,08;3,54;6,00;17,00;12,00;5,00
2019-10-20;26,00;18,57;22,29;5,57;3,71;6,00;17,00;13,00;6,00
