Paris;DE;BE;CH;ES;FR;IT;NL;GB;US
2019-04-21;21,00;31,50;36,75;28,88;223,13;38,00;31,00;17,00;8,00
2019-04-28;16,00;32,00;34,67;26,67;218,67;36,00;32,00;19,00;8,00
2019-05-05;18,00;30,86;33,43;33,43;200,57;33,00;19,00;22,00;9,00
2019-05-12;16,00;29,33;29,33;29,33;210,67;28,00;23,00;21,00;9,00
2019-05-19;16,00;34,67;34,67;32,00;210,67;27,00;23,00;22,00;10,00
2019-05-26;14,00;37,33;37,33;23,33;196,00;27,00;30,00;18,00;10,00
2019-06-02;20,00;45,00;35,00;25,00;212,50;29,00;22,00;20,00;9,00
2019-06-09;18,00;36,00;36,00;28,29;228,86;32,00;23,00;25,00;9,00
2019-06-16;19,00;38,00;35,29;32,57;257,86;32,00;24,00;24,00;9,00
2019-06-23;18,00;41,14;25,71;30,86;257,14;34,00;24,00;27,00;10,00
2019-06-30;16,00;56,00;37,33;32,00;250,67;31,00;25,00;22,00;9,00
2019-07-07;19,00;46,14;40,71;35,29;247,00;32,00;28,00;25,00;9,00
2019-07-14;19,00;48,86;38,00;35,29;247,00;36,00;30,00;25,00;8,00
2019-07-21;16,00;58,67;42,67;34,67;256,00;40,00;30,00;26,00;8,00
2019-07-28;19,00;46,14;51,57;38,00;266,00;34,00;36,00;27,00;8,00
2019-08-04;17,00;36,43;29,14;34,00;242,86;42,00;29,00;24,00;8,00
2019-08-11;17,00;48,57;36,43;34,00;242,86;36,00;31,00;23,00;7,00
2019-08-18;18,00;36,00;33,43;33,43;234,00;38,00;32,00;21,00;8,00
2019-08-25;16,00;32,00;34,67;34,67;232,00;33,00;17,00;23,00;7,00
2019-09-01;20,00;30,00;42,50;30,00;215,00;41,00;22,00;22,00;9,00
2019-09-08;18,00;36,00;36,00;33,43;223,71;34,00;25,00;26,00;9,00
2019-09-15;17,00;36,43;46,14;31,57;201,57;40,00;28,00;27,00;9,00
2019-09-22;20,00;40,00;42,50;32,50;212,50;38,00;27,00;23,00;9,00
2019-09-29;21,00;44,63;44,63;39,38;225,75;40,00;20,00;23,00;8,00
2019-10-06;18,00;25,71;48,86;33,43;218,57;37,00;29,00;27,00;8,00
2019-10-13;19,00;46,14;43,43;27,14;238,86;39,00;32,00;23,00;8,00
2019-10-20;17,00;46,14;41,29;26,71;223,43;39,00;30,00;26,00;7,00
2019-10-27;16,00;66,67;42,67;40,00;242,67;100,00;21,00;21,00;7,00
2019-11-03;13,00;49,40;44,20;33,80;215,80;45,00;21,00;21,00;8,00
2019-11-10;13,00;59,80;36,40;31,20;200,20;42,00;24,00;21,00;8,00
2019-11-17;12,00;31,20;36,00;26,40;180,00;39,00;27,00;19,00;8,00
2019-11-24;15,00;30,00;32,50;32,50;190,00;41,00;18,00;18,00;7,00
2019-12-01;14,00;30,80;30,80;33,60;207,20;44,00;29,00;20,00;8,00
2019-12-08;15,00;22,50;27,50;22,50;187,50;33,00;27,00;18,00;8,00
2019-12-15;17,00;38,86;38,86;19,43;194,29;37,00;22,00;21,00;8,00
2019-12-22;20,00;42,50;42,50;27,50;212,50;39,00;29,00;22,00;10,00
2019-12-29;19,00;40,71;35,29;29,86;241,57;53,00;28,00;25,00;10,00
2020-01-05;17,00;36,43;31,57;31,57;184,57;43,00;35,00;25,00;11,00
2020-01-12;17,00;41,29;41,29;34,00;179,71;39,00;28,00;28,00;12,00
2020-01-19;16,00;45,33;34,67;29,33;202,67;39,00;24,00;26,00;11,00
