Semaine;Chamonix (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-06-23;28,00;0,00;0,00;9,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;60,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;9,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-07-07;38,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;5,00;5,00;0,00;0,00;9,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-14;15,00;0,00;0,00;10,00;0,00;0,00;10,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;19,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-21;41,00;0,00;0,00;10,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;10,00;5,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;37,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;9,00;0,00;0,00;0,00;4,00;0,00;14,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-11;31,00;0,00;0,00;13,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;22,00;9,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-08-18;9,00;0,00;9,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;17,00;0,00;13,00;0,00;4,00;0,00;9,00;9,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;26,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;26,00;0,00;4,00;0,00;4,00;0,00;17,00;13,00;4,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-01;26,00;0,00;0,00;8,00;0,00;4,00;8,00;0,00;0,00;0,00;8,00;25,00;0,00;4,00;0,00;8,00;0,00;13,00;13,00;4,00;17,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-09-08;30,00;4,00;0,00;0,00;0,00;4,00;4,00;4,00;0,00;0,00;4,00;17,00;0,00;0,00;0,00;4,00;0,00;34,00;17,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;47,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;17,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
