Semaine;Nice (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2020-05-24;15,00;21,00;12,00;14,00;8,00;4,00;7,00;3,00;0,00
2020-05-31;24,00;22,00;16,00;17,00;12,00;8,00;4,00;6,00;1,00
2020-06-07;22,00;19,00;12,00;1,00;4,00;13,00;4,00;1,00;1,00
2020-06-14;39,00;28,00;5,00;8,00;13,00;5,00;2,00;5,00;8,00
2020-06-21;35,00;21,00;6,00;13,00;6,00;5,00;5,00;2,00;3,00
2020-06-28;28,00;18,00;10,00;8,00;10,00;6,00;6,00;2,00;2,00
2020-07-05;24,00;14,00;13,00;13,00;8,00;6,00;9,00;6,00;0,00
2020-07-12;25,00;12,00;14,00;15,00;5,00;7,00;54,00;5,00;0,00
2020-07-19;17,00;8,00;5,00;8,00;12,00;2,00;33,00;3,00;0,00
2020-07-26;32,00;17,00;12,00;20,00;12,00;7,00;15,00;7,00;0,00
2020-08-02;20,00;13,00;12,00;15,00;7,00;3,00;2,00;2,00;0,00
2020-08-09;34,00;24,00;17,00;13,00;3,00;7,00;13,00;3,00;5,00
2020-08-16;28,00;10,00;15,00;17,00;13,00;13,00;7,00;7,00;2,00
2020-08-23;22,00;30,00;17,00;25,00;5,00;7,00;13,00;0,00;2,00
2020-08-30;20,00;11,00;22,00;16,00;3,00;3,00;6,00;6,00;2,00
2020-09-06;33,00;11,00;18,00;20,00;10,00;10,00;2,00;0,00;2,00
2020-09-13;23,00;21,00;8,00;15,00;15,00;18,00;10,00;3,00;2,00
2020-09-20;11,00;15,00;16,00;16,00;8,00;8,00;5,00;2,00;0,00
2020-09-27;30,00;10,00;7,00;17,00;12,00;10,00;7,00;3,00;2,00
2020-10-04;26,00;12,00;7,00;12,00;8,00;5,00;10,00;0,00;3,00
2020-10-11;7,00;22,00;16,00;9,00;5,00;13,00;15,00;4,00;4,00
2020-10-18;33,00;19,00;11,00;18,00;7,00;7,00;9,00;5,00;0,00
2020-10-25;37,00;11,00;9,00;11,00;13,00;2,00;5,00;5,00;2,00
2020-11-01;18,00;20,00;11,00;13,00;5,00;8,00;6,00;3,00;0,00
2020-11-08;12,00;20,00;9,00;10,00;5,00;2,00;0,00;2,00;0,00
2020-11-15;16,00;14,00;12,00;12,00;5,00;5,00;7,00;5,00;2,00
2020-11-22;33,00;7,00;15,00;9,00;5,00;3,00;3,00;2,00;3,00
2020-11-29;22,00;12,00;5,00;14,00;7,00;2,00;5,00;0,00;2,00
2020-12-06;11,00;14,00;3,00;12,00;7,00;2,00;3,00;5,00;0,00
2020-12-13;22,00;17,00;7,00;9,00;14,00;3,00;5,00;0,00;0,00
2020-12-20;21,00;15,00;6,00;13,00;15,00;6,00;2,00;2,00;0,00
2020-12-27;22,00;16,00;13,00;11,00;11,00;4,00;2,00;0,00;2,00
2021-01-03;20,00;10,00;8,00;3,00;3,00;11,00;3,00;0,00;2,00
2021-01-10;21,00;7,00;10,00;7,00;2,00;2,00;7,00;2,00;0,00
2021-01-17;22,00;13,00;15,00;14,00;10,00;5,00;2,00;3,00;3,00
2021-01-24;14,00;10,00;13,00;17,00;5,00;3,00;5,00;2,00;2,00
2021-01-31;16,00;8,00;8,00;14,00;5,00;5,00;7,00;0,00;0,00
2021-02-07;14,00;7,00;19,00;12,00;7,00;7,00;2,00;5,00;0,00
2021-02-14;16,00;8,00;10,00;17,00;5,00;2,00;5,00;0,00;0,00
2021-02-21;11,00;9,00;7,00;18,00;3,00;5,00;2,00;3,00;0,00
2021-02-28;11,00;8,00;22,00;17,00;3,00;7,00;0,00;3,00;0,00
2021-03-07;19,00;14,00;7,00;23,00;3,00;3,00;2,00;2,00;3,00
2021-03-14;22,00;16,00;12,00;10,00;5,00;7,00;3,00;2,00;0,00
2021-03-21;11,00;7,00;12,00;9,00;7,00;0,00;3,00;0,00;0,00
2021-03-28;12,00;9,00;5,00;12,00;0,00;3,00;10,00;2,00;2,00
2021-04-04;5,00;14,00;3,00;12,00;3,00;5,00;2,00;2,00;2,00
2021-04-11;9,00;7,00;5,00;5,00;3,00;5,00;2,00;3,00;2,00
2021-04-18;12,00;5,00;7,00;15,00;7,00;5,00;3,00;2,00;2,00
2021-04-25;12,00;5,00;7,00;5,00;0,00;5,00;0,00;2,00;3,00
2021-05-02;14,00;12,00;3,00;17,00;5,00;8,00;0,00;2,00;0,00
2021-05-09;14,00;7,00;11,00;11,00;5,00;5,00;2,00;3,00;3,00
2021-05-16;14,00;10,00;10,00;16,00;7,00;5,00;2,00;2,00;2,00
2021-05-23;18,00;10,00;10,00;26,00;9,00;2,00;3,00;2,00;0,00
2021-05-30;23,00;22,00;5,00;12,00;2,00;2,00;5,00;3,00;2,00
2021-06-06;27,00;22,00;21,00;14,00;0,00;7,00;3,00;3,00;0,00
2021-06-13;23,00;12,00;10,00;19,00;9,00;7,00;7,00;5,00;3,00
2021-06-20;44,00;25,00;2,00;22,00;2,00;5,00;7,00;12,00;0,00
2021-06-27;35,00;26,00;9,00;16,00;2,00;7,00;7,00;7,00;5,00
2021-07-04;28,00;20,00;14,00;22,00;5,00;7,00;2,00;2,00;4,00
2021-07-11;15,00;25,00;18,00;46,00;11,00;5,00;13,00;5,00;0,00
2021-07-18;27,00;13,00;23,00;39,00;17,00;9,00;2,00;0,00;0,00
2021-07-25;24,00;16,00;15,00;31,00;6,00;5,00;4,00;2,00;0,00
2021-08-01;42,00;15,00;17,00;24,00;9,00;7,00;4,00;0,00;2,00
2021-08-08;32,00;11,00;11,00;26,00;13,00;2,00;7,00;0,00;2,00
2021-08-15;30,00;16,00;13,00;26,00;11,00;5,00;4,00;11,00;0,00
2021-08-22;25,00;26,00;8,00;17,00;8,00;4,00;2,00;0,00;2,00
2021-08-29;25,00;20,00;17,00;21,00;6,00;6,00;0,00;6,00;2,00
2021-09-05;18,00;15,00;12,00;21,00;10,00;6,00;13,00;2,00;2,00
2021-09-12;38,00;20,00;13,00;17,00;13,00;6,00;6,00;5,00;0,00
2021-09-19;21,00;13,00;17,00;20,00;7,00;9,00;5,00;5,00;2,00
2021-09-26;34,00;20,00;8,00;28,00;4,00;4,00;4,00;0,00;4,00
2021-10-03;32,00;13,00;21,00;13,00;15,00;2,00;6,00;2,00;2,00
2021-10-10;29,00;15,00;10,00;25,00;6,00;6,00;4,00;0,00;0,00
2021-10-17;33,00;20,00;11,00;19,00;4,00;4,00;4,00;0,00;0,00
2021-10-24;30,00;20,00;19,00;21,00;4,00;11,00;0,00;2,00;2,00
2021-10-31;27,00;9,00;9,00;17,00;4,00;2,00;2,00;0,00;0,00
2021-11-07;26,00;16,00;6,00;11,00;7,00;7,00;9,00;2,00;0,00
2021-11-14;18,00;21,00;20,00;18,00;2,00;7,00;9,00;2,00;2,00
2021-11-21;18,00;16,00;11,00;19,00;5,00;9,00;9,00;3,00;2,00
2021-11-28;18,00;12,00;9,00;5,00;7,00;4,00;5,00;2,00;0,00
2021-12-05;28,00;16,00;4,00;7,00;7,00;2,00;7,00;0,00;2,00
2021-12-12;30,00;14,00;13,00;18,00;5,00;5,00;5,00;2,00;4,00
2021-12-19;14,00;21,00;13,00;10,00;4,00;6,00;0,00;0,00;0,00
2021-12-26;25,00;15,00;6,00;9,00;7,00;4,00;4,00;4,00;2,00
2022-01-02;24,00;14,00;11,00;11,00;5,00;9,00;2,00;2,00;2,00
2022-01-09;37,00;14,00;14,00;17,00;3,00;15,00;0,00;2,00;3,00
2022-01-16;35,00;32,00;11,00;16,00;13,00;14,00;2,00;7,00;2,00
2022-01-23;47,00;16,00;9,00;19,00;9,00;9,00;3,00;3,00;0,00
2022-01-30;32,00;18,00;11,00;15,00;15,00;7,00;11,00;4,00;4,00
2022-02-06;35,00;12,00;16,00;20,00;11,00;9,00;7,00;2,00;2,00
2022-02-13;48,00;30,00;11,00;33,00;4,00;7,00;2,00;9,00;0,00
2022-02-20;45,00;13,00;16,00;18,00;15,00;11,00;11,00;4,00;4,00
2022-02-27;38,00;37,00;23,00;29,00;11,00;27,00;12,00;7,00;4,00
2022-03-06;50,00;35,00;20,00;38,00;9,00;9,00;13,00;4,00;2,00
2022-03-13;46,00;30,00;20,00;40,00;11,00;5,00;5,00;10,00;2,00
2022-03-20;41,00;18,00;20,00;40,00;15,00;11,00;13,00;5,00;2,00
2022-03-27;55,00;35,00;17,00;32,00;10,00;7,00;12,00;15,00;0,00
2022-04-03;75,00;36,00;37,00;32,00;24,00;11,00;10,00;5,00;3,00
2022-04-10;57,00;39,00;16,00;33,00;14,00;10,00;7,00;7,00;2,00
2022-04-17;76,00;37,00;15,00;36,00;12,00;7,00;17,00;2,00;5,00
2022-04-24;61,00;33,00;12,00;41,00;11,00;14,00;9,00;9,00;0,00
2022-05-01;62,00;29,00;16,00;25,00;19,00;5,00;10,00;9,00;2,00
2022-05-08;59,00;42,00;16,00;43,00;14,00;12,00;9,00;4,00;4,00
2022-05-15;77,00;40,00;19,00;33,00;14,00;8,00;9,00;7,00;0,00
2022-05-22;82,00;57,00;24,00;37,00;9,00;11,00;11,00;5,00;0,00
2022-05-29;77,00;46,00;33,00;36,00;18,00;14,00;5,00;4,00;2,00
2022-06-05;53,00;67,00;35,00;39,00;17,00;9,00;6,00;7,00;5,00
2022-06-12;82,00;66,00;33,00;24,00;16,00;11,00;18,00;5,00;0,00
2022-06-19;76,00;53,00;22,00;30,00;13,00;4,00;7,00;2,00;7,00
2022-06-26;42,00;38,00;14,00;60,00;14,00;7,00;7,00;2,00;4,00
