Semaine;Nice (FR);Biarritz (FR);Ars en Ré (FR);Saint Malo (FR);Le Cap d Agde (FR);Palavas les Flots (FR);Argelès sur Mer (FR);Carnac (FR);Arcachon (FR);Fréjus (FR);Cannes (FR);Antibes (FR);Le Touquet (BE);Le Barcarès (FR);Deauville (FR);Porto Vecchio (FR);Lacanau (FR);Le Grau du Roi (FR);Cap Ferret (FR);Biscarrosse (FR);La Baule Escoublac (FR)
2019-08-18;69,00;230,00;0,00;25,30;4,60;0,00;2,00;0,00;0,00;4,00;6,00;12,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;73,00;193,91;4,56;29,66;2,28;2,00;0,00;0,00;0,00;2,00;11,00;15,00;0,00;2,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00
2019-09-01;71,00;18,32;2,29;4,58;0,00;4,00;0,00;0,00;2,00;4,00;9,00;6,00;2,00;0,00;4,00;4,00;2,00;0,00;0,00;0,00;0,00
2019-09-08;67,00;23,10;4,62;23,10;4,62;0,00;0,00;2,00;2,00;2,00;14,00;18,00;0,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
2019-09-15;85,00;20,68;2,30;11,49;4,59;3,00;0,00;2,00;2,00;0,00;4,00;2,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;62,00;18,37;4,59;20,67;0,00;0,00;0,00;3,00;2,00;3,00;14,00;11,00;0,00;0,00;3,00;2,00;2,00;0,00;0,00;2,00;0,00
2019-09-29;67,00;18,48;2,31;18,48;0,00;2,00;0,00;7,00;2,00;0,00;12,00;5,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;55,00;11,46;2,29;20,63;2,29;2,00;0,00;3,00;0,00;3,00;2,00;11,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;53,00;16,13;0,00;23,04;4,61;0,00;0,00;4,00;2,00;5,00;5,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2019-10-20;44,00;4,63;2,32;4,63;4,63;0,00;2,00;3,00;0,00;2,00;10,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00
2019-10-27;46,00;13,80;4,60;11,50;2,30;2,00;0,00;2,00;0,00;0,00;5,00;11,00;0,00;0,00;7,00;2,00;0,00;0,00;0,00;0,00;2,00
2019-11-03;43,00;15,84;0,00;11,32;2,26;0,00;0,00;2,00;2,00;0,00;12,00;10,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-10;51,00;16,23;0,00;11,59;2,32;0,00;0,00;2,00;0,00;2,00;5,00;5,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;51,00;11,59;2,32;4,64;0,00;0,00;0,00;2,00;0,00;2,00;19,00;10,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;56,00;9,33;2,33;9,33;0,00;0,00;0,00;2,00;3,00;0,00;14,00;5,00;2,00;2,00;2,00;3,00;2,00;3,00;0,00;0,00;2,00
2019-12-01;63,00;18,00;2,25;9,00;0,00;3,00;0,00;2,00;0,00;2,00;7,00;7,00;0,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;35,00;11,67;4,67;4,67;4,67;0,00;0,00;2,00;0,00;5,00;14,00;2,00;3,00;2,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;49,00;9,33;0,00;14,00;7,00;2,00;2,00;0,00;2,00;0,00;13,00;5,00;0,00;2,00;2,00;5,00;2,00;0,00;0,00;0,00;0,00
