Semaine;Nice (FR);Marseille (FR);Bordeaux (FR);Tours (FR);Toulouse (FR);Montpellier (FR);Nantes (FR);Avignon (FR);Dijon (FR)
2020-05-24;10,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00
2020-05-31;2,00;3,00;2,00;3,00;0,00;0,00;0,00;0,00;2,00
2020-06-07;8,00;5,00;0,00;5,00;3,00;0,00;0,00;0,00;2,00
2020-06-14;11,00;0,00;0,00;2,00;0,00;2,00;2,00;7,00;0,00
2020-06-21;25,00;4,00;2,00;0,00;7,00;4,00;2,00;2,00;0,00
2020-06-28;29,00;5,00;2,00;2,00;9,00;3,00;2,00;3,00;0,00
2020-07-05;58,00;4,00;4,00;4,00;5,00;4,00;0,00;2,00;2,00
2020-07-12;20,00;2,00;4,00;4,00;6,00;4,00;8,00;2,00;0,00
2020-07-19;26,00;0,00;4,00;2,00;0,00;4,00;18,00;2,00;0,00
2020-07-26;27,00;10,00;2,00;4,00;6,00;2,00;6,00;4,00;0,00
2020-08-02;13,00;8,00;0,00;2,00;4,00;4,00;0,00;0,00;0,00
2020-08-09;25,00;2,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00
2020-08-16;14,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2020-08-23;17,00;2,00;2,00;2,00;0,00;2,00;0,00;2,00;0,00
2020-08-30;21,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2020-09-06;12,00;2,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00
2020-09-13;7,00;2,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-09-20;5,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00
2020-09-27;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,00
2020-10-04;7,00;0,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00
2020-10-11;6,00;2,00;0,00;8,00;0,00;0,00;2,00;0,00;0,00
2020-10-18;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2020-10-25;9,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-11-01;2,00;0,00;0,00;2,00;2,00;0,00;0,00;2,00;0,00
2020-11-08;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-11-15;4,00;0,00;2,00;2,00;0,00;0,00;0,00;0,00;2,00
2020-11-22;5,00;2,00;2,00;0,00;2,00;0,00;2,00;2,00;2,00
2020-11-29;9,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2020-12-06;5,00;0,00;0,00;2,00;0,00;2,00;2,00;0,00;0,00
2020-12-13;5,00;4,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00
2020-12-20;7,00;0,00;0,00;2,00;0,00;0,00;0,00;2,00;0,00
2020-12-27;8,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00;0,00
2021-01-03;2,00;7,00;2,00;5,00;6,00;2,00;0,00;2,00;0,00
2021-01-10;5,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-17;5,00;0,00;0,00;0,00;2,00;0,00;2,00;2,00;0,00
2021-01-24;6,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-01-31;9,00;0,00;0,00;2,00;0,00;2,00;0,00;0,00;0,00
2021-02-07;0,00;0,00;0,00;0,00;2,00;2,00;0,00;0,00;0,00
2021-02-14;14,00;2,00;0,00;0,00;0,00;0,00;2,00;0,00;0,00
2021-02-21;4,00;0,00;2,00;0,00;0,00;2,00;2,00;0,00;0,00
2021-02-28;6,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-03-07;7,00;4,00;2,00;2,00;0,00;2,00;2,00;0,00;0,00
2021-03-14;4,00;0,00;2,00;0,00;0,00;2,00;0,00;2,00;0,00
2021-03-21;9,00;0,00;4,00;0,00;0,00;0,00;2,00;0,00;0,00
2021-03-28;6,00;2,00;0,00;4,00;0,00;0,00;2,00;0,00;0,00
2021-04-04;6,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2021-04-11;11,00;2,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2021-04-18;12,00;0,00;0,00;0,00;2,00;4,00;2,00;0,00;0,00
2021-04-25;20,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;13,00;0,00;0,00;0,00;0,00;2,00;2,00;2,00;0,00
2021-05-09;12,00;2,00;0,00;6,00;2,00;4,00;0,00;2,00;0,00
2021-05-16;17,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;24,00;4,00;4,00;0,00;0,00;2,00;0,00;0,00;0,00
2021-05-30;18,00;4,00;4,00;2,00;2,00;4,00;0,00;4,00;6,00
2021-06-06;24,00;4,00;6,00;0,00;0,00;8,00;4,00;2,00;0,00
2021-06-13;35,00;4,00;4,00;2,00;0,00;2,00;0,00;0,00;0,00
2021-06-20;42,00;2,00;2,00;0,00;4,00;4,00;2,00;6,00;0,00
2021-06-27;47,00;2,00;0,00;6,00;6,00;4,00;2,00;0,00;0,00
2021-07-04;58,00;8,00;2,00;6,00;0,00;6,00;0,00;2,00;2,00
2021-07-11;56,00;13,00;0,00;2,00;0,00;11,00;0,00;0,00;0,00
2021-07-18;47,00;7,00;2,00;0,00;5,00;0,00;0,00;0,00;2,00
2021-07-25;54,00;2,00;2,00;4,00;0,00;6,00;4,00;0,00;2,00
2021-08-01;36,00;2,00;2,00;4,00;2,00;6,00;0,00;0,00;0,00
2021-08-08;27,00;0,00;0,00;4,00;2,00;4,00;0,00;0,00;0,00
2021-08-15;20,00;2,00;2,00;0,00;0,00;2,00;2,00;6,00;0,00
2021-08-22;22,00;6,00;0,00;2,00;0,00;2,00;2,00;0,00;2,00
2021-08-29;31,00;13,00;4,00;0,00;4,00;6,00;2,00;0,00;0,00
2021-09-05;29,00;0,00;0,00;2,00;2,00;2,00;0,00;0,00;0,00
2021-09-12;11,00;2,00;2,00;2,00;0,00;0,00;2,00;2,00;0,00
2021-09-19;35,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-26;22,00;8,00;6,00;0,00;2,00;6,00;2,00;2,00;0,00
2021-10-03;22,00;4,00;2,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-10;27,00;2,00;0,00;11,00;0,00;4,00;0,00;0,00;0,00
2021-10-17;27,00;9,00;0,00;0,00;0,00;2,00;0,00;0,00;0,00
2021-10-24;13,00;0,00;2,00;4,00;0,00;4,00;0,00;0,00;0,00
2021-10-31;7,00;0,00;2,00;0,00;0,00;4,00;0,00;0,00;0,00
2021-11-07;6,00;2,00;0,00;6,00;0,00;2,00;0,00;0,00;0,00
2021-11-14;12,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-11-21;4,00;4,00;0,00;2,00;0,00;0,00;4,00;2,00;0,00
2021-11-28;14,00;2,00;2,00;0,00;0,00;2,00;0,00;0,00;0,00
2021-12-05;4,00;2,00;0,00;2,00;0,00;0,00;0,00;0,00;0,00
2021-12-12;2,00;2,00;2,00;0,00;0,00;0,00;2,00;0,00;0,00
2021-12-19;8,00;2,00;0,00;0,00;0,00;0,00;0,00;2,00;0,00
2021-12-26;28,00;5,00;2,00;2,00;0,00;0,00;0,00;0,00;0,00
2022-01-02;26,00;4,00;2,00;2,00;0,00;0,00;4,00;2,00;0,00
2022-01-09;26,00;4,00;11,00;2,00;0,00;0,00;2,00;2,00;0,00
