Semaine;Tahiti (PF);Guadeloupe (GP);Martinique (LC);Réunion (RE);Guyane (GF);St Barthélémy (BL);Mayotte (YT);Saint Martin (ile d Amérique du nord) (MF);Nouvelle Caledonie (NC)
2020-05-17;69,00;7,96;7,96;34,50;0,00;0,00;8,00;0,00;8,00
2020-05-24;17,00;0,00;0,00;7,85;0,00;8,00;8,00;8,00;8,00
2020-05-31;59,00;24,91;7,87;32,78;7,87;0,00;0,00;0,00;0,00
2020-06-07;62,00;9,23;9,23;0,00;0,00;0,00;9,00;9,00;0,00
2020-06-14;28,00;0,00;37,33;37,33;0,00;18,00;0,00;0,00;9,00
2020-06-21;18,00;9,00;16,71;34,71;0,00;0,00;0,00;0,00;9,00
2020-06-28;26,00;16,90;0,00;24,70;0,00;0,00;0,00;0,00;17,00
2020-07-05;27,00;54,00;9,45;27,00;0,00;17,00;9,00;0,00;9,00
2020-07-12;29,00;38,23;9,23;38,23;9,23;0,00;0,00;0,00;0,00
2020-07-19;38,00;9,17;0,00;27,52;0,00;0,00;9,00;0,00;28,00
2020-07-26;19,00;19,00;0,00;39,36;9,50;9,00;18,00;0,00;18,00
2020-08-02;76,00;47,17;0,00;9,17;0,00;9,00;0,00;0,00;0,00
2020-08-09;56,00;9,12;18,23;27,35;0,00;28,00;0,00;0,00;9,00
2020-08-16;28,00;28,00;0,00;37,33;0,00;18,00;0,00;0,00;9,00
2020-08-23;53,00;26,50;9,28;43,73;0,00;9,00;9,00;0,00;0,00
2020-08-30;26,00;9,10;0,00;26,00;0,00;17,00;0,00;0,00;8,00
2020-09-06;9,00;39,00;19,50;39,00;19,50;25,00;0,00;0,00;8,00
2020-09-13;26,00;16,90;33,80;50,70;0,00;0,00;0,00;0,00;8,00
2020-09-20;62,00;34,30;9,23;9,23;0,00;17,00;0,00;0,00;0,00
2020-09-27;9,00;25,71;0,00;34,71;0,00;0,00;0,00;9,00;9,00
2020-10-04;55,00;46,95;18,78;45,61;0,00;18,00;0,00;0,00;27,00
2020-10-11;20,00;30,67;0,00;20,00;0,00;10,00;0,00;10,00;0,00
2020-10-18;38,00;39,31;9,17;9,17;0,00;19,00;0,00;0,00;0,00
2020-10-25;19,00;0,00;0,00;9,50;0,00;28,00;9,00;28,00;0,00
2020-11-01;35,00;18,15;0,00;25,93;0,00;0,00;0,00;0,00;0,00
2020-11-08;37,00;38,32;0,00;27,75;0,00;18,00;0,00;0,00;0,00
2020-11-15;18,00;18,00;0,00;0,00;0,00;27,00;9,00;0,00;9,00
2020-11-22;18,00;9,69;0,00;9,69;0,00;9,00;0,00;0,00;0,00
2020-11-29;36,00;0,00;9,00;9,00;0,00;27,00;0,00;0,00;0,00
2020-12-06;18,00;0,00;27,00;0,00;9,00;46,00;0,00;0,00;0,00
2020-12-13;37,00;18,50;0,00;100,43;9,25;27,00;0,00;0,00;9,00
2020-12-20;40,00;20,00;40,00;120,00;0,00;10,00;0,00;0,00;0,00
2020-12-27;67,00;39,41;19,71;47,29;0,00;57,00;19,00;19,00;10,00
2021-01-03;66,00;18,48;9,24;18,48;0,00;28,00;0,00;19,00;0,00
2021-01-10;9,00;37,29;18,00;18,00;0,00;0,00;9,00;0,00;0,00
2021-01-17;18,00;9,00;0,00;36,00;0,00;18,00;0,00;0,00;0,00
2021-01-24;27,00;9,00;9,00;0,00;0,00;0,00;0,00;18,00;9,00
2021-01-31;9,00;9,00;9,00;0,00;0,00;9,00;0,00;9,00;0,00
2021-02-07;0,00;0,00;7,00;29,00;0,00;0,00;0,00;0,00;0,00
2021-02-14;47,00;37,86;9,14;0,00;0,00;0,00;0,00;0,00;9,00
2021-02-21;46,00;9,20;9,20;36,80;0,00;18,00;0,00;0,00;0,00
2021-02-28;28,00;0,00;0,00;46,67;0,00;0,00;9,00;9,00;0,00
2021-03-07;9,00;37,29;9,00;81,00;0,00;0,00;9,00;9,00;9,00
2021-03-14;35,00;18,15;0,00;59,63;0,00;0,00;9,00;9,00;0,00
2021-03-21;37,00;18,50;0,00;27,75;0,00;0,00;9,00;9,00;18,00
2021-03-28;38,00;28,83;0,00;9,17;0,00;0,00;10,00;0,00;0,00
2021-04-04;65,00;18,57;0,00;46,43;0,00;9,00;0,00;0,00;0,00
2021-04-11;28,00;9,33;0,00;9,33;0,00;9,00;9,00;0,00;9,00
2021-04-18;18,00;18,00;9,00;36,00;9,00;0,00;9,00;9,00;9,00
2021-04-25;28,00;9,33;28,00;46,67;0,00;18,00;0,00;0,00;9,00
2021-05-02;27,00;18,00;9,00;43,71;0,00;9,00;0,00;9,00;9,00
2021-05-09;9,00;37,29;9,00;37,29;9,00;0,00;0,00;0,00;0,00
2021-05-16;46,00;18,40;0,00;18,40;9,20;27,00;0,00;0,00;0,00
2021-05-23;19,00;9,50;9,50;19,00;0,00;0,00;9,00;9,00;9,00
2021-05-30;59,00;19,67;19,67;28,84;0,00;0,00;0,00;0,00;0,00
2021-06-06;39,00;0,00;0,00;19,50;0,00;10,00;0,00;10,00;10,00
2021-06-13;29,00;29,00;0,00;29,00;0,00;29,00;0,00;10,00;10,00
2021-06-20;30,00;20,45;0,00;40,91;0,00;29,00;10,00;10,00;0,00
2021-06-27;47,00;19,58;0,00;36,56;0,00;19,00;0,00;0,00;0,00
2021-07-04;58,00;29,00;9,23;19,77;0,00;29,00;0,00;10,00;0,00
2021-07-11;82,00;10,58;10,58;30,42;0,00;20,00;20,00;0,00;0,00
2021-07-18;32,00;42,24;32,00;20,48;0,00;11,00;0,00;11,00;21,00
2021-07-25;59,00;19,67;19,67;87,84;0,00;10,00;0,00;0,00;0,00
2021-08-01;60,00;52,00;0,00;40,00;0,00;30,00;10,00;0,00;10,00
2021-08-08;48,00;19,46;28,54;37,62;0,00;10,00;19,00;10,00;19,00
2021-08-15;96,00;39,45;9,21;38,14;0,00;0,00;0,00;10,00;0,00
2021-08-22;92,00;40,74;19,71;0,00;0,00;0,00;10,00;0,00;0,00
2021-08-29;51,00;30,87;20,13;10,74;0,00;30,00;20,00;10,00;0,00
2021-09-05;41,00;21,16;21,16;30,42;0,00;31,00;0,00;0,00;0,00
2021-09-12;20,00;21,33;0,00;41,33;0,00;10,00;10,00;0,00;0,00
2021-09-19;0,00;16,00;8,00;15,00;0,00;0,00;0,00;10,00;10,00
2021-09-26;41,00;21,16;10,58;21,16;0,00;10,00;0,00;10,00;0,00
2021-10-03;62,00;0,00;0,00;10,55;0,00;21,00;0,00;0,00;0,00
2021-10-10;63,00;21,00;10,50;10,50;10,50;10,00;0,00;0,00;0,00
2021-10-17;62,00;31,66;0,00;0,00;0,00;10,00;0,00;0,00;0,00
2021-10-24;21,00;21,00;0,00;21,00;0,00;0,00;0,00;21,00;10,00
2021-10-31;21,00;42,00;10,50;21,00;10,50;0,00;0,00;10,00;10,00
2021-11-07;31,00;53,91;0,00;10,78;0,00;21,00;0,00;0,00;10,00
2021-11-14;10,00;68,75;10,00;47,50;0,00;10,00;0,00;10,00;0,00
2021-11-21;20,00;124,00;20,00;40,00;10,67;10,00;0,00;10,00;10,00
2021-11-28;10,00;28,75;37,50;66,25;0,00;0,00;10,00;0,00;10,00
2021-12-05;10,00;50,00;10,00;48,75;0,00;10,00;10,00;0,00;20,00
2021-12-12;43,00;32,58;20,85;63,85;0,00;0,00;0,00;11,00;43,00
2021-12-19;48,00;122,67;24,00;24,00;0,00;12,00;0,00;24,00;0,00
2021-12-26;70,00;71,32;11,89;58,11;0,00;35,00;0,00;0,00;0,00
2022-01-02;88,00;32,84;10,51;55,16;0,00;33,00;0,00;11,00;0,00
2022-01-09;32,00;64,00;20,48;62,72;0,00;0,00;0,00;11,00;11,00
2022-01-16;53,00;32,32;10,34;73,68;0,00;0,00;11,00;11,00;21,00
2022-01-23;21,00;21,00;0,00;0,00;10,50;21,00;0,00;21,00;21,00
2022-01-30;54,00;32,93;10,54;64,54;0,00;22,00;0,00;11,00;22,00
2022-02-06;66,00;33,00;10,56;54,12;0,00;11,00;11,00;22,00;11,00
2022-02-13;100,00;11,84;22,37;44,74;0,00;22,00;11,00;0,00;33,00
2022-02-20;44,00;0,00;33,33;33,33;0,00;33,00;11,00;0,00;0,00
2022-02-27;32,00;66,67;10,67;53,33;10,67;21,00;0,00;0,00;21,00
2022-03-06;11,00;34,38;0,00;56,38;0,00;0,00;0,00;0,00;22,00
2022-03-13;32,00;10,67;21,33;21,33;0,00;0,00;21,00;11,00;0,00
2022-03-20;33,00;33,00;0,00;43,56;10,56;11,00;11,00;0,00;22,00
2022-03-27;42,00;31,50;10,50;10,50;10,50;21,00;0,00;0,00;0,00
2022-04-03;39,00;29,90;9,10;39,00;0,00;10,00;0,00;0,00;0,00
2022-04-10;22,00;22,00;10,35;54,35;0,00;22,00;0,00;0,00;0,00
2022-04-17;33,00;44,88;10,56;43,56;0,00;11,00;0,00;0,00;0,00
2022-04-24;21,00;21,00;0,00;21,00;0,00;21,00;11,00;0,00;21,00
2022-05-01;32,00;21,33;10,67;32,00;0,00;0,00;0,00;0,00;11,00
2022-05-08;10,00;40,00;0,00;30,00;0,00;10,00;21,00;0,00;10,00
2022-05-15;31,00;41,33;0,00;20,67;0,00;0,00;21,00;0,00;0,00
2022-05-22;33,00;33,00;0,00;33,00;0,00;0,00;22,00;0,00;0,00
2022-05-29;0,00;42,00;8,00;16,00;0,00;11,00;0,00;0,00;11,00
2022-06-05;35,00;36,35;0,00;70,00;22,88;0,00;11,00;0,00;0,00
2022-06-12;58,00;11,86;11,86;56,68;0,00;0,00;34,00;0,00;11,00
2022-06-19;0,00;9,00;0,00;28,00;0,00;12,00;0,00;0,00;24,00
2022-06-26;13,00;40,30;0,00;40,30;0,00;0,00;0,00;0,00;0,00
