Semaine;Chamonix (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2021-01-17;0,00;0,00;0,00;0,00;0,00;3,00;16,00;0,00;0,00;8,00;0,00;16,00;0,00;0,00;0,00;10,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00
2021-01-24;60,00;0,00;0,00;0,00;0,00;21,00;21,00;0,00;0,00;9,80;0,00;9,80;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-01-31;0,00;0,00;0,00;0,00;0,00;3,00;16,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-07;10,00;0,00;0,00;0,00;0,00;23,33;33,33;0,00;10,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-14;11,00;0,00;0,00;0,00;0,00;38,50;11,00;0,00;19,25;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-02-21;10,00;0,00;0,00;0,00;0,00;33,33;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;20,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2021-02-28;21,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;9,88;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-07;30,00;0,00;0,00;0,00;0,00;9,00;30,00;0,00;21,00;0,00;0,00;9,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00
2021-03-14;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-21;0,00;0,00;0,00;0,00;0,00;3,00;7,00;0,00;3,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-03-28;34,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-04;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-11;21,00;0,00;0,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;0,00;9,88;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-18;32,00;0,00;0,00;11,00;0,00;22,40;9,60;0,00;0,00;0,00;0,00;20,92;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-04-25;11,00;0,00;0,00;0,00;0,00;11,00;11,00;11,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-02;10,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-09;0,00;0,00;0,00;11,00;0,00;4,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-16;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;9,78;0,00;0,00;0,00;0,00;0,00;0,00;10,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-05-23;75,00;0,00;0,00;0,00;0,00;9,38;9,38;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2021-05-30;22,00;0,00;0,00;0,00;0,00;0,00;12,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-06;33,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;11,42;0,00;11,42;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-13;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-06-20;22,00;0,00;0,00;0,00;0,00;12,57;12,57;0,00;12,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2021-06-27;33,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-04;68,00;0,00;0,00;0,00;0,00;0,00;21,64;0,00;123,64;11,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2021-07-11;37,00;0,00;0,00;0,00;0,00;0,00;24,67;0,00;12,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-07-18;51,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,44;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00
2021-07-25;23,00;23,00;0,00;0,00;0,00;0,00;13,14;0,00;13,14;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;11,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2021-08-01;0,00;12,00;0,00;0,00;0,00;8,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-08;11,00;0,00;0,00;0,00;0,00;19,25;11,00;0,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;11,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-15;55,00;0,00;0,00;0,00;0,00;42,78;21,39;0,00;12,22;0,00;0,00;0,00;0,00;11,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-22;12,00;0,00;0,00;0,00;0,00;12,00;81,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-08-29;24,00;0,00;0,00;0,00;0,00;93,00;36,00;0,00;12,00;0,00;0,00;24,00;0,00;12,00;24,00;47,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-05;73,00;0,00;0,00;0,00;0,00;60,83;24,33;24,33;0,00;0,00;0,00;12,37;23,51;0,00;0,00;36,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-12;48,00;0,00;0,00;0,00;0,00;129,00;0,00;12,00;12,00;12,31;0,00;12,31;0,00;0,00;0,00;36,00;0,00;0,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2021-09-19;36,00;0,00;0,00;0,00;0,00;72,00;60,00;0,00;12,00;0,00;0,00;48,41;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-09-26;0,00;0,00;0,00;0,00;0,00;12,00;19,00;8,00;4,00;0,00;0,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2021-10-03;12,00;0,00;0,00;0,00;0,00;69,00;24,00;12,00;0,00;12,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2021-10-10;25,00;0,00;0,00;0,00;0,00;75,00;12,50;0,00;12,50;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-10-17;25,00;0,00;0,00;0,00;0,00;37,50;75,00;37,50;0,00;0,00;12,50;12,50;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;12,00;0,00;37,00;0,00;0,00;0,00;0,00;0,00
2021-10-24;0,00;0,00;0,00;0,00;0,00;16,00;16,00;0,00;8,00;10,00;10,00;19,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00
2021-10-31;12,00;0,00;0,00;0,00;0,00;45,00;24,00;12,00;12,00;10,80;10,80;10,80;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2021-11-07;12,00;12,00;0,00;0,00;0,00;69,00;33,00;12,00;33,00;0,00;0,00;25,33;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2021-11-14;23,00;0,00;0,00;0,00;0,00;13,14;59,14;0,00;13,14;23,00;0,00;34,50;0,00;0,00;0,00;22,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00
2021-11-21;45,00;0,00;0,00;0,00;0,00;21,00;12,00;12,00;54,00;11,25;0,00;11,25;0,00;0,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-11-28;23,00;0,00;0,00;0,00;0,00;49,29;36,14;36,14;36,14;57,50;0,00;11,50;0,00;0,00;0,00;22,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2021-12-05;11,00;11,00;0,00;11,00;0,00;41,25;19,25;0,00;19,25;22,00;11,00;11,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00
2021-12-12;23,00;0,00;34,00;0,00;0,00;23,00;0,00;23,00;13,14;11,50;0,00;23,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00
2021-12-19;28,00;0,00;14,00;0,00;0,00;99,56;15,56;0,00;28,00;14,00;14,00;127,27;0,00;0,00;14,00;41,00;14,00;0,00;14,00;0,00;0,00;0,00;28,00;0,00;14,00;0,00;0,00;0,00
2021-12-26;41,00;0,00;0,00;0,00;0,00;113,54;85,15;12,62;41,00;27,33;0,00;54,67;0,00;0,00;0,00;54,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-01-02;83,00;0,00;0,00;0,00;0,00;166,00;190,59;12,30;24,59;23,54;0,00;59,46;11,15;0,00;0,00;24,00;0,00;12,00;12,00;12,00;0,00;0,00;12,00;0,00;12,00;0,00;0,00;0,00
2022-01-09;47,00;0,00;0,00;0,00;0,00;144,13;97,13;47,00;72,07;11,13;0,00;105,13;0,00;0,00;12,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;47,00;0,00;0,00;0,00;0,00;0,00
2022-01-16;36,00;0,00;0,00;0,00;0,00;150,00;81,00;24,00;81,00;59,59;0,00;117,93;12,41;0,00;12,00;35,00;0,00;0,00;24,00;24,00;0,00;0,00;35,00;0,00;0,00;0,00;0,00;0,00
2022-01-23;94,00;0,00;0,00;0,00;0,00;197,10;69,74;33,35;57,61;47,00;11,13;81,63;11,13;12,00;0,00;35,00;12,00;0,00;12,00;0,00;0,00;0,00;23,00;12,00;12,00;0,00;0,00;0,00
2022-01-30;73,00;0,00;0,00;0,00;0,00;167,29;60,83;48,67;60,83;12,37;23,51;107,64;0,00;0,00;12,00;36,00;12,00;12,00;0,00;12,00;12,00;0,00;24,00;0,00;12,00;0,00;0,00;0,00
2022-02-06;24,00;12,00;0,00;0,00;0,00;249,00;72,00;36,00;60,00;24,00;0,00;93,60;0,00;0,00;12,00;36,00;12,00;0,00;12,00;0,00;0,00;0,00;24,00;12,00;0,00;0,00;0,00;0,00
2022-02-13;38,00;0,00;0,00;0,00;0,00;316,67;145,67;12,67;25,33;12,26;0,00;74,77;0,00;0,00;0,00;63,00;0,00;0,00;13,00;0,00;13,00;0,00;13,00;0,00;25,00;0,00;0,00;0,00
2022-02-20;97,00;0,00;0,00;0,00;0,00;97,00;109,13;0,00;24,25;23,63;12,44;36,06;0,00;0,00;12,00;36,00;0,00;0,00;12,00;0,00;12,00;0,00;12,00;0,00;24,00;0,00;0,00;0,00
2022-02-27;61,00;0,00;0,00;0,00;0,00;61,00;36,60;36,60;0,00;0,00;12,45;23,65;0,00;0,00;36,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2022-03-06;36,00;0,00;0,00;0,00;0,00;108,00;48,00;12,00;24,00;0,00;0,00;12,41;0,00;0,00;0,00;0,00;12,00;24,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-03-13;0,00;0,00;0,00;0,00;0,00;8,00;12,00;8,00;0,00;0,00;10,00;0,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-03-20;50,00;0,00;0,00;0,00;0,00;62,50;62,50;12,50;0,00;0,00;0,00;12,20;0,00;0,00;37,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-03-27;24,00;0,00;0,00;0,00;0,00;33,00;33,00;0,00;0,00;0,00;0,00;11,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00
2022-04-03;23,00;0,00;0,00;0,00;0,00;85,43;49,29;23,00;49,29;0,00;0,00;11,50;0,00;0,00;0,00;11,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-04-10;80,00;0,00;0,00;0,00;0,00;52,31;27,69;0,00;52,31;40,00;0,00;13,75;0,00;0,00;0,00;13,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-04-17;12,00;0,00;0,00;0,00;0,00;72,00;36,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-04-24;12,00;0,00;0,00;0,00;0,00;12,00;12,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-05-01;48,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;12,31;0,00;12,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-05-08;49,00;0,00;0,00;0,00;0,00;0,00;24,50;0,00;12,25;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-05-15;36,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-05-22;25,00;0,00;0,00;0,00;0,00;12,50;12,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-05-29;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;4,00;19,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-06-05;38,00;0,00;0,00;0,00;0,00;12,67;50,67;0,00;12,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2022-06-12;25,00;0,00;0,00;0,00;0,00;25,00;25,00;0,00;12,50;25,00;0,00;0,00;0,00;0,00;0,00;0,00;25,00;0,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00
2022-06-19;52,00;0,00;0,00;0,00;0,00;0,00;24,47;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00;0,00;13,00;0,00;0,00;0,00;0,00;0,00
2022-06-26;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00
