Semaine;Chamonix (FR);Val Cenis (FR);Courchevel (FR);Serre Chevalier (FR);Samoëns (FR);La Clusaz (FR);Morzine (FR);Châtel (FR);Les Gets (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Les Arcs (FR);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Tignes (FR);Vars (FR);Grand Bornand (FR);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-06-23;80,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;9,00;23,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-06-30;52,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;5,00;5,00;5,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-07;32,00;0,00;5,00;0,00;0,00;0,00;5,00;5,00;18,00;0,00;0,00;5,00;0,00;0,00;5,00;0,00;0,00;14,00;9,00;5,00;14,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00
2019-07-14;37,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;18,00;0,00;0,00;9,00;0,00;0,00;5,00;5,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2019-07-21;64,00;0,00;5,00;0,00;0,00;0,00;5,00;0,00;10,00;5,00;0,00;10,00;0,00;0,00;0,00;0,00;0,00;15,00;19,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-07-28;44,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00;0,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-04;63,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;9,00;5,00;5,00;0,00;0,00;5,00;9,00;9,00;0,00;0,00;0,00;5,00;0,00;0,00;0,00;0,00
2019-08-11;46,00;0,00;5,00;0,00;0,00;0,00;5,00;9,00;0,00;0,00;0,00;9,00;5,00;0,00;5,00;5,00;5,00;0,00;18,00;0,00;18,00;5,00;0,00;0,00;0,00;0,00;5,00;0,00
2019-08-18;32,00;0,00;0,00;0,00;5,00;0,00;4,00;0,00;0,00;0,00;5,00;14,00;0,00;0,00;9,00;4,00;0,00;9,00;4,00;4,00;5,00;5,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;37,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;5,00;4,00;4,00;13,00;0,00;0,00;5,00;0,00;4,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-09-01;48,00;0,00;13,00;0,00;0,00;0,00;9,00;0,00;0,00;0,00;9,00;13,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-08;25,00;0,00;4,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;38,00;0,00;0,00;0,00;0,00;0,00;21,00;8,00;0,00;0,00;8,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;13,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;13,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;8,00;4,00;4,00;4,00;8,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;34,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;12,00;0,00;4,00;0,00;0,00;8,00;8,00;8,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2019-10-06;30,00;4,00;4,00;0,00;0,00;4,00;21,00;0,00;0,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;4,00;8,00;12,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-13;31,00;0,00;4,00;0,00;0,00;0,00;17,00;0,00;4,00;0,00;13,00;0,00;4,00;0,00;9,00;4,00;4,00;4,00;9,00;4,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00
2019-10-20;41,00;0,00;0,00;0,00;0,00;0,00;12,00;0,00;0,00;0,00;8,00;0,00;4,00;0,00;0,00;4,00;0,00;8,00;4,00;0,00;8,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00
2019-10-27;17,00;0,00;4,00;0,00;0,00;4,00;12,00;0,00;0,00;0,00;4,00;0,00;4,00;8,00;0,00;4,00;0,00;0,00;8,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;53,00;0,00;4,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;16,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00
2019-11-10;41,00;0,00;8,00;0,00;4,00;0,00;8,00;0,00;0,00;0,00;8,00;8,00;0,00;4,00;0,00;12,00;0,00;4,00;8,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;45,00;0,00;0,00;4,00;0,00;0,00;12,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;16,00;0,00;8,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2019-11-24;53,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;8,00;0,00;0,00;4,00;0,00;4,00;0,00;8,00;4,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-01;53,00;0,00;4,00;0,00;8,00;4,00;4,00;0,00;0,00;0,00;8,00;4,00;4,00;4,00;8,00;4,00;0,00;4,00;12,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;38,00;0,00;0,00;0,00;4,00;8,00;4,00;0,00;8,00;0,00;13,00;4,00;4,00;4,00;4,00;4,00;4,00;13,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;57,00;0,00;0,00;0,00;4,00;0,00;4,00;0,00;0,00;0,00;13,00;17,00;0,00;0,00;9,00;0,00;0,00;4,00;13,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-22;47,00;0,00;14,00;0,00;9,00;9,00;0,00;0,00;0,00;0,00;5,00;9,00;5,00;9,00;5,00;14,00;5,00;19,00;28,00;0,00;9,00;0,00;0,00;0,00;0,00;0,00;5,00;0,00
2019-12-29;71,00;0,00;0,00;0,00;0,00;4,00;9,00;0,00;4,00;0,00;4,00;9,00;4,00;9,00;0,00;9,00;4,00;26,00;0,00;0,00;9,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;50,00;0,00;16,00;0,00;0,00;0,00;8,00;0,00;4,00;4,00;8,00;20,00;12,00;0,00;12,00;4,00;0,00;16,00;4,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;48,00;0,00;12,00;8,00;8,00;12,00;8,00;8,00;0,00;0,00;12,00;28,00;8,00;8,00;4,00;4,00;0,00;20,00;12,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2020-01-19;82,00;0,00;8,00;8,00;4,00;4,00;0,00;4,00;0,00;0,00;16,00;12,00;12,00;4,00;8,00;8,00;0,00;20,00;12,00;4,00;12,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-01-26;37,00;0,00;8,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;8,00;4,00;0,00;4,00;4,00;0,00;0,00;12,00;4,00;12,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00
2020-02-02;74,00;0,00;0,00;0,00;4,00;12,00;8,00;0,00;4,00;0,00;4,00;8,00;4,00;4,00;0,00;0,00;0,00;8,00;8,00;0,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2020-02-09;69,00;0,00;4,00;4,00;8,00;8,00;12,00;4,00;0,00;4,00;4,00;0,00;4,00;12,00;0,00;4,00;4,00;20,00;12,00;0,00;16,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00
2020-02-16;49,00;0,00;12,00;0,00;0,00;4,00;0,00;0,00;12,00;0,00;0,00;24,00;4,00;12,00;0,00;0,00;4,00;4,00;8,00;4,00;8,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-02-23;74,00;0,00;8,00;0,00;8,00;4,00;27,00;0,00;0,00;0,00;11,00;8,00;4,00;8,00;0,00;15,00;8,00;4,00;0,00;0,00;11,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00
2020-03-01;31,00;0,00;8,00;0,00;4,00;8,00;11,00;4,00;0,00;0,00;11,00;8,00;4,00;11,00;0,00;15,00;0,00;19,00;15,00;8,00;19,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00
2020-03-08;34,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;15,00;0,00;0,00;0,00;0,00;7,00;0,00;15,00;11,00;0,00;11,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00
2020-03-15;18,00;0,00;4,00;0,00;0,00;4,00;7,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;11,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00
2020-03-22;7,00;0,00;0,00;3,00;3,00;0,00;7,00;0,00;0,00;0,00;3,00;7,00;3,00;0,00;0,00;3,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-03-29;31,00;0,00;3,00;0,00;0,00;3,00;3,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;14,00;7,00;7,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-04-05;20,00;0,00;3,00;3,00;3,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;7,00;7,00;3,00;3,00;3,00;0,00;3,00;0,00;0,00;0,00;0,00
2020-04-12;10,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;7,00;3,00;0,00;3,00;0,00;0,00;7,00;3,00;3,00;10,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-04-19;17,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00
2020-04-26;42,00;0,00;0,00;0,00;3,00;7,00;3,00;0,00;3,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;0,00;10,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-03;14,00;0,00;10,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;3,00;0,00;3,00;14,00;7,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00
2020-05-10;18,00;0,00;0,00;0,00;0,00;3,00;3,00;3,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;3,00;0,00;3,00;10,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-17;22,00;0,00;0,00;0,00;0,00;4,00;4,00;11,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-05-24;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-05-31;28,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;3,00;3,00;0,00;7,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-07;11,00;0,00;0,00;0,00;3,00;0,00;7,00;3,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;3,00;0,00;4,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-14;15,00;0,00;7,00;0,00;0,00;0,00;7,00;4,00;4,00;0,00;4,00;4,00;0,00;0,00;7,00;4,00;0,00;7,00;4,00;7,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-21;23,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;11,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-06-28;16,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;8,00;0,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-05;19,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;11,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-12;36,00;0,00;4,00;0,00;4,00;0,00;0,00;12,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00
2020-07-19;24,00;0,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;0,00;4,00;4,00;4,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-07-26;20,00;0,00;4,00;0,00;4,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;4,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-08-02;4,00;0,00;0,00;0,00;0,00;4,00;12,00;0,00;4,00;4,00;0,00;8,00;4,00;0,00;0,00;4,00;0,00;8,00;0,00;0,00;12,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2020-08-09;41,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;4,00;0,00;0,00;4,00;0,00;4,00;8,00;0,00;4,00;4,00;4,00;0,00;0,00;0,00;0,00;4,00;0,00;0,00;0,00;0,00
2020-08-16;24,00;0,00;0,00;0,00;4,00;4,00;0,00;8,00;0,00;0,00;4,00;8,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;4,00;4,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
