Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-08-18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;4,00;0,00;0,00;0,00;0,00;0,00;38,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-08-25;0,00;35,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;23,00;0,00;0,00
2019-09-01;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;7,00;0,00;0,00;0,00;0,00;21,00
2019-09-08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-09-15;0,00;0,00;0,00;0,00;0,00;0,00;0,00;31,00;0,00;0,00;0,00;0,00;0,00;0,00;30,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-09-22;34,00;0,00;0,00;0,00;0,00;0,00;0,00;272,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;0,00;0,00
2019-09-29;0,00;0,00;34,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;7,00;0,00;0,00;0,00;0,00;22,00
2019-10-13;73,00;0,00;0,00;0,00;0,00;0,00;0,00;229,43;0,00;0,00;0,00;0,00;0,00;0,00;0,00;36,50;0,00;0,00;0,00;0,00;0,00
2019-10-20;0,00;0,00;68,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-10-27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-11-03;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;14,00;0,00;0,00;21,00;0,00;0,00
2019-11-10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-11-17;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00
2019-11-24;64,00;32,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;64,00;0,00;0,00
2019-12-01;0,00;0,00;33,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;22,00;0,00;0,00;0,00;0,00;0,00;0,00
2019-12-15;68,00;0,00;0,00;0,00;0,00;0,00;0,00;97,14;0,00;0,00;0,00;0,00;0,00;0,00;68,00;31,73;0,00;0,00;66,45;0,00;0,00
2019-12-22;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00
2019-12-29;35,00;0,00;35,00;0,00;0,00;0,00;0,00;122,50;0,00;35,00;0,00;0,00;0,00;0,00;131,25;35,00;0,00;0,00;0,00;0,00;0,00
2020-01-05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;26,00;0,00;0,00;0,00;0,00;0,00;0,00;42,00;14,00;0,00;0,00;0,00;0,00;0,00
2020-01-12;0,00;0,00;31,00;0,00;0,00;0,00;0,00;25,00;0,00;31,00;0,00;0,00;31,00;0,00;20,00;27,00;0,00;0,00;0,00;0,00;0,00
2020-01-19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;14,00;0,00;0,00;0,00;0,00;0,00;21,00
2020-01-26;32,00;0,00;0,00;0,00;0,00;0,00;0,00;170,67;0,00;32,00;0,00;0,00;0,00;0,00;96,00;32,00;0,00;0,00;0,00;0,00;0,00
2020-02-02;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;35,00;7,00;7,00;0,00;0,00;0,00;0,00
