Semaine;Val de Loire (FR);Chateaux Loire (US);Bourgogne (FR);Drome (FR);Vaucluse (FR);Gers (FR);Massif Central (FR);Normandie (FR);Cévennes (FR);Ardeche (FR);Baie de Somme (FR);Montagne du Luberon (FR);Auvergne (FR);Perigord (FR);Alsace (FR);Provence (FR);Morbihan (US);Morvan (FR);Vosges (FR);Chantilly (FR);Languedoc Roussillon (FR)
2019-08-18;36,00;14,00;7,00;0,00;0,00;0,00;0,00;73,00;0,00;7,00;0,00;0,00;7,00;0,00;22,50;45,00;0,00;0,00;7,00;0,00;14,00
2019-08-25;21,00;7,00;28,00;7,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;14,00;7,00;0,00;14,37;72,95;6,63;7,00;0,00;7,00;7,00
2019-09-01;14,00;7,00;20,00;0,00;0,00;0,00;0,00;28,00;0,00;7,00;7,00;0,00;7,00;0,00;29,17;44,33;7,00;7,00;0,00;14,00;0,00
2019-09-08;26,00;7,00;20,00;7,00;0,00;0,00;0,00;20,00;7,00;7,00;0,00;0,00;7,00;19,50;26,00;67,17;6,50;0,00;0,00;7,00;7,00
2019-09-15;26,00;20,00;0,00;7,00;0,00;0,00;0,00;34,00;7,00;0,00;0,00;0,00;7,00;0,00;32,50;60,67;13,00;0,00;20,00;13,00;0,00
2019-09-22;46,00;13,00;13,00;7,00;0,00;0,00;0,00;20,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;67,90;0,00;0,00;7,00;0,00;7,00
2019-09-29;59,00;26,00;32,00;0,00;0,00;0,00;0,00;33,00;0,00;19,00;0,00;0,00;0,00;0,00;6,68;61,23;6,68;0,00;6,00;0,00;13,00
2019-10-06;33,00;20,00;7,00;7,00;0,00;0,00;0,00;34,00;0,00;0,00;0,00;7,00;7,00;6,60;26,40;47,30;6,60;0,00;0,00;7,00;7,00
2019-10-13;34,00;7,00;0,00;0,00;0,00;0,00;0,00;21,00;0,00;7,00;0,00;0,00;0,00;0,00;34,00;55,94;6,58;0,00;0,00;14,00;0,00
2019-10-20;38,00;19,00;6,00;0,00;0,00;0,00;0,00;26,00;0,00;13,00;0,00;0,00;13,00;0,00;13,41;20,12;6,71;0,00;0,00;6,00;0,00
2019-10-27;40,00;13,00;7,00;0,00;0,00;7,00;0,00;40,00;0,00;0,00;0,00;0,00;7,00;0,00;33,33;41,11;0,00;0,00;7,00;0,00;7,00
