Semaine;Chamonix (FR);Val Thorens (FR);Alpe d Huez (FR);Les Deux Alpes (FR);Ischgl (AT);Tignes (FR);Les Arcs (FR);Saalbach (AT);Les Ménuires (FR);Avoriaz (FR);La Plagne (FR);Sankt Anton (AT);Zermatt (CH);Flachau (AT);La Clusaz (FR);Verbier (CH);Zillertal (AT);Morzine (FR);Châtel (FR);St Moritz (DE);Les Gets (FR);Val Cenis (FR);Courchevel (FR);Mayrhofen (AT);Serre Chevalier (FR);Samoëns (FR);Valloire (FR);Méribel (FR);Val d Isère (FR);Megève (FR);Kitzbuhel (AT);Vars (FR);Garmisch (DE);Schladming (AT);Grand Bornand (FR);Brixental (AT);Gstaad (CH);Font Romeu (FR);St Lary (FR);Barèges (FR);La Mongie (FR);Peyragudes (FR)
2019-01-06;16,00;8,00;0,00;16,00;24,00;0,00;0,00;24,00;0,00;0,00;0,00;29,33;29,33;32,00;0,00;8,00;16,00;0,00;0,00;82,29;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;24,00;16,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;48,00;16,00;32,00
2019-01-13;31,00;0,00;8,00;0,00;15,00;8,00;8,00;0,00;0,00;0,00;0,00;14,09;22,55;8,00;0,00;23,00;0,00;0,00;0,00;90,62;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;8,00;15,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;0,00;43,40;37,20;24,80
2019-01-20;66,00;0,00;7,00;0,00;7,00;0,00;0,00;0,00;0,00;22,00;0,00;8,25;0,00;7,00;0,00;15,00;0,00;0,00;0,00;95,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;0,00;0,00;0,00;7,00;0,00;0,00;66,00;99,00;99,00
2019-01-27;30,00;7,00;7,00;22,00;0,00;15,00;0,00;0,00;0,00;0,00;8,18;8,18;43,64;7,00;15,00;15,00;0,00;0,00;0,00;52,50;0,00;0,00;7,00;0,00;15,00;7,00;0,00;0,00;0,00;0,00;0,00;0,00;15,00;0,00;0,00;0,00;0,00;0,00;0,00;10,00;8,00;6,00
2019-02-03;38,00;15,00;8,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;8,14;21,71;0,00;0,00;15,00;0,00;7,13;0,00;90,25;0,00;0,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;0,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;38,00;133,00;95,00
2019-02-10;46,00;0,00;15,00;31,00;8,00;15,00;0,00;8,00;0,00;0,00;0,00;14,38;8,63;0,00;8,00;8,00;15,00;0,00;0,00;106,53;0,00;0,00;15,00;8,00;15,00;0,00;8,00;0,00;8,00;0,00;0,00;8,00;15,00;0,00;0,00;0,00;0,00;8,00;0,00;92,00;76,67;15,33
2019-02-17;16,00;0,00;16,00;8,00;8,00;0,00;0,00;8,00;0,00;8,00;0,00;8,00;8,00;0,00;0,00;8,00;0,00;0,00;0,00;61,33;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;8,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;8,00;12,00;0,00
2019-02-24;23,00;0,00;0,00;31,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;48,88;0,00;0,00;8,00;8,00;0,00;0,00;80,50;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;17,25;28,75;11,50
2019-03-03;56,00;0,00;8,00;8,00;8,00;0,00;8,00;16,00;0,00;0,00;0,00;0,00;39,20;0,00;0,00;8,00;0,00;0,00;0,00;31,65;0,00;0,00;0,00;0,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8,00;0,00;56,00;336,00;112,00
2019-03-10;48,00;0,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;22,59;8,00;0,00;24,00;0,00;0,00;0,00;69,60;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;144,00;480,00;240,00
2019-03-17;16,00;0,00;8,00;8,00;8,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;37,33;0,00;8,00;16,00;0,00;0,00;0,00;38,86;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;16,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;24,00;24,00;16,00
